阿非利加洲	Африка
黃金分割	Золотое сечение
福建省	Фуцзянь
班夫國家公園	Банф (национальный парк)
查士丁尼一世	Юстиниан I
前七十四年	74 год до н. э.
慶州市	Кёнджу
安東市	Андон
尚州市	Санджу
阿貝爾·塔斯曼	Тасман, Абел Янсзон
海南省	Хайнань
功	Механическая работа
漢語拼音	Пиньинь
莽原氣候	Саванна
甘肅省	Ганьсу
蘇州市	Сучжоу (Цзянсу)
溫州市	Вэньчжоу
無錫市	Уси
湖州市	Хучжоу
紹興市	Шаосин
寧波市	Нинбо
紙鳶	Воздушный змей
前二〇一年	201 год до н. э.
前二〇二年	202 год до н. э.
哈爾濱市	Харбин
油	Масло
拓撲學	Топология
文身	Татуировка
金融學	Финансы
雲南省	Юньнань
多項式	Многочлен
山東省	Шаньдун
中南半島	Индокитай
天擇	Естественный отбор
地質年代	Геохронологическая шкала
壟斷	Монополия
河南省	Хэнань
遼寧省	Ляонин
席德	Сид Кампеадор
刳剔者傑克	Джек-потрошитель
前一五六年	156 год до н. э.
列奧尼達一世	Леонид I
前一三九年	139 год до н. э.
前一二二年	122 год до н. э.
前二〇六年	206 год до н. э.
西爾門·拉什迪	Рушди, Салман
前二〇三年	203 год до н. э.
化學鍵	Химическая связь
槍	Копьё
前一四一年	141 год до н. э.
僧院	Монастырь
白堊紀	Меловой период
前二〇九年	209 год до н. э.
皮薩羅	Писарро, Франсиско
點	Точка (геометрия)
骰子	Игральная кость
吉林省	Гирин
東海	Восточно-Китайское море
前二三二年	232 год до н. э.
湖南省	Хунань
青海省	Цинхай
前一九七年	197 год до н. э.
前二〇七年	207 год до н. э.
前一八八年	188 год до н. э.
矢	Стрела
前二〇五年	205 год до н. э.
鮨	Суши
前二〇八年	208 год до н. э.
湖北省	Хубэй
山西省	Шаньси
魔方	Кубик Рубика
伊洛瓦底省	Иравади (округ)
貴州省	Гуйчжоу
京都議定書	Киотский протокол
聯合國大會	Генеральная Ассамблея ООН
乙酸	Уксусная кислота
安達曼海	Андаманское море
前二〇四年	204 год до н. э.
胡適	Ху Ши
莊子	Чжуан-цзы
清孝欽顯皇后	Цыси
陝西省	Шэньси
Template:共享類	Шаблон:Commonscat
三八三年	383 год
德文維基大典	Немецкая Википедия
拋物線	Парабола
尿素	Мочевина
平假名	Хирагана
波斯文維基大典	Персидская Википедия
質數	Простое число
五七二年	572 год
南北朝	Южные и Северные Династии
劉宋	Лю Сун
吾世	Minecraft
罷工	Забастовка
李舜臣汝諧	Ли Сунсин
泰國地方	Провинции Таиланда
中華人民共和國地方	Административное деление Китайской Народной Республики
日本都道府縣	Префектуры Японии
氧化物	Оксиды
合數	Составное число
因數	Делимость
口琴	Губная гармоника
朝鮮灣	Западно-Корейский залив
Template:Taxobox	Шаблон:Taxobox
繩文時代	Период Дзёмон
魔法少女小圓	Mahou Shoujo Madoka Magica
太極	Великий предел
平行	Параллельность
百家姓	Сто фамилий
極品飛車	Need for Speed (серия игр)
海鳥	Морские птицы
琉球語	Рюкюские языки
閩語	Миньские языки
江西省	Цзянси
阿卜杜拉·本·阿卜杜勒-阿齊茲·沙特	Абдалла ибн Абдул-Азиз Аль Сауд
寧夏回族自治區	Нинся-Хуэйский автономный район
揚州市	Янчжоу
鎮江市	Чжэньцзян
哈薩克文維基大典	Казахская Википедия
嘉興市	Цзясин
金華市	Цзиньхуа
衢州市	Цюйчжоу
台州市	Тайчжоу (Чжэцзян)
舟山市	Чжоушань
石家莊市	Шицзячжуан
亞當與夏娃	Адам и Ева
卡金納答	Какинада
珠海	Чжухай
韶關市	Шаогуань
東莞市	Дунгуань
俄羅斯正教會	Русская православная церковь
鯢	Китайская исполинская саламандра
空師	Военно-воздушные силы
大名	Даймё
南齊	Южная Ци
ㄆ	По (чжуинь)
苗栗縣	Мяоли (уезд)
威氏鷸	Gallinago delicata
哈布斯堡氏	Габсбурги
中央銀行	Центральный банк
福州市	Фучжоу
南平市	Наньпин
莆田市	Путянь
三明市	Саньмин
泉州市	Цюаньчжоу
廈門市	Сямынь
漳州市	Чжанчжоу
龍岩市	Лунъянь
寧德市	Ниндэ
西寧市	Синин
西遊記	Путешествие на Запад
三國演義	Троецарствие (роман)
水滸傳	Речные заводи
鄂州市	Эчжоу
福島縣	Фукусима (префектура)
豬油	Смалец
新竹縣	Синьчжу (уезд)
鞍山市	Аньшань
羅馬治世	Pax Romana
克羅內克	Кронекер, Леопольд
康托爾	Кантор, Георг
戴德金	Дедекинд, Юлиус Вильгельм Рихард
寒武紀	Кембрийский период
十六元數	Седенионы
神聖羅馬皇帝腓特烈一世	Фридрих I Барбаросса
前三八七年	387 год до н. э.
盲文	Шрифт Брайля
千葉縣	Тиба (префектура)
賽珍珠	Бак, Перл
聯合國秘書長	Генеральный секретарь ООН
龐加萊	Пуанкаре, Анри
西北水道	Северо-Западный проход
十進制	Десятичная система счисления
烯烴	Алкены
皇祚	Гимн Японии
氣壓	Атмосферное давление
箸	Палочки для еды
南投縣	Наньтоу (уезд)
標點符號	Пунктуация
片假名	Катакана
民之旨	Гимн Индии
臺北一零一	Тайбэй 101
化學式	Химическая формула
波斯	Персидская империя
群 (代數)	Группа (математика)
三十六計	Тридцать шесть стратагем
天安門	Врата Небесного Спокойствия
波蘭球	Polandball
水星領航員	Aria (аниме и манга)
三角函數	Тригонометрические функции
六四事件	События на площади Тяньаньмэнь (1989)
趙紫陽	Чжао Цзыян
胡耀邦	Ху Яобан
安樂死	Эвтаназия
姓氏	Фамилия
醛	Альдегиды
規	Циркуль
物質之量	Количество вещества
平安北道	Пхёнан-Пукто
咸鏡南道	Хамгён-Намдо
島國	Островное государство
華山	Хуашань
桃園市	Таоюань (Тайвань)
尺規作圖	Построение с помощью циркуля и линейки
耶律楚材	Елюй Чуцай
京都府	Киото (префектура)
絕對值	Абсолютная величина
羅賓漢	Робин Гуд
表數法	Система счисления
大阪府	Осака (префектура)
瑪瑙	Агат
愛媛縣	Эхимэ
圓錐曲線	Коническое сечение
海平面	Уровень моря
玄武	Чёрная черепаха
羅馬皇帝表	Список римских императоров
矢量空間	Векторное пространство
距	Расстояние
臺灣海峽	Тайваньский пролив
山口縣	Ямагути (префектура)
市盈率	Коэффициент цена/прибыль
神奈川縣	Канагава
中國地方	Тюгоку
長野縣	Нагано (префектура)
殷商	Шан (династия)
色諾芬	Ксенофонт
兵庫縣	Хёго
廣州恆大淘寶蹴鞠會	Гуанчжоу Эвергранд
關係 (數學)	Бинарное отношение
等價	Отношение эквивалентности
主格	Именительный падеж
泰國灣	Сиамский залив
螳螂	Богомоловые
維基大典:書海	Википедия:Источники книг
征夷大將軍	Сёгун
春節	Китайский Новый год
切腹	Харакири
色盲	Дальтонизм
彰化縣	Чжанхуа (уезд)
阿什莫爾島與卡捷島	Острова Ашмор и Картье
農曆	Китайский календарь
可樂	Кола (напиток)
高知縣	Коти (префектура)
道德經	Дао дэ цзин
萬有引力	Классическая теория тяготения Ньютона
坐標幾何	Аналитическая геометрия
芬瑟島	Фрейзер (остров)
蹴鞠	Цуцзюй
臺南市	Тайнань
與格	Дательный падеж
摩爾質量	Молярная масса
滿洲族	Маньчжуры
義大利半島	Апеннинский полуостров
袁枚	Юань Мэй
汽水	Безалкогольные напитки
天象館	Планетарий
微積分	Математический анализ
岳陽市	Юэян
東寧	Дуннин (государство)
李斯	Ли Сы
雲林縣	Юньлинь (уезд)
碗	Миска
全等	Конгруэнтность (геометрия)
維多利亞港	Виктория (бухта)
義勇軍進行曲	Гимн Китайской Народной Республики
數理物理	Математическая физика
紅花	Сафлор красильный
庖人	Повар
大正天皇	Император Тайсё
毛納洛峰	Мауна-Лоа
富牌國際機場	Хюэ (аэропорт)
修道院	Аббатство
符節	Пароль
環 (代數)	Кольцо (математика)
環球小姐	Мисс Вселенная
香川縣	Кагава (префектура)
曲線	Кривая
白求恩	Бетьюн, Норман
平面幾何	Евклидова геометрия
葉問	Ип Ман
二元運算	Бинарная операция
餘弦定理	Теорема косинусов
新幹線	Синкансэн
雙曲線	Гипербола (математика)
星際爭霸	StarCraft
反射	Отражение (физика)
嘉義縣	Цзяи (уезд)
形意拳	Синъицюань
近視	Близорукость
代數數	Алгебраическое число
夏后氏	Ся (династия)
連續	Непрерывное отображение
教廷諸屬國	Папская область
濟南市	Цзинань
十一月革命	Ноябрьская революция
中國抗日戰爭	Японо-китайская война (1937—1945)
青島市	Циндао
PSP	PlayStation Portable
葛利斯五八一丙	Глизе 581 c
官能團	Функциональная группа
世氣公會	Всемирная метеорологическая организация
見即所得	WYSIWYG
新西班牙代王領	Новая Испания
織田信長	Ода Нобунага
向日葵	Подсолнечник однолетний
南昌市	Наньчан
中壢區	Чжунли
玫瑰之名	Имя розы
幾何原本	Начала Евклида
米高·哥連斯	Коллинз, Майкл Джон
金本位	Золотой стандарт
直積	Прямое произведение
艾狄胥	Эрдёш, Пал
四元數	Кватернион
泰學	Таистика
長沙市	Чанша
有機化合物	Органические вещества
明治天皇	Император Мэйдзи
源實朝	Минамото-но Санэтомо
蜉蝣	Подёнки
伊藤博文	Ито Хиробуми
絞刑	Повешение
門:史	Портал:История
電極	Электрод
阿拉伯數字	Арабские цифры
股骨	Бедренная кость
子集	Подмножество
海東青	Кречет
日文維基大典	Японская Википедия
繁體字	Традиционные китайские иероглифы
甲午戰爭	Японо-китайская война (1894—1895)
哈丹格爾小提琴	Хардангерфеле
克里希那穆提	Кришнамурти, Джидду
宦官	Евнух
選擇公理	Аксиома выбора
行星環	Кольца планет
青藏高原	Тибетское нагорье
拓撲空間	Топологическое пространство
古文書	Палеография
數學符表	Таблица математических символов
錫克金廟	Хармандир-Сахиб
查良鏞	Цзинь Юн
卡奔塔利亞灣	Карпентария
度量空間	Метрическое пространство
千分比	Промилле
交換群	Абелева группа
高雄市	Гаосюн
華盛頓歐文	Ирвинг, Вашингтон
易經	Книга Перемен
弩	Арбалет
渤海	Бохайский залив
甑帶瘡	Опоясывающий лишай
西楚霸王	Сян Юй
戰艦	Линейный корабль
人魚	Морская дева
海倫公式	Формула Герона
昆明市	Куньмин
天氣預報	Прогноз погоды
人蔘	Женьшень обыкновенный
回族	Хуэй (народ)
蘭州市	Ланьчжоу
期貨	Фьючерс
鰂	Каракатицы
林則徐	Линь Цзэсюй
三國	Эпоха Троецарствия
春秋時代	Период Чуньцю
戰國	Период Сражающихся царств
名偵探柯南	Detective Conan
區間	Промежуток (математика)
清宣統帝	Пу И
併集	Объединение множеств
簡化字	Упрощение иероглифов
合肥市	Хэфэй
交集	Пересечение множеств
常染色體	Аутосома
簡歷	Curriculum vitae
中國時區	Время в Китайской Народной Республике
蝴蝶效應	Эффект бабочки
豐臣秀吉	Тоётоми Хидэёси
假名	Кана
民律大全	Corpus iuris civilis
白鱀豚	Китайский речной дельфин
弦	Хорда (геометрия)
平昌郡	Пхёнчхан
泰國國際航空	Thai Airways International
北九州市	Китакюсю
匈奴	Хунну
孟子	Мэн-цзы
曾國藩	Цзэн Гофань
桂林市	Гуйлинь
海口市	Хайкоу
無機化合物	Неорганические вещества
域 (代數)	Поле (алгебра)
挪威廣播公司	Норвежская вещательная корпорация
道	Дао
世界語維基大典	Википедия на эсперанто
刺身	Сашими
中泰國	Центральный Таиланд
高錳酸鉀	Перманганат калия
鴉片戰爭	Первая опиумная война
魔鬼之詩篇	Сатанинские стихи
有序對	Пара (математика)
金屬鍵	Металлическая связь
書面挪威語維基大典	Норвежские Википедии
序數	Порядковое число
南京大屠殺	Нанкинская резня
吳廷琰	Нго Динь Зьем
複式記帳	Двойная запись
麵	Лапша
路易斯安那購地案	Луизианская покупка
扇	Веер
平安時代	Период Хэйан
旦	Восход
韓信點兵	Китайская теорема об остатках
梅涅勞斯定理	Теорема Менелая
無窮小	Бесконечно малая и бесконечно большая
屏東縣	Пиндун (уезд)
彰化市	Чжанхуа
單鏡筒反光相機	Однообъективный зеркальный фотоаппарат
雙城子	Уссурийск
章炳麟	Чжан Бинлинь
張飛	Чжан Фэй
張角	Чжан Цзяо
張衡	Чжан Хэн
憲法十七條	Конституция семнадцати статей
張騫	Чжан Цянь
張三丰	Чжан Саньфэн
張載	Чжан Цзай
張仲景	Чжан Чжунцзин
趙 (釋義)	Чжао
趙	Чжао (царство)
趙雲	Чжао Юнь
浙江大學	Чжэцзянский университет
鄭成功	Чжэн Чэнгун
鍾會	Чжун Хуэй
周敦頤	Чжоу Дуньи
周瑜	Чжоу Юй
帝顓頊	Чжуань-сюй
諸葛瞻	Чжугэ Чжань
諸葛亮	Чжугэ Лян
慶良間群島	Острова Керама
壯學	Чжуанология
烏克蘭語維基大典	Украинская Википедия
阿拉伯文維基大典	Арабская Википедия
金孟加拉	Гимн Бангладеш
希伯來文維基大典	Википедия на иврите
洞里薩湖	Тонлесап (озеро)
賈姆謝德布爾	Джамшедпур
越南文維基大典	Вьетнамская Википедия
負數	Отрицательное число
中醫	Традиционная китайская медицина
高松市	Такамацу
中華人民共和國憲法	Конституция Китайской Народной Республики
提格兰二世	Тигран II
珠江	Чжуцзян
泰西格致史	История науки
五帝	Три властителя и пять императоров
瑪格麗特一世	Маргарита I Датская
日本國會	Парламент Японии
先哥倫布	Доколумбовы цивилизации
英聯邦王國	Королевства Содружества
彼得一世島	Остров Петра I
墓碑	Надгробие
十二銅表法	Законы двенадцати таблиц
李商隱	Ли Шанъинь
漢魏武王	Цао Цао
斬首	Обезглавливание
垂直	Перпендикулярность
無窮集合	Бесконечное множество
冪集	Булеан
魚鉤	Крючок
齊齊哈爾市	Цицикар
椰蟹	Пальмовый вор
俄文維基大典	Русская Википедия
平行公理	Аксиома параллельности Евклида
資治通鑒	Цзы чжи тун цзянь
春武里府	Чонбури (провинция)
西線無戰事	На Западном фронте без перемен
嘧啶	Пиримидин
泰王國歌	Гимн Таиланда
冬至	Зимнее солнцестояние
中國中央電視臺	Центральное телевидение Китая
圖蘭朵	Турандот (опера)
巴列維王朝	Пехлеви
天皇	Император Японии
熱帶雨林氣候	Экваториальный климат
袁世凱	Юань Шикай
北海市	Бэйхай
袋鼠島	Кенгуру (остров)
阮世祖	Зя Лонг
君士坦丁堡普世宗主教區	Константинопольская православная церковь
辛普生沙漠	Пустыня Симпсона
雷曼兄弟公司	Lehman Brothers
娜塔莎·北鼎斐	Бедингфилд, Наташа
開集	Открытое множество
測地線	Геодезическая
塞瓦定理	Теорема Чевы
健陀羅	Гандхара
愛爾蘭共和國總統	Президент Ирландии
內積空間	Предгильбертово пространство
金奎植	Ким Гюсик
江戶	Эдо (город)
金九	Ким Гу
泰山	Тайшань
荀況	Сюнь-цзы
九江市	Цзюцзян
反氫	Антиводород
占婆	Тямпа
倒數	Обратное число
黃道兇賊	Зодиак (убийца)
陰陽五行	У-син
盧溝橋事變	Инцидент на Лугоуцяо
關羽	Гуань Юй
龜	Черепахи
阮福晪	Бао Дай
元 (釋義)	Юань (значения)
空集	Пустое множество
祖沖之	Цзу Чунчжи
羅馬 (釋義)	Рома
左氏春秋	Цзо чжуань
連通	Связный граф
瀨戶內海	Внутреннее Японское море
自由民主黨	Либерально-демократическая партия (Япония)
利瑪竇	Риччи, Маттео
原富	Исследование о природе и причинах богатства народов
技術分析	Технический анализ
哆啦A夢	Дораэмон
宋卡府	Сонгкхла (провинция)
甲米府	Краби (провинция)
拉廊府	Ранонг (провинция)
伏羲	Фу Си
宜蘭縣	Илань (Тайвань)
法家	Легизм
九龍	Коулун
瑪麗·安·尼科爾斯	Николз, Мэри Энн
素叻府	Сураттани (провинция)
成本	Затраты
桐艾府	Трат (провинция)
五代	Эпоха пяти династий и десяти царств
瑪麗·簡·凱利	Келли, Мэри Джейн
森理世	Мори, Риё
補集	Разность множеств
靖國神社	Ясукуни
博他侖府	Пхаттхалунг (провинция)
鹽田	Соляной пруд
班武里府	Прачуапкхирикхан (провинция)
洛坤府	Накхонситхаммарат (провинция)
春蓬府	Чумпхон (провинция)
新北市	Синьбэй
臺中市	Тайчжун
漢昭烈皇帝	Лю Бэй
干支	Система гань-чжи
三國志	Сань-го чжи
花蓮縣	Хуалянь (уезд)
金門縣	Цзиньмэнь
臺東縣	Тайдун (уезд)
新竹市	Синьчжу
嘉義市	Цзяи
基隆市	Цзилун
副省級市	Город субпровинциального значения (КНР)
從眾	Argumentum ad populum
牢不可破之聯盟	Гимн СССР
相似	Подобие
年號	Девиз правления
分離 (拓撲)	Принцип разделимости
大韓高宗	Коджон
語序	Типология порядка слов
摩托羅拉	Motorola
丁汝昌	Дин Жучан
賢哲賽義巴巴	Саи Баба из Ширди
雪景球	Снежный шар
淨土宗	Буддизм Чистой Земли
聖德太子	Сётоку (принц)
沈括	Шэнь Ко
內湖區	Нэйху
懿德天皇	Император Итоку
史記	Ши цзи
早稻田大學	Университет Васэда
孫吳	У (Троецарствие)
論語	Лунь юй
姜維	Цзян Вэй
尚眞王	Сё Син
平清盛	Тайра-но Киёмори
創意公用授權條款	Лицензии и инструменты Creative Commons
柬埔寨國家銀行	Национальный банк Камбоджи
拉臘·杜塔	Датта, Лара
小野田寬郎	Онода, Хироо
清太宗	Айсиньгиоро Абахай
漢高皇后	Люй-хоу
楊貴妃	Ян-гуйфэй
蔡琰	Цай Вэньцзи
推古天皇	Императрица Суйко
清德宗	Гуансюй
文徵明	Вэнь Чжэнмин
鎖國	Изоляционизм
戈登	Гордон, Чарльз Джордж
清世祖	Шуньчжи
清太祖	Айсиньгиоро Нурхаци
進數	P-адическое число
卡拉卡拉敕令	Эдикт Каракаллы
明智光秀	Акэти Мицухидэ
綏靖天皇	Император Суйдзэй
阮攸	Нгуен Зу
白居易	Бо Цзюйи
吳大帝	Сунь Цюань
屈原	Цюй Юань
魏世祖文皇帝	Цао Пэй
神農	Шэнь-нун
小淵惠三	Обути, Кэйдзо
帝舜	Шунь
安寧天皇	Император Аннэй
發勃耳	Фабр, Жан Анри
張國榮	Чун, Лесли
蔣經國	Цзян Цзинго
王維	Ван Вэй
後醍醐天皇	Император Го-Дайго
陶潛	Тао Юаньмин
桓武天皇	Император Камму
林彪	Линь Бяо
清世宗	Юнчжэн
呂布	Люй Бу
鴨脷洲	Аплэйчау
清穆宗	Тунчжи (император)
韓愈	Хань Юй
王安石	Ван Аньши
德川吉宗	Токугава Ёсимунэ
米芾	Ми Фэй
拓撲閉包	Замыкание (геометрия)
閉集	Замкнутое множество
曹魏	Вэй (Троецарствие)
作格	Эргатив
尖竹汶府	Чантхабури (провинция)
陳省身	Чэнь Синшэнь
第十五屆亞洲運動會	Летние Азиатские игры 2006
基斯孔哈拉斯	Кишкунхалаш
覆蓋	Покрытие (математика)
竭澤而漁	Чрезмерный вылов рыбы
廢藩置縣	Ликвидация ханов и основание префектур
通格	Абсолютив
清仁宗	Цзяцин
正親町天皇	Император Огимати
董卓	Дун Чжо
林語堂	Линь Юйтан
孫臏	Сунь Бинь
杜牧	Ду Му
孫堅	Сунь Цзянь
石田三成	Исида Мицунари
大韓純宗	Сунджон
婆羅多舞	Бхаратанатьям
歐陽脩	Оуян Сю
清宣宗	Даогуан
岳飛	Юэ Фэй
清文宗	Сяньфэн
北柳府	Чаченгсау (провинция)
羅勇府	Районг (провинция)
袁紹	Юань Шао
柳宗元	Лю Цзунъюань
包拯	Бао Чжэн
阮景宗	Донг Кхань
司馬懿	Сыма И
福澤諭吉	Фукудзава Юкити
安慶市	Аньцин
安祿山	Ань Лушань
六安市	Луань
呂不韋	Люй Бувэй
武丁	У Дин
陳獨秀	Чэнь Дусю
蒂邁歐篇	Тимей (Платон)
魏 (釋義)	Вэй
崇明島	Чунминдао
藤原定家	Фудзивара Тэйка
夏侯惇	Сяхоу Дунь
坂本龍馬	Сакамото Рёма
王守仁	Ван Янмин
魏烈祖明皇帝	Цао Жуй
朝鮮太祖	Ли Сонге
夏侯淵	Сяхоу Юань
李鴻章	Ли Хунчжан
南唐後主	Ли Юй (поэт)
魏延	Вэй Янь
黃忠	Хуан Чжун
顧愷之	Гу Кайчжи
王羲之	Ван Сичжи
康托爾悖論	Парадокс Кантора
中秋	Праздник середины осени
光中帝	Нгуен Хюэ
梁啟超	Лян Цичао
孫策	Сунь Цэ
范仲淹	Фань Чжунъянь
墓	Усыпальница
沙繳府	Сакэу (провинция)
緊集	Компактное пространство
依善	Исан (регион)
龐統	Пан Тун
冒頓單于	Модэ
高順	Гао Шунь
成都雙流國際機場	Шуанлю (аэропорт)
發翔羽	Маховые перья
赤腹蠑螈	Огненнобрюхий тритон
南陽市	Наньян
秋葉原	Акихабара
徐光啟	Сюй Гуанци
虹吸	Сифон (техника)
南充市	Наньчун
北條時宗	Ходзё Токимунэ
藤原道長	Фудзивара-но Митинага
阮聖祖	Минь Манг
戚繼光	Ци Цзигуан
董仲舒	Дун Чжуншу
阮出帝	Хам Нги
托勒密定理	Неравенство Птолемея
丸龜市	Маругаме
盧照鄰	Лу Чжаолинь
中山慶子	Накаяма Ёсико
鄧麗君	Тенг, Тереза
李清照	Ли Цинчжао
明成皇后	Королева Мин
殷墟	Иньсюй
阮福昭	Тхань Тхай
詩經	Ши цзин
阮福晃	Зуи Тан
阮簡宗	Кьен Фук
阮福昇	Хьеп Хоа
自斷	Автотомия
足利義量	Асикага Ёсикадзу
戈公省	Кохконг
效用	Полезность
阮翼宗	Ты Дык
大月氏	Юэчжи
吳三桂	У Саньгуй
元稹	Юань Чжэнь
嵇康	Цзи Кан
陳納德	Шеннолт, Клэр Ли
典韋	Дянь Вэй
周公旦	Чжоу-гун
阮弘宗	Кхай Динь
漢後主	Лю Шань
山口二矢	Ямагути, Отоя
興宣獻懿大院君	Ли Хаын
吳會稽王亮	Сунь Лян
商帝辛	Ди Синь
呂蒙	Люй Мэн
齊桓公	Хуань-гун
噌汁	Мисосиру
偏序	Частично упорядоченное множество
康托爾定理	Теорема Кантора
新山一國際機場	Таншоннят
晁衡	Абэ-но Накамаро
安重根	Ан Чунгын
朝鮮半島	Корейский полуостров
電車	Электропоезд
和服	Кимоно
遜尼派	Сунниты
白翎島	Пэннёндо
汝矣島純福音教會	Церковь Полного Евангелия Ёыйдо
哥德巴赫猜想	Проблема Гольдбаха
韓國銀行	Банк Кореи
三國遺事	Самгук юса
坤輿萬國全圖	Карта Маттео Риччи
三國史記	Самгук саги
國家情報院	Национальное агентство разведки (Республика Корея)
鬱陵郡	Уллын
朝鮮漢字	Ханча
國會議員	Депутат
摩爾體積	Молярный объём
丙子胡亂	Маньчжуро-корейская война (1636—1637)
丁卯胡亂	Маньчжуро-корейская война (1627)
傲遊瀏覽器	Maxthon
復旦大學	Фуданьский университет
馬羅島	Марадо
朝鮮王朝實錄	Анналы династии Чосон
萌	Моэ
琉璃明王	Юримён-ван
廣開土王	Квангетхо
韓國放送公社	Korean Broadcasting System
涼宮春日系列	Харухи Судзумия (франшиза)
莎阿南	Шах-Алам
玉山	Юйшань
大嶼山	Лантау
楚	Чу (царство)
梅爾維爾島	Мелвилл (остров, Австралия)
新	Синь (династия)
北太平洋露脊鯨	Японский кит
海北藏族自治州	Хайбэй-Тибетский автономный округ
蒼龍	Лазурный дракон
中庸	Чжун юн
中國禮儀之爭	Споры о китайских обрядах
鳳凰	Китайский феникс
宋教仁	Сун Цзяожэнь
阮恭宗	Зук Дык
阮憲祖	Тхьеу Чи
吳清源	Го Сэйгэн
塔如濤群島	Тарутау (национальный морской парк)
真言宗	Сингон
初音未來	Мику Хацунэ
餛飩	Вонтоны
星期四島	Терсди
教會羅馬字	Пэвэдзи
許慎	Сюй Шэнь
司馬相如	Сыма Сянжу
吉田松陰	Ёсида Сёин
錢鍾書	Цянь Чжуншу
嚴復	Янь Фу
帕覺柯	Пачеко, Хосе Эмилио
泰文維基大典	Тайская Википедия
猫眼林克	Линк (персонаж)
蘇通長江大橋	Сутун
包頭市	Баотоу
大化革新	Реформы Тайка
韓景侯	Цзин-хоу Цянь
文天祥	Вэнь Тяньсян
壬辰倭亂	Имдинская война
小行星三千	(3000) Леонардо
軍曹	Keroro Gunsou
出雲國	Идзумо (провинция)
新界	Новые Территории (Гонконг)
香港浸會大學	Гонконгский баптистский университет
午餐肉	SPAM
草書	Цаошу
呂底亞	Лидия
自焚	Самосожжение
廬山	Лушань
老撾之歌	Гимн Лаоса
謝靈運	Се Линъюнь
夏禹	Юй Великий
藤原氏	Фудзивара (род)
漢 (釋義)	Хан
衡山	Хэншань (Хунань)
杭思朗	Армстронг
馬步芳	Ма Буфан
香港語言學學會粵語拼音方案	Ютпхин
刀	Дао (меч)
水龍頭	Трубопроводный кран
子拓撲	Индуцированная топология
廣州地鐵	Метрополитен Гуанчжоу
車裂	Четвертование
嘉定區	Цзядин
金山區	Цзиньшань (Шанхай)
性染色體	Гоносомы
斗六市	Доулю
算術基本定理	Основная теорема арифметики
存活期	Time to live
稠密	Плотное множество
崑曲	Куньцюй
流亡政府	Правительство в изгнании
古魯特島	Грут-Айленд
中文數字	Китайские числительные
天主教輔仁大學	Католический университет Фужэнь
武器貿易條約	Международный договор о торговле оружием
Habanera	Хабанера (ария)
內田蝲蛄	Американский сигнальный рак
龜船	Корабль-черепаха
永樂大典	Энциклопедия Юнлэ
諡	Посмертное имя
魏陳思王	Цао Чжи
吳起	У Ци
周文王	Вэнь-ван (Чжоу)
恆春丙戌地震	Землетрясение в Хенгчуне (2006)
李時珍	Ли Шичжэнь
杜月笙	Ду Юэшэн
劉基	Лю Цзи
張勳	Чжан Сюнь
朝鮮八道	Восемь провинций Кореи
陳勝	Чэнь Шэ
杭州灣	Ханчжоувань
高雄捷運	Гаосюнский метрополитен
和珅	Хэшэнь
王昭君	Ван Чжаоцзюнь
韓服	Ханбок
陳子昂	Чэнь Цзыан
衛青	Вэй Цин
衛滿	Виман (Кочосон)
施琅	Ши Лан
聶榮臻	Не Жунчжэнь
齊太公	Цзян Цзыя
唐景崧	Тан Цзинсун
朝香鳩彥	Принц Ясухико
劉伯承	Лю Бочэн
臭豆腐	Вонючий тофу
泉蓋蘇文	Ён Кэсомун
王戎	Ван Жун (династия Цзинь)
劉焉	Лю Янь (Восточная Хань)
衛滿朝鮮	Чосон Вимана
李陵	Ли Лин (полководец династии Хань)
段祺瑞	Дуань Цижуй
臺灣高速鐵路	Тайваньская высокоскоростная железная дорога
太平公主	Тайпин (принцесса)
吳廣	У Гуан
劉禹錫	Лю Юйси
黃興	Хуан Син
富春山居圖	Жилище в горах Фучунь
張自忠	Чжан Цзычжун
文湖線	Линия Вэньху
濁水溪	Чжошуйси
黃庭堅	Хуан Тинцзянь
劉永福	Лю Юнфу
曹氏	Цао (фамилия)
楊慎	Ян Шэнь
宋哲元	Сун Чжэюань
林尚義	Лам Шунь Йи
鹿屯島	Ноктундо
張九齡	Чжан Цзюлин
世界新七大奇蹟	Новые семь чудес света
宋濂	Сун Лянь
平鎮區	Пинчжэнь
屏東市	Пиндун
鑒真	Гандзин
清明上河圖	По реке в День поминовения усопших
臺北捷運	Тайбэйский метрополитен
延邊州	Яньбянь-Корейский автономный округ
寒食	Праздник холодной пищи
桃園區	Таоюань
中國朝鮮族	Корейцы в Китае
李太祖	Ли Тхай То
攀牙灣	Пхангнга (залив)
色戒	Вожделение (фильм)
日本雅樂	Гагаку
清明	Цинмин
墨家	Моизм
帝嚳	Ку (император)
印地文維基大典	Википедия на языке хинди
琴	Цисяньцинь
範空間	Нормированное пространство
有界	Ограниченное множество
呂氏春秋	Анналы Люй Бувэя
乃蠻	Найманы
鎮	Посёлок (КНР)
蘇我入鹿	Сога-но Ирука
法正	Фа Чжэн
平知盛	Тайра-но Томомори
士燮	Ши Се
梁武帝	У-ди (династия Лян)
魯	Лу (княжество)
蓬金鐵	Кингпетч, Поне
倫敦東隅	Ист-Энд
申 (地支)	Обезьяна (китайский зодиак)
歐羅巴	Европа (значения)
性	Природа и сущность человека
八元數	Алгебра Кэли
