Afríka	Африка
Miðbaugsskírn	Праздник Нептуна
Geislaálag	Эквивалентная доза
Skeiðará	Скейдарау
Flikruberg	Игнимбрит
Vallarfoxgras	Тимофеевка луговая
A Clockwork Orange	Заводной апельсин (значения)
Fúnksjónalismi	Функционализм
BÍN	Bin
Hænugæs	Куриный гусь
Margaret Cho	Чо, Маргарет
Hliðrænt sjónvarp	Аналоговое телевидение
Tanka	Танка
Gyðla	Нимфа (биология)
Caroline Graham	Грэм, Кэролайн
In Flames	In Flames
Evrópumeistaramót karla í handknattleik 1998	Чемпионат Европы по гандболу среди мужчин 1998
Tarsan 2	Тарзан 2
Ustersbach	Устерсбах
Motorola	Motorola
Gällivare	Елливаре
ECMAScript	ECMAScript
Michael Ventris	Вентрис, Майкл
Ástralskur dalur	Австралийский доллар
Kvikskurður	Вивисекция
Norn	Колдовство
Theatiner-kirkjan í München	Театинеркирхе
Eddard Stark	Эддард Старк
Wandel-haf	Море Ванделя
Listi yfir lönd og útliggjandi yfirráðasvæði eftir stærð	Список государств и зависимых территорий по площади
Flokkur:Þýsk fyrirtæki	Категория:Компании Германии
Gúmmístígvél	Резиновые сапоги
Traun	Траун (город)
Steyr	Штайр
Chewbacca-vörnin	Защита Чубакки
Holugeitungur	Оса обыкновенная
Haraldur gilli	Харальд IV Гилли
Nirvana	Нирвана (значения)
Övertorneå	Эвертурнео
Borgarhliðin í München	Изарские ворота
Lunokhod 1	Луноход-1
Býkúpugröf	Толос
Matthew Meselson	Мезельсон, Метью
Apófyllít	Апофиллит
Fjölgreindakenningin	Теория множественного интеллекта
Muse Watson	Уотсон, Мьюз
Hōryū-ji	Хорю-дзи
Líkrán	Похищение трупов
Blátjald	Хромакей
Louise Lombard	Ломбард, Луиза
Amy Sedaris	Седарис, Эми
Lauren Lee Smith	Смит, Лорен Ли
Navi Rawat	Рават, Нави
Margit Sandemo	Сандему, Маргит
Halla Margrét Árnadóttir	Хадла Маргрет Аурнадоттир
Rachel Miner	Майнер, Рэйчел
Arete frá Kýrenu	Арета Киренская
Vala Flosadóttir	Вала Флосадоуттир
Yrsa Sigurðardóttir	Сигурдардоттир, Ирса
Ellen MacArthur	Макартур, Эллен
Elizabeth Peña	Пенья, Элизабет
Penelope Lively	Лайвли, Пенелопа
Adrianne Palicki	Палики, Эдрианн
Höfundaréttur	Авторское право
Keren Ann	Ан, Керен
Farrelly-bræðurnir	Братья Фаррелли
Les Paul	Лес Пол
Aflagssögn	Отложительные глаголы
Antósýanefni	Антоцианы
Kath Soucie	Сьюси, Кэт
Íslenski hesturinn	Исландская лошадь
Kaliforníuháskóli í Santa Barbara	Калифорнийский университет в Санта-Барбаре
Jordan Mechner	Мекнер, Джордан
Kreml	Кремль
Floria Sigismondi	Сигизмонди, Флория
Alona Tal	Таль, Алона
Nóta (tónlist)	Нота (музыка)
Alejandro Jodorowsky	Ходоровски, Алехандро
Nu metal	Ню-метал
International Harvester	International Harvester
Fullstytt brot	Несократимая дробь
Huskvarna	Хускварна
Emperor	Emperor
Kastalavirkið í Graz	Замок Шлоссберг
Common Gateway Interface	CGI
Gianni Versace	Версаче, Джанни
Grænþörungar	Зелёные водоросли
Sódavatn	Газированная вода
Marcia Wallace	Уоллес, Марсия
Um skáldskaparlistina	Поэтика (Аристотель)
Aileen Wuornos	Уорнос, Эйлин
Menningarkimi	Субкультура
Ákveðin lýsing	Дескрипция
Vadstena	Вадстена
Bein	Кость
Ólafur hungur	Олаф I (король Дании)
Concrete	Concrete (альбом Fear Factory)
Iamamiwhoami	Iamamiwhoami
Wayne Rooney	Руни, Уэйн
Portolanokort	Портулан
Astara (Aserbaídsjan)	Астара (Азербайджан)
Stepmom	Мачеха (фильм, 1998)
Mandy Patinkin	Патинкин, Мэнди
Angíótensín II	Ангиотензин
Ivar Lo-Johansson	Лу-Юхансон, Ивар
Teketill Russells	Чайник Рассела
Þvottaklemma	Прищепка
Rafhlaða	Батарея (электротехника)
Tónlist í Grand Theft Auto 2	Саундтрек Grand Theft Auto 2
Kríton (Platon)	Критон (Платон)
Bílastæði	Стоянка (сооружение)
Póststrúktúralismi	Постструктурализм
Oxfam	Оксфэм
Westwood Studios	Westwood Studios
Mankala	Манкала
Darwin	Дарвин
Efsta deild karla í knattspyrnu 1924	Чемпионат Исландии по футболу 1924
Screen Actors Guild-verðlaun	Премия Гильдии киноактёров США
Wireless Markup Language	WML
Sporger ferill	Эллиптическая кривая
Alþjóðasteindarfræðisamtökin	Международная минералогическая ассоциация
Hugo Banzer	Бансер Суарес, Уго
Tatiana Samoilova	Самойлова, Татьяна Евгеньевна
Svaneðlur	Плезиозавры
Fimmta konungsættin	V династия (Древний Египет)
Georg 5.	Георг V
Eldgosið í Eyjafjallajökli 2010	Извержение вулкана Эйяфьядлайёкюдль (2010)
Suffocation	Suffocation
Enska úrvalsdeildin 2005-06	Чемпионат Англии по футболу 2005/2006
Járnfrúin (kvikmynd)	Железная леди (фильм)
Don Rickles	Риклс, Дон
Hryðjuverkin 29. mars 2010	Взрывы в московском метро (2010)
Sjötta konungsættin	VI династия (Древний Египет)
Rockefeller-háskóli	Рокфеллеровский университет
Apple TV	Apple TV
Pétur Pan (kvikmynd 1953)	Питер Пэн (мультфильм)
Vampire Knight	Рыцарь-Вампир
Scream 2	Крик 2
Írskt pund	Ирландский фунт
Persónuleikaröskun	Расстройство личности
Silt	Ил
Opinbert fyrirtæki	Государственное предприятие
Kjúlli litli	Цыплёнок Цыпа
Álandshaf	Аландское море
Åmål	Омоль (город)
Åre	Оре (Швеция)
Konungur Ítalíu	Список королей Италии
Herkúles (kvikmynd)	Геркулес (мультфильм)
Pýtonslanga	Настоящие питоны
Jaboatão dos Guararapes	Жабоатан-дус-Гуарарапис
Hallgrímskirkja (Reykjavík)	Хадльгримскиркья
Daryl Sabara	Сабара, Дэрил
Strandfura	Сосна приморская
Fiskinet	Рыболовная сеть
Þríforkur	Трезубец
Katekólamín	Катехоламины
James Mill	Милль, Джеймс
Landslagsþáttur	Форма рельефа
Charles Le Brun	Лебрен, Шарль
Flotfræði	Реология
Persónuleiki	Психология личности
Mýósín	Миозин
Karen	Карены
Sinfónísk ljóð	Симфоническая поэма
Próklos	Прокл Диадох
Ducati	Ducati
Snemmgrískur tími	Архаическая Греция
Thích Quảng Đức	Тхить Куанг Дык
Fjárlög	Государственный бюджет
Franska Miðbaugs-Afríka	Французская Экваториальная Африка
Kaupmáttur	Покупательная способность
Matarsjúkdómur	Пищевое отравление
Skattaskjól	Офшорная зона
Skógláp	Шугейзинг
Van Morrison	Моррисон, Ван
Endanlegt mengi	Конечное множество
Samgæði	Общественные блага
Tíðindalaust á vesturvígstöðvunum	На западном фронте без перемен (фильм, 1930)
John L. Austin	Остин, Джон Лэнгшо
Fatboy Slim	Fatboy Slim
Gallsteinar	Жёлчные камни
Listi yfir þjóðtungur Indlands	Список языков Индии
John Hancock	Хэнкок, Джон
Híerónýmusarklaustrið (Lissabon)	Жеронимуш
Epidót	Эпидот
Rómverskar nafnavenjur	Римские имена
Kazuo Ishiguro	Исигуро, Кадзуо
The Elephant Man	Человек-слон
Jakob 2. Skotakonungur	Яков II (король Шотландии)
Telma Hopkins	Хопкинс, Тельма
Eivør Pálsdóttir	Полсдоттир, Айвёр
Ciara Bravo	Браво, Киара
Estelle Harris	Харрис, Эстель
Joan Cusack	Кьюсак, Джоан
Robert Patrick	Патрик, Роберт
Símonídes frá Keos	Симонид
Martini (kokkteill)	Мартини (коктейль)
Keke Palmer	Палмер, Кеке
R. Kelly	Ар Келли
Skutur	Корма
Klippari	Клипер (судно)
Lýsa	Мерланг
Högnun	Арбитраж (экономика)
Mótmæli	Протест
Reykelsi	Благовония
Emerson, Lake & Palmer	Emerson, Lake & Palmer
Skotbakvörður	Атакующий защитник
Amintore Fanfani	Фанфани, Аминторе
Sangria	Сангрия
Hlutheildun	Интегрирование по частям
Ítalíustríðin	Итальянские войны
Úfur	Язычок (биология)
Málsvörn Sókratesar (Platon)	Апология (Платон)
Seneca eldri	Сенека Старший
Göngu-Hrólfur	Роллон
Fjórvegur	Квадривиум
Hrúga (tölvunarfræði)	Куча (структура данных)
Patrick Pearse	Пирс, Патрик
Spælegg	Яичница
Eiturvirkni	Токсичность
Bakarí	Пекарня
Forsætisráðherra Japans	Премьер-министр Японии
Listi yfir þjóðhöfðingja Navarra	Список правителей Наварры
Súmersk trúarbrögð	Шумеро-аккадская мифология
Baksund	Плавание на спине
Captain America: The First Avenger	Первый мститель
Ullserkur	Навозник белый
Caernarfonkastali	Замок Карнарвон
Scratch	Скретч (язык программирования)
Propylaea	Пропилеи
Fíkjutré Benjamíns	Фикус Бенджамина
Marouane Fellaini	Феллайни, Маруан
O Clone	Клон (телесериал)
Kasímír hrif	Эффект Казимира
Skíði (hvalir)	Китовый ус
Hallatala	Угловой коэффициент
Textarýni	Текстология
Skjávarpi	Проектор
Brjóskgljáfiskar	Хрящевые ганоиды
Kirsten Vangsness	Вангснесс, Кирстен
Gliese 581 e	Глизе 581 e
90210	90210: Новое поколение
Skáli	Павильон
Jim Varney	Варни, Джим
Húsapuntur	Пырей ползучий
Joe Mantegna	Мантенья, Джо
Marens	Безе
A Cinderella Story	История Золушки
Skrímsli	Монстр
Paul Rudd	Радд, Пол
Ameríkudeildin (NFL)	Американская футбольная конференция
Borgarnes	Боргарнес
Gambit (2012 kvikmynd)	Гамбит (фильм, 2012)
Ismail Ibn Sharif	Мулай Исмаил ибн Шериф
Balíhaf	Бали (море)
Suðaustur-Asíubandalagið	Организация Договора Юго-Восточной Азии
Panic! At The Disco	Panic! At the Disco
Kakemono	Какэмоно
Estrógen	Эстрогены
Mödling	Мёдлинг
AFC Norður	Северный дивизион Американской футбольной конференции
Viðkvæmar tegundir	Уязвимые виды
Samdrykkjan (Xenofon)	Пир (Ксенофонт)
Málsvari andskotans	Адвокат дьявола
Edward	Эдуард
Frúarkirkjan í Ágsborg	Собор Девы Марии (Аугсбург)
Mitch Pileggi	Пиледжи, Митч
Béla Kiss	Киш, Бела
Kosningar í Bandaríkjunum	Избирательная система США
Dómkirkjan í Brúnsvík	Брауншвейгский собор
Fjölnotatæki	Многофункциональное устройство
Meistaradeild Evrópu 1998-99	Лига чемпионов УЕФА 1998/1999
Ungmennafélagið Stjarnan	Стьярнан
Geena Davis	Дэвис, Джина
A4	A4 (значения)
Péturskirkjan í Regensburg	Регенсбургский собор
CNRS	Национальный центр научных исследований
Aþenodóros frá Kanönu	Афинодор Кананит
Ránjaxl	Хищные зубы
Listi yfir CSI:Miami (5. þáttaröð)	C.S.I.: Место преступления Майами (сезон 5)
Georg 6. Bretlandskonungur	Георг VI
Tímon frá Flíos	Тимон из Флиунта
Degu	Дегу
André Franquin	Франкен, Андре
Pípuorgel	Орган (музыкальный инструмент)
Batman (aðgreining)	Бэтмен (значения)
Kawaii	Каваий
Hans Egede	Эгеде, Ханс
Vilberg	Управление талантами
Barónett	Баронет
Íverufall	Инессив
Hið fullkomna morð	Идеальное убийство
Afstæðiskenning	Относительность
Yu Suzuki	Судзуки, Ю
Ábendingarfornafn	Указательные местоимения
BOPE	BOPE
Alucard (Hellsing)	Алукард (Хеллсинг)
Sjávarsalt	Морская соль
Trent Reznor	Резнор, Трент
Basil Zaharoff	Захарофф, Василий
Höfn	Гавань
Private Practice	Частная практика (телесериал)
Langisjór	Лаунгисьоур
Alfons 5.	Альфонсо V (король Леона)
Sæmundur fróði Sigfússon	Сэмунд Мудрый
Bein ræða	Прямая речь
Lola Glaudini	Глодини, Лола
Creative Commons-leyfi	Лицензии и инструменты Creative Commons
Karneades	Карнеад
Hið alsjáandi auga	Всевидящее Око
Imelda Marcos	Маркос, Имельда Ромуальдес
Indverski flughundur	Индийская летучая лисица
Medea (Evripídes)	Медея (пьеса Еврипида)
BLAST	BLAST
Fiera di Primiero	Фьера-ди-Примьеро
Abbas 2.	Аббас II (шах Ирана)
Diane Farr	Фарр, Дайан
Samantha Ferris	Феррис, Саманта
Mechthilde af Holtsetalandi	Мехтхильда Гольштейнская
Ingibjörg Eiríksdóttir af Danmörku	Ингеборга Эриксдаттер
Liz Vassey	Вэсси, Лиз
Ríkissa Valdimarsdóttir	Рихеза Датская
Rebecca Pidgeon	Пиджон, Ребекка
Liza Lapira	Лапира, Лиза
The Hives	The Hives
Akademisk Boldklub	Академиск
The Canterville ghost	Кентервильское привидение
Emily Browning	Браунинг, Эмили
G.I. Joe: The Rise of Cobra	Бросок кобры
Málari	Маляр
Þórbergur Þórðarson	Торбергур Тордарсон
Jaakko Hintikka	Хинтикка, Яакко
Guðleysi	Агностицизм
Marjorie Estiano	Маржори Эстиано
Bramíni	Брахма (буддизм)
Bleklar	Навозник (род грибов)
Huri	Гурии
Grigno	Гриньо
Sjóvá-Almennra deild karla í knattspyrnu 1995	Чемпионат Исландии по футболу 1995
1. deild karla í knattspyrnu 1991	Чемпионат Исландии по футболу 1991
Codex Ephraemi Rescriptus	Ефремов кодекс
Imèr	Имер
Evrópumeistaramót karla í handknattleik 1994	Чемпионат Европы по гандболу среди мужчин 1994
Miðhálendið	Исландское плато
Marjorie Bruce	Брюс, Марджори
Greta Salóme Stefánsdóttir	Грета Салоуме Стефаунсдоттир
Cristina Scabbia	Скаббия, Кристина
Íþróttabandalag Akureyrar	ИБА (футбольный клуб)
Íþróttabandalag Akraness	Акранес (футбольный клуб)
Íþróttabandalag Vestmannaeyja	Вестманнаэйяр (футбольный клуб)
Íþróttafélagið Fylkir	Филкир (футбольный клуб)
Ísafjarðardjúp	Иса-фьорд
Ísafjarðarbær	Исафьардарбайр
Skautafélagið Björninn	Бьёрнин
AFC Austur	Восточный дивизион Американской футбольной конференции
Ísleifur Gissurarson	Ислейвур Гиссурарсон
Ásgarður (aðgreining)	Асгард (значения)
Brian Cox	Кокс, Брайан
Poison	Poison
Demodex	Demodex
Monte Carlo (aðgreining)	Монте-Карло (значения)
Ernst	Эрнст
Ófærufoss	Оуфайрюфосс
Ólafsvík	Оулафсвик
Ólafur Arnalds	Арналдс, Олафур
Ólafur Jóhann Sigurðsson	Оулавюр Йоуханн Сигюрдссон
Ólafur Jóhannesson (f. 1913)	Олафур Йоханнессон
Ólafur Thors	Олафур Трюггвасон Торс
Ólafsvaka	Оулавсёка
Oscar De La Hoya	Де Ла Хойя, Оскар
Ödípús í Kólonos	Эдип в Колоне
Krítías	Критий
Emilia Plater	Плятер, Эмилия
Boz	Боз
Mihai Ghimpu	Гимпу, Михай
Fergie	Ферги (значения)
Róbert 3. Skotakonungur	Роберт III (король Шотландии)
Aulus Gellius	Авл Геллий
César Azpilicueta	Аспиликуэта, Сесар
Matthew Morrison	Моррисон, Мэтью
David Caruso	Карузо, Дэвид
Jay Sean	Джей Шон
Richard Pryor	Прайор, Ричард
James Randi	Рэнди, Джеймс
Aþenajos	Афиней
Jerry Lewis	Джерри Льюис
William Randolph Hearst	Херст, Уильям Рэндольф
John Searle	Сёрль, Джон Роджерс
Johnny Knoxville	Ноксвилл, Джонни
John Leguizamo	Легуизамо, Джон
Clyde Drexler	Дрекслер, Клайд
G.E. Moore	Мур, Джордж Эдвард
Vistsvæði	Экологический регион
Mezzano	Медзано
Perla	Перла
Camille Flammarion	Фламмарион, Камиль
Paul Stanley	Пол Стэнли
Rif	Риф (значения)
Ammoníos	Аммоний (значения)
Tala	Тала
Aveiro	Авейру (значения)
Orrustan við Beneventum	Битва при Беневенте
Victor Moses	Мозес, Виктор
César Cielo	Сьело Фильо, Сезар
Tom Hiddleston	Хиддлстон, Том
Carlos Saura	Саура, Карлос
Vistfræðikenningin	Теория экологических систем
Jon Favreau	Фавро, Джон
George Herbert Mead	Мид, Джордж Герберт
Kalmar	Кальмар (значения)
Sam Harris	Харрис, Сэм
Klement Gottwald	Готвальд, Клемент
George Pólya	Пойа, Дьёрдь
Cory Monteith	Монтейт, Кори
Rob Lowe	Лоу, Роб
Jon Lovitz	Ловитц, Джон
Alistair Darling	Дарлинг, Алистер
Mark Harmon	Хэрмон, Марк
Olíumálning	Масляные краски
Sveitarfélagið Ölfus	Эльфюс
Ölfusá	Эльфюсау
Chace Crawford	Кроуфорд, Чейс
Bam Margera	Марджера, Бэм
Gaius Sempronius Gracchus	Гай Семпроний Гракх
Giovanni Giolitti	Джолитти, Джованни
Valdimar mikli Knútsson	Вальдемар I Великий
Ed Westwick	Вествик, Эд
Wacław Sierpiński	Серпинский, Вацлав
Kerry King	Кинг, Керри
David Moyes	Мойес, Дэвид
Pródíkos	Продик
Panætíos	Панетий Родосский
Ferdínand 1. de' Medici	Фердинанд I (великий герцог Тосканы)
Vashti Bunyan	Баньян, Вашти
Léonin	Леонин
Tom Morello	Морелло, Том
Nemanja Matić	Матич, Неманья
Friðrik V	Фридрих V
Eyrarsundsbrúin	Эресуннский мост
Lee Strasberg	Страсберг, Ли
Fred Thompson	Томпсон, Фред Далтон
Joss Whedon	Уидон, Джосс
Davíð Oddsson	Давид Оддссон
Öræfajökull	Эрайвайёкюдль
Lucius Aemilius Paullus Macedonicus	Луций Эмилий Павел Македонский
Willow Smith	Смит, Уиллоу
Kleon	Клеон
John Wayne Gacy	Гейси, Джон Уэйн
Thomas Keneally	Кенилли, Томас
Jeffrey Dahmer	Дамер, Джеффри
Rahm Emanuel	Эмануэль, Рам
Isiah Thomas	Томас, Айзея (1961)
Saul Kripke	Крипке, Сол
Austurríki í Söngvakeppni evrópskra sjónvarpsstöðva	Австрия на конкурсе песни Евровидение
Pat Morita	Морита, Пэт
Billy Connolly	Коннолли, Билли
Alkman	Алкман
Hippasos	Гиппас из Метапонта
Phil Lynott	Лайнотт, Фил
Tom Kenny	Кенни, Томас
Peter MacNicol	Макникол, Питер
Kvöld í klúbbnum	Ночь в Роксбери
Hundastelling	Поза на коленях
IPhone 3G S	IPhone 3GS
Make	Make
Freenode	Freenode
Foobar2000	Foobar2000
IPhone 3G	IPhone 3G
Aalter	Алтер
Xi Zhongxun	Си Чжунсюнь
Flokkunarkerfi Aarne-Thompson	Указатель сюжетов фольклорной сказки
New Super Mario Bros.	New Super Mario Bros.
Bartolomeo Cristofori	Кристофори ди Франческо, Бартоломео
Stefni	Нос (судостроение)
Sigmundur Brestisson	Сигмунд Брестиссон
Fyrrum Sovétlýðveldi	Постсоветское пространство
Móhnefla	Сыроежка буреющая
1. deild karla í knattspyrnu 1963	Чемпионат Исландии по футболу 1963
Aaron Swartz	Шварц, Аарон
Upernavik	Упернавик
Tvíkynjungur	Гермафродит (биология)
Sjóvár-Almennra deild karla í knattspyrnu 1996	Чемпионат Исландии по футболу 1996
Hræbjöllur	Мертвоеды
Austurríska karlalandsliðið í handknattleik	Мужская сборная Австрии по гандболу
Skriðdýrin	Ох уж эти детки!
Innvængjur	Насекомые с полным превращением
Spákvistur	Лозоходство
Póstlisti	Рассылка электронной почты
Ísöld (kvikmynd)	Ледниковый период (мультфильм)
Íslenskir stjórnmálaflokkar	Список политических партий Исландии
Quidditch	Квиддич
IBook	IBook
Pwd	Pwd
Hugin	Hugin
G-blokk	G-элементы
IWork	IWork
Cairo	Cairo
Múm	Múm
ISight	ISight
Betalaktam-lyf	Бета-лактамные антибиотики
EMac	EMac
Example.net	Домены для примеров
W3m	W3m
Betasundrun	Бета-распад
Austræn heimspeki	Восточная философия
Mart Laar	Лаар, Март
Öxará	Эхсарау
Dóttir	Дочь
Eftirskjálfti	Афтершок
Drift	Угол сноса
Fráleiðsla	Абдукция (логика)
James Gandolfini	Гандольфини, Джеймс
Hillingar	Мираж
Kvenhatur	Мизогиния
Mac Pro	Mac Pro
Mac mini	Mac mini
London Aquatics Centre	Центр водных видов спорта (Лондон)
Stopmotion	Кукольная мультипликация
Lítill framherji	Лёгкий форвард
Forsæti Ráðs Evrópusambandsins	Государство — председатель Совета Европейского союза
Háttvísir broddborgarar	Скромное обаяние буржуазии
Northrop F-5	Northrop F-5
Rafleiðni	Электрическая проводимость
Glastonbury-hátíðin	Гластонбери (фестиваль)
Sjóveiki	Морская болезнь
Breiðþota	Широкофюзеляжный самолёт
Spegilfruma	Зеркальные нейроны
Danmörk í Söngvakeppni evrópskra sjónvarpsstöðva	Дания на конкурсе песни Евровидение
Næturdýr	Ночной образ жизни животных
Jean Giraud	Жиро, Жан (художник)
Þjóðgarður Grænlands	Гренландский национальный парк
Avaris	Аварис
Ríkisháskólinn í Ohio	Университет штата Огайо
Northwestern-háskóli	Северо-Западный университет
Mercator-vörpun	Проекция Меркатора
Ryūtarō Hashimoto	Хасимото, Рютаро
Beyblade	Бейблэйд
Náttúrugripasafnið í London	Музей естествознания (Лондон)
Will Wright	Райт, Уилл
Greg Grunberg	Гранберг, Грегори
Ed Gein	Гейн, Эд
Ritchie Valens	Ричи Валенс
Fernando Arrabal	Аррабаль, Фернандо
Nicolas Malebranche	Мальбранш, Николя
Bruce Campbell	Кэмпбелл, Брюс
Peyo	Кюллифор, Пьер
Tyrone Power	Пауэр, Тайрон
C-moll	До минор
Namco	Namco
Joseph Greenberg	Гринберг, Джозеф
Hans Christian Gram	Грам, Ганс Кристиан
Crispin Glover	Гловер, Криспин
Awesome	Awesome
Karl hertogi af Orléans	Карл (герцог Орлеанский)
Kleanþes	Клеанф (стоик)
Eiríkur helgi	Эрик IX Святой
Bill Bryson	Брайсон, Билл
Palmiro Togliatti	Тольятти, Пальмиро
Manuel Castells	Кастельс, Мануэль
Lýsías	Лисий
Pete Wentz	Вентц, Пит
Curtis Mayfield	Мэйфилд, Кёртис
Ammoníos Sakkas	Аммоний Саккас
Martin Amis	Эмис, Мартин
Alasdair MacIntyre	Макинтайр, Аласдер
Harold Shipman	Шипман, Гарольд
Denis Leary	Лири, Денис
Jim Cummings	Каммингс, Джим
Will Sasso	Сассо, Уилл
Antonio Negri	Негри, Антонио
Freddy Adu	Аду, Фредди
Alan Alda	Алан Алда
Kristján Eldjárn	Эльдьяурн, Кристиан
Karl Knútsson Bonde	Карл VIII (король Швеции)
Shunzhi	Шуньчжи
George Robert Gray	Грей, Джордж Роберт
Robert Wagner	Вагнер, Роберт (актёр)
Ivano Balić	Балич, Ивано
Miguel Najdorf	Найдорф, Мигель
Dennis Kucinich	Кусинич, Деннис
Glenn Beck	Бек, Гленн
Húsamaur	Hypoponera punctatissima
Bakkylídes	Вакхилид
Tækniháskóli Darmstadt	Дармштадтский технический университет
John Jay	Джей, Джон
MiRNA	МикроРНК
Jamblikkos	Ямвлих
Peter Dinklage	Динклэйдж, Питер
William Walton	Уолтон, Уильям (композитор)
Bill O'Reilly	О’Рейли, Билл
Rasmus Kristján Rask	Раск, Расмус
Magnús góði	Магнус I Добрый
Haraldur 2. Danakonungur	Харальд II (король Дании)
Jeff Bennett	Беннетт, Джефф
Karl Rove	Роув, Карл
Nurhaci	Айсиньгиоро Нурхаци
Nostoc	Носток
Julio María Sanguinetti	Сангинетти, Хулио Мария
William Rehnquist	Ренквист, Уильям Хаббс
Brasídas	Брасид
Lawrence Kohlberg	Кольберг, Лоренц
Gigi D'Agostino	Д’Агостино, Джиджи
Penn Badgley	Бэджли, Пенн
Chris Farley	Фарли, Крис
Jason Alexander	Александер, Джейсон
Charles Taylor	Тейлор, Чарльз (философ)
Peter Frederick Strawson	Стросон, Питер Фредерик
Lundar	Тупики
Philippe de Vitry	Филипп де Витри
Jason Priestley	Пристли, Джейсон
Donald Davidson	Дэвидсон, Дональд
Herbert Paul Grice	Грайс, Герберт Пол
Josh Peck	Пек, Джош
Bill Richardson	Ричардсон, Уильям Блейн
Giuseppe Ungaretti	Унгаретти, Джузеппе
William Petersen	Петерсен, Уильям
Orlando Gibbons	Гиббонс, Орландо
Mike Epps	Эппс, Майк
Rob Paulsen	Полсен, Роб
Joel McHale	Макхейл, Джоэль
Magnús berfættur	Магнус III Голоногий
Aristarkos frá Samóþrake	Аристарх Самофракийский
Adam Baldwin	Болдуин, Адам
Pöddusveppir	Кордицепс
Chinguetti	Шингетти
Staðkvæmdarvara	Субститут
Róbert 2. Skotakonungur	Роберт II (король Шотландии)
Vilhjálmur ljón	Вильгельм I Лев
Ríkharður 2. af Normandí	Ричард II (герцог Нормандии)
Stanisław Wyspiański	Выспяньский, Станислав
Giorgio Moroder	Мородер, Джорджо
Harold Holt	Холт, Гарольд
Bob Woodward	Вудворд, Боб
Crème brûlée	Крем-брюле
David Lodge	Лодж, Дэвид
Ludwig Scotty	Скотти, Людвиг Дерангадаге
Sigurður Jórsalafari	Сигурд I Крестоносец
Nick Hornby	Хорнби, Ник
Chris Isaak	Айзек, Крис
Helíodóros frá Emesa	Гелиодор (писатель)
Brian Wilson	Уилсон, Брайан
Hákon 6. Magnússon	Хакон Магнуссон
Vilhjálmur 1. af Normandí	Вильгельм I (герцог Нормандии)
Aristófanes frá Býzantíon	Аристофан Византийский
David McCallum	Маккаллум, Дэвид
Jean Anthelme Brillat-Savarin	Брилья-Саварен, Жан Антельм
Tommy Thayer	Таер, Томми
Arthur Cecil Pigou	Пигу, Артур Сесил
John Banville	Бэнвилл, Джон
Soulja Boy	Soulja Boy
Kyu Sakamoto	Сакамото, Кю
Hákon háleggur	Хакон V Святой
Peter Nalitch	Налич, Пётр Андреевич
Moussa Traoré	Траоре, Муса
Peter Carey	Кэри, Питер
Demetríos frá Faleron	Деметрий Фалерский
Romelu Lukaku	Лукаку, Ромелу
Algirdas Julien Greimas	Греймас, Альгирдас Жюльен
Jason Lezak	Лезак, Джейсон
Gilbert Ryle	Райл, Гилберт
Jonah Hill	Хилл, Джона
Lon Nol	Лон Нол
Ian Smith	Смит, Ян
Vladimir Propp	Пропп, Владимир Яковлевич
Manute Bol	Бол, Мануте
Quintus Fabius Pictor	Квинт Фабий Пиктор
Matthew Gray Gubler	Габлер, Мэтью Грей
Chris Vance	Вэнс, Крис
Absalon erkibiskup	Абсалон
Vanilla Ice	Vanilla Ice
Ivanoe Bonomi	Бономи, Иваноэ
Ólafur 4. Hákonarson	Олаф Хаконссон
Nouriel Roubini	Рубини, Нуриэль
Thomas Vinterberg	Винтерберг, Томас
Eiríkur Magnússon prestahatari	Эйрик II Магнуссон
Egill Skalla-Grímsson	Эгиль Скаллагримссон
Magnús Eiríksson smek	Магнус Эрикссон
Harry Reid	Рид, Гарри
Harold Lasswell	Лассуэл, Гарольд Дуайт
Tokugawa Hidetada	Токугава Хидэтада
Ænesidemos	Энесидем
Erving Goffman	Гоффман, Эрвинг
José Luís Peixoto	Пейшоту, Жозе Луиш
Hákon Aðalsteinsfóstri	Хакон I Добрый
Tokugawa Iemitsu	Токугава Иэмицу
Edward Burns	Бёрнс, Эдвард
Leonardo Bruni	Бруни, Леонардо
Gormur gamli	Горм Старый
Ragnar loðbrók	Рагнар Лодброк
Geoffrey 2. hertogi af Bretagne	Джеффри II Плантагенет (герцог Бретани)
Ferdinand 2. stórhertogi	Фердинандо II Медичи
Eysteinn Magnússon (konungur)	Эйстейн I Магнуссон
Marcus Pacuvius	Марк Пакувий
Misha Collins	Коллинз, Миша
Hal Holbrook	Холбрук, Хэл
Philippe de Champaigne	Шампань, Филипп де
Donald Faison	Фэйсон, Дональд
Jean Picard	Пикар, Жан
Pieter de Hooch	Хох, Питер де
John Waters	Уотерс, Джон
Homo unius libri	Писатель одной книги
Michael Richards	Ричардс, Майкл
Longos	Лонг
Karl Sörkvisson	Карл Сверкерссон
Arnolfo di Cambio	Арнольфо ди Камбио
Giancarlo Giannini	Джаннини, Джанкарло
Dong Fangzhuo	Дун Фанчжо
Kelsos	Цельс
Frank Plumpton Ramsey	Рамсей, Фрэнк Пламптон
Lífbúr	Виварий
Alex Turner	Тёрнер, Алекс
Jón Þór Birgisson	Йоун Тоур Биргиссон
Jólasveinn	Санта-Клаус
Kóróhaf	Море Коро
Lars Lagerbäck	Лагербек, Ларс
