संयुक्त राज्य अमेरिका	Соединённые Штаты Америки
८६४	864 год
८६३	863 год
८६८	868 год
८५५	855 год
८१८	818 год
८३७	837 год
८४५	845 год
१६६	166 год
२०१६	2016 год
५५२	552 год
२०१९	2019 год
ह्यारिसबर्ग	Гаррисберг
२०१७	2017 год
२०१८	2018 год
ट्रेन्टन	Трентон (Нью-Джерси)
२०२०	2020 год
६००	600 год
४००	400 год
३००	300 год
मोन्टपेलियर	Монтпилиер (Вермонт)
जेफर्सन सिटी	Джефферсон-Сити (Миссури)
ज्याकसन	Джэксон (Миссисипи)
अगस्टा	Огаста (Мэн)
बेटन रु	Батон-Руж
ल्यान्सिंग	Лансинг
कन्कर्ड	Конкорд (Нью-Гэмпшир)
लिंकन	Линкольн (Небраска)
एनापोलिस	Аннаполис (Мэриленд)
३६	36 год
केसा	Волосы
स्प्रिंगफिल्ड	Спрингфилд (Иллинойс)
फ्र्यांकफोर्ट	Франкфорт
सन्त पल	Сент-Пол (Миннесота)
आनन्दो	Ананда
मोन्टगोमरी	Монтгомери (Алабама)
जुन्यु	Джуно (Аляска)
चीन	Китайская цивилизация
८१५	815 год
८१६	816 год
८२२	822 год
८४०	840 год
८२३	823 год
८११	811 год
७७१	771 год
८८८	888 год
७६८	768 год
८५१	851 год
२०५	205 год
१५९	159 год
१०७	107 год
१६२	162 год
१०३	103 год
८०२	802 год
८०४	804 год
११९	119 год
११८	118 год
८०१	801 год
८०७	807 год
८०६	806 год
१५२	152 год
२४०	240 год
२१८	218 год
६५५	655 год
४९६	496 год
२३८	238 год
१९७	197 год
४५१	451 год
७७५	775 год
४८९	489 год
७८४	784 год
६६१	661 год
६२५	625 год
६५३	653 год
९०४	904 год
९२१	921 год
९२३	923 год
११२६	1126 год
६६८	668 год
६३६	636 год
४०८	408 год
४६४	464 год
४१०	410 год
९५६	956 год
९५२	952 год
६५८	658 год
६५०	650 год
५१८	518 год
७०	70 год
८१	81 год
६९	69 год
८७	87 год
६५	65 год
६६	66 год
६७	67 год
५५	55 год
३४	34 год
४४	44 год
३५	35 год
६४	64 год
५०४	504 год
४५३	453 год
१६१	161 год
१६९	169 год
४८१	481 год
१५१	151 год
१५५	155 год
१२८	128 год
१२९	129 год
४६३	463 год
१९३	193 год
६७४	674 год
६८७	687 год
२५१	251 год
३३७	337 год
७८६	786 год
६६०	660 год
५०	50 год
२६०	260 год
५०१	501 год
४५	45 год
४९१	491 год
४९	49 год
९७८	978 год
२२१	221 год
५४३	543 год
५३६	536 год
२३०	230 год
७६२	762 год
६१०	610 год
७८७	787 год
४८०	480 год
२०९	209 год
२०२	202 год
१९२	192 год
६८१	681 год
८१९	819 год
१७३	173 год
८६७	867 год
८६५	865 год
८२७	827 год
८२४	824 год
८४७	847 год
८८३	883 год
८२९	829 год
८१३	813 год
९१०	910 год
८५०	850 год
८०८	808 год
८५३	853 год
८७२	872 год
८७३	873 год
८५६	856 год
८५८	858 год
८३१	831 год
८५७	857 год
८२८	828 год
८२६	826 год
८३३	833 год
८४८	848 год
८३४	834 год
८८१	881 год
८५२	852 год
१६३	163 год
१५४	154 год
२०१	201 год
८०३	803 год
८०५	805 год
५२	52 год
५३२	532 год
८२	82 год
८४	84 год
७३	73 год
७२	72 год
६२	62 год
७१	71 год
७५	75 год
७४	74 год
८३	83 год
७८	78 год
७७	77 год
९०	90 год
८०	80 год
६२७	627 год
४५६	456 год
९१	91 год
१९०	190 год
१०९	109 год
५३	53 год
२७०	270 год
६८८	688 год
४५२	452 год
७९५	795 год
४६५	465 год
७७८	778 год
८४६	846 год
८३०	830 год
४०४	404 год
९०८	908 год
८९६	896 год
८९७	897 год
९२७	927 год
६३	63 год
५५५	555 год
५७१	571 год
८६	86 год
४०१	401 год
८९०	890 год
५३३	533 год
२६४	264 год
९९	99 год
४१५	415 год
४८३	483 год
४६९	469 год
४६२	462 год
४५९	459 год
४६६	466 год
४०२	402 год
७६१	761 год
७८०	780 год
६७५	675 год
६८९	689 год
७७४	774 год
७५९	759 год
७५८	758 год
३५०	350 год
७८२	782 год
७६०	760 год
७८५	785 год
७८३	783 год
७६७	767 год
७६६	766 год
२११	211 год
२३२	232 год
२०४	204 год
१८८	188 год
९८	98 год
८९४	894 год
८९१	891 год
६०२	602 год
६२८	628 год
८९२	892 год
६०१	601 год
६७२	672 год
६८२	682 год
८२१	821 год
६४८	648 год
६८६	686 год
६६४	664 год
६७७	677 год
६४०	640 год
११०	110 год
१११	111 год
१३७	137 год
१३८	138 год
१२२	122 год
१४०	140 год
८०९	809 год
१६७	167 год
६६५	665 год
७७६	776 год
७६३	763 год
७६९	769 год
६६७	667 год
५२९	529 год
७७७	777 год
७८८	788 год
६७१	671 год
७७२	772 год
४३२	432 год
२३१	231 год
२३७	237 год
२३९	239 год
१३०	130 год
२२६	226 год
२०७	207 год
४७५	475 год
४५४	454 год
४९५	495 год
२०६	206 год
४६८	468 год
४६१	461 год
४६०	460 год
१९४	194 год
२१०	210 год
२२५	225 год
३११	311 год
२२०	220 год
५४१	541 год
६४२	642 год
३१३	313 год
१८०	180 год
७९४	794 год
५८७	587 год
५३०	530 год
६०९	609 год
४९७	497 год
५४०	540 год
४२८	428 год
५४८	548 год
४२२	422 год
५४९	549 год
४५७	457 год
४७८	478 год
२५३	253 год
४६७	467 год
४५८	458 год
१५८	158 год
१५७	157 год
१६४	164 год
१२४	124 год
११३	113 год
१२१	121 год
१०६	106 год
५५१	551 год
४९४	494 год
३२०	320 год
२४२	242 год
२९१	291 год
४८	48 год
९७	97 год
५६	56 год
९३	93 год
५७	57 год
५०३	503 год
५१०	510 год
५०९	509 год
४७४	474 год
४८४	484 год
५७६	576 год
४९३	493 год
४७९	479 год
२८७	287 год
४०७	407 год
४८५	485 год
५४७	547 год
५४६	546 год
५४४	544 год
५३७	537 год
५३५	535 год
५०२	502 год
५२७	527 год
५०८	508 год
५२५	525 год
६१३	613 год
६१८	618 год
६१७	617 год
६०८	608 год
६४५	645 год
६२१	621 год
६०६	606 год
६२३	623 год
६०४	604 год
६०३	603 год
६२६	626 год
६१९	619 год
६३४	634 год
६३०	630 год
६१४	614 год
५०५	505 год
४४६	446 год
७९१	791 год
५५७	557 год
६५६	656 год
६५७	657 год
६५९	659 год
६५१	651 год
६७६	676 год
६७०	670 год
६५२	652 год
६७३	673 год
६५४	654 год
६४७	647 год
८१२	812 год
६६९	669 год
७९२	792 год
६४९	649 год
८९५	895 год
७५६	756 год
६६३	663 год
७७९	779 год
६६२	662 год
६८४	684 год
७७३	773 год
७५७	757 год
४३५	435 год
७९०	790 год
४३७	437 год
४३३	433 год
७६४	764 год
४२६	426 год
७८१	781 год
४२५	425 год
४२९	429 год
४२३	423 год
७६५	765 год
२३५	235 год
२३३	233 год
२२३	223 год
२२४	224 год
२१६	216 год
२१९	219 год
२५४	254 год
२७२	272 год
२०८	208 год
१७५	175 год
१७०	170 год
१७१	171 год
१७२	172 год
५८	58 год
५९	59 год
१३९	139 год
११४	114 год
१३४	134 год
१३५	135 год
१७९	179 год
१४२	142 год
९६	96 год
१८१	181 год
१४६	146 год
१४५	145 год
१८३	183 год
१८२	182 год
१८४	184 год
३२४	324 год
५८९	589 год
५२१	521 год
९२	92 год
५९७	597 год
३२९	329 год
१३३	133 год
४१३	413 год
२५८	258 год
२५९	259 год
१९६	196 год
२३६	236 год
७८९	789 год
३३२	332 год
६३१	631 год
४८७	487 год
६३८	638 год
४७३	473 год
१७६	176 год
१४३	143 год
६४३	643 год
५२३	523 год
२१५	215 год
१४८	148 год
२४७	247 год
४२४	424 год
६४१	641 год
४९२	492 год
६३९	639 год
२५६	256 год
४४१	441 год
१३१	131 год
१९१	191 год
४५०	450 год
६१२	612 год
६३५	635 год
६११	611 год
५३४	534 год
४८८	488 год
६०७	607 год
५२४	524 год
२८२	282 год
४७२	472 год
४७१	471 год
४९०	490 год
३१६	316 год
७९७	797 год
५११	511 год
२९५	295 год
५९८	598 год
३०३	303 год
२५०	250 год
५१५	515 год
५१२	512 год
४१८	418 год
३३३	333 год
२९४	294 год
२१७	217 год
२७७	277 год
५७८	578 год
३१२	312 год
२८४	284 год
२८३	283 год
२४१	241 год
२४३	243 год
२६२	262 год
४९८	498 год
३३६	336 год
३३४	334 год
२६६	266 год
२६१	261 год
४७०	470 год
३४९	349 год
२७१	271 год
२७५	275 год
२९२	292 год
२९६	296 год
३४५	345 год
४३१	431 год
३०४	304 год
५५०	550 год
५८६	586 год
५८८	588 год
५५४	554 год
२२९	229 год
५८३	583 год
२६५	265 год
२६३	263 год
५८५	585 год
५८२	582 год
५५६	556 год
४२०	420 год
२८०	280 год
५८१	581 год
५५८	558 год
३०२	302 год
३०९	309 год
३५३	353 год
३३५	335 год
३६७	367 год
३४४	344 год
२४५	245 год
२९०	290 год
४४९	449 год
३०८	308 год
२५५	255 год
४३९	439 год
३१९	319 год
३१८	318 год
२९९	299 год
४१९	419 год
४१६	416 год
३३८	338 год
३१०	310 год
३१५	315 год
३५९	359 год
३६०	360 год
२७३	273 год
२८६	286 год
२८८	288 год
२७८	278 год
४५५	455 год
५७७	577 год
५७५	575 год
४८२	482 год
४८६	486 год
५८०	580 год
५६७	567 год
५६४	564 год
५६१	561 год
३२८	328 год
३२५	325 год
३१७	317 год
५७४	574 год
५६६	566 год
२४९	249 год
३४८	348 год
४४२	442 год
४४३	443 год
२६७	267 год
२४४	244 год
२४८	248 год
३४३	343 год
५६२	562 год
४१७	417 год
२६८	268 год
५९०	590 год
२६९	269 год
४९९	499 год
४०९	409 год
४०५	405 год
४०६	406 год
४०३	403 год
४१४	414 год
४११	411 год
४१२	412 год
५६०	560 год
५९२	592 год
२७६	276 год
३१४	314 год
३२३	323 год
३६६	366 год
३६२	362 год
५४५	545 год
५३१	531 год
५१४	514 год
५१३	513 год
५३९	539 год
५३८	538 год
५१९	519 год
५१६	516 год
५२०	520 год
५२२	522 год
५२८	528 год
५०६	506 год
५२६	526 год
५०७	507 год
२१४	214 год
२१३	213 год
२१२	212 год
२२८	228 год
२२७	227 год
१४९	149 год
१७४	174 год
१८९	189 год
१९९	199 год
१४१	141 год
१३२	132 год
१२५	125 год
१२३	123 год
१४७	147 год
१४४	144 год
१९८	198 год
१७८	178 год
१७७	177 год
१८७	187 год
१९५	195 год
१८६	186 год
३४७	347 год
६२०	620 год
६२४	624 год
६०५	605 год
६२९	629 год
६१६	616 год
६१५	615 год
६४४	644 год
६४६	646 год
६३३	633 год
६३७	637 год
४३६	436 год
४३४	434 год
२९३	293 год
४२७	427 год
१८५	185 год
३२१	321 год
३२७	327 год
४३०	430 год
४४७	447 год
लिटिल रक	Литл-Рок (Арканзас)
५६९	569 год
५६८	568 год
४४४	444 год
७९६	796 год
७९८	798 год
७९३	793 год
६८५	685 год
हार्टफोर्ड	Хартфорд (Коннектикут)
७९९	799 год
६८३	683 год
२७४	274 год
डोभर	Довер (Делавэр)
५७९	579 год
२८१	281 год
३०६	306 год
ISO 639	ISO 639
४३८	438 год
२९७	297 год
४२१	421 год
२९८	298 год
३५१	351 год
३५२	352 год
३५५	355 год
९५	95 год
९४	94 год
५९४	594 год
४४८	448 год
४४५	445 год
३०५	305 год
२३४	234 год
५६५	565 год
३८१	381 год
३८५	385 год
५५३	553 год
३०७	307 год
५८४	584 год
३४६	346 год
२५७	257 год
२८५	285 год
५९१	591 год
२८९	289 год
५६३	563 год
२५२	252 год
५९५	595 год
२४६	246 год
५९६	596 год
५९३	593 год
३५७	357 год
५७३	573 год
नेपाल भाषा	Неварский язык
५५९	559 год
५९९	599 год
३२६	326 год
३४१	341 год
३२२	322 год
३८६	386 год
३७४	374 год
३८०	380 год
१३६	136 год
३८२	382 год
३४२	342 год
३७३	373 год
३७२	372 год
ओक्लाहोमा सिटी	Оклахома-Сити
३७५	375 год
३८७	387 год
बोइज	Бойсе (город)
पालि Pāli	Пали
टालाहासे	Таллахасси
बिस्मार्क	Бисмарк (Северная Дакота)
३३१	331 год
३६५	365 год
३७९	379 год
कोलम्बिया	Колумбия (Южная Каролина)
सान्ता फे	Санта-Фе (Нью-Мексико)
हेलेना	Хелена (Монтана)
चेइनी	Шайенн (Вайоминг)
डेस् म्वाने	Де-Мойн
पियेरे	Пирр (Южная Дакота)
कार्सन सिटी	Карсон-Сити (Невада)
टोपेका	Топика (Канзас)
र्यालेइ	Роли (Северная Каролина)
ओलम्पिया	Олимпия (Вашингтон)
रिचमन्ड	Ричмонд (Виргиния)
मेडिसन	Мадисон (Висконсин)
सालेम	Сейлем (Орегон)
चार्ल्सटन	Чарлстон (Западная Виргиния)
३३९	339 год
३४०	340 год
३५४	354 год
३५६	356 год
३५८	358 год
३६१	361 год
३६३	363 год
३६४	364 год
३६८	368 год
३६९	369 год
३७०	370 год
३७१	371 год
३७६	376 год
३७७	377 год
३७८	378 год
३८३	383 год
३८४	384 год
३८८	388 год
३८९	389 год
३९०	390 год
३९१	391 год
३९२	392 год
३९३	393 год
३९४	394 год
३९५	395 год
३९६	396 год
३९७	397 год
३९८	398 год
३९९	399 год
२७९	279 год
४४०	440 год
५१७	517 год
५७२	572 год
२०२६	2026 год
२०२५	2025 год
२०२३	2023 год
२०२२	2022 год
२०२१	2021 год
२०४१	2041 год
२०४२	2042 год
२०४३	2043 год
२०४४	2044 год
२०४५	2045 год
२०४६	2046 год
२०४७	2047 год
२०४८	2048 год
२०४९	2049 год
२०५०	2050 год
२०५१	2051 год
२०५२	2052 год
जगद्गुरुरामभद्राचार्यः Jagadgururāmabhadrācāryaḥ	Рамбхадрачарья Свами
सैन्त्फ़िएल्द	Сэнтфильд
अन्नालोंग	Анналонг
अन्नाहिल्ट	Аннаилт
ऊक्ष्ब्रिद्गे	Аксбридж (Массачусетс)
बिम्बिसारो	Бимбисара
बामियान्-बुद्ध-पटिमायो	Бамианские статуи Будды
बुश्मिल्ल्स	Бушмилс
सुत्तपिटक	Сутта-питака
अल्देर्ग्रोवे, काउन्टी अंतरिम	Ольдергров
अच्तों, काउन्टी अर्माघ	Актон (хутор)
विभाग:Wikipedia bots	Категория:Участники:Боты
Wikipedia:Administrators	Википедия:Администраторы
अल्त्मोरे	Алтмор
पटिरूप:Bot	Шаблон:Bot
विक्टोरिया ब्रिद्गे, काउन्टी त्य्रोने	Мост Виктория
पटिरूप:Documentation	Шаблон:Doc
विभाग:Deleteme	Категория:Википедия:Удаление страниц
सुंग जय-की	Сон Джэги
पटिरूप:Softredirect	Шаблон:Soft redirect
पटिरूप:Delete	Шаблон:К быстрому удалению
पटिरूप:Navbox	Шаблон:Navbox
पटिरूप:Tnavbar	Шаблон:Tnavbar
पटिरूप:Clear	Шаблон:Clear
पटिरूप:Babel	Шаблон:Babel
पटिरूप:Reflist	Шаблон:Примечания
पटिरूप:Stub	Шаблон:Заготовка
पटिरूप:User da-2	Шаблон:User da-2
पटिरूप:User en-3	Шаблон:User en-3
पटिरूप:User en-2	Шаблон:User en-2
पटिरूप:User en	Шаблон:User en
पटिरूप:User fi-1	Шаблон:User fi-1
पटिरूप:Mod	Шаблон:Mod
पटिरूप:User sv	Шаблон:User sv
पटिरूप:Sidebar	Шаблон:Боковая навигационная таблица
पटिरूप:User hi-3	Шаблон:User hi-3
पटिरूप:देश	Шаблон:Государство
पटिरूप:Featured article	Шаблон:Избранная статья
पटिरूप:Template other	Шаблон:Template other
पटिरूप:Pp-template	MediaWiki:Protectedpagetext
पटिरूप:Birth date	Шаблон:Родился
पटिरूप:Top icon	Шаблон:Right-uppermost image
पटिरूप:User no-2	Шаблон:User no-2
पटिरूप:Documentation subpage	Шаблон:Docpage
पटिरूप:Emergency-bot-shutoff	Шаблон:Аварийное выключение бота
पटिरूप:Nobold	Шаблон:Nobold
विभाग:User en-N	Категория:User en-N
पटिरूप:Bar percent	Шаблон:Bar percent
विभाग:१९९०	Категория:1990 год
पटिरूप:हिन्दू धम्म	Шаблон:Индуизм
पटिरूप:User nn-1	Шаблон:User nn-1
पटिरूप:Tls	Шаблон:Tls
Wikipedia:Autoconfirmed users	Википедия:Автоподтверждённые участники
विसेस:RecentChanges	Служебная:Свежие правки
Module:HtmlBuilder	Модуль:HtmlBuilder
