非洲	Африка
Penza-chû	Пензенская область
Là-fî-ngì	Рафаэль Санти
Pí-tet Lû-pún-sṳ̂	Рубенс, Питер Пауль
Ulyanovsk-chû	Ульяновская область
Gung-gung-hi-tsaa	Автобус
Kâ-thai-lò-nì-â	Каталония
Bashkortostan Khiung-fò-koet	Башкортостан
Chelyabinsk-chû	Челябинская область
Pâ-lùn-sî-â Chhṳ-chhṳ-khî	Валенсия (автономное сообщество)
Khà-sṳ̂-tì-li-â lâu Lòi-ngong	Кастилия-Леон
Kurgan-chû	Курганская область
Mô Chhe̍t-tûng	Мао Цзэдун
Tyumen-chû	Тюменская область
Omsk-chû	Омская область
Thai-mí-ngì-ngî	Тамильский язык
Chet-ho̍k	Философия
分類:Candidates for speedy deletion	Категория:Википедия:К быстрому удалению
Altai Khiung-fò-koet	Республика Алтай
Kòng-khìm	Фортепиано
Gorno-Altaysk	Горно-Алтайск
Kemerovo-chû	Кемеровская область
Hebe Camargo	Камарго, Эбе
Chṳ̂-pún chú-ngi	Капитализм
Koet-kâ	Страна
Mìn-chhu̍k	Нация
Khanty-Mansi Chhṳ-chhṳ-khî	Ханты-Мансийский автономный округ — Югра
Yamalo-Nenets Chhṳ-chhṳ-khî	Ямало-Ненецкий автономный округ
Montpellier	Монпелье
分類:Thiên-vùn-ho̍k	Категория:Астрономия
Khakassia Khiung-fò-koet	Хакасия
Irkutsk-chû	Иркутская область
Sakha Khiung-fò-koet	Якутия
Khiet-lò-âi-sî-â-ngî	Хорватский язык
Hon-pó	Гамбургер
Buryatia Khiung-fò-koet	Бурятия
Vû-làn Vû-tet	Улан-Удэ
Amur-chû	Амурская область
Ngi-sṳ̍p Sṳ-ki	XX век
Gotha	Гота
Dijon	Дижон
Kâ-thai-lò-nì-â-ngî	Каталанский язык
Nordhausen	Нордхаузен
Kit-lò-na̍p-sén	Жирона
Eisenach	Айзенах
Se-pâu Sâng-vu̍t-ho̍k	Цитология
Sṳ-kie Ngiùn-hòng Si̍p-thòn	Всемирный банк
