Afraga	Африка
Bataraidh	Батарея (электротехника)
Andes (baile)	Андес (Колумбия)
770an	770-е годы
Patrick Moore	Мур, Патрик
Vichada (Roinn)	Вичада
780an	780-е годы
Montgomery County, Kentucky	Монтгомери (округ, Кентукки)
Seòras V	Георг V
790an	790-е годы
Iúr Cinn Trá	Ньюри
Spencer Compton, 1st Earl of Wilmington	Комптон, Спенсер, граф Уилмингтон
Oilthigh Obar Dheathain	Абердинский университет
80an	80-е годы
80an RC	80-е годы до н. э.
810an	810-е годы
Glenn County, Calafòrnia	Гленн (округ)
Calaveras County, Calafòrnia	Калаверас (округ)
820an	820-е годы
Fresno County, Calafòrnia	Фресно (округ)
Eddie van Halen	Ван Хален, Эдди
830an	830-е годы
Craobhlann	Дендрарий
840an	840-е годы
Marcus Garvey	Гарви, Маркус
Taibhse an Opra	Призрак Оперы (роман)
Harry Markowitz	Марковиц, Гарри
John Harsanyi	Харсаньи, Джон
Joseph Black	Блэк, Джозеф
Dasht-e Kavir	Деште-Кевир
Kasabian	Kasabian
Sir Arthur Lewis	Льюис, Артур
Ténéré	Тенере
Mu (tìr)	Пацифида
Fàsach Ghibson	Пустыня Гибсона
850an	850-е годы
La Guajira (Roinn)	Гуахира (департамент)
Seumas II Alba	Яков II (король Шотландии)
Guaviare (Roinn)	Гуавьяре (департамент)
Ceàrn dearg	Квартал красных фонарей
Ionmhas	Клад
Cuiteag	Мерланг
Bean-shìdh	Банши
Leopoldo Calvo-Sotelo y Bustelo	Кальво-Сотело и Бустело, Леопольдо
Roald Hoffmann	Хоффман, Роалд
Partan tuathal	Раки-отшельники
Rapunsail	Рапунцель
Urk	Урк (Нидерланды)
Thomas Pelham-Holles, 1st Duke of Newcastle-upon-Tyne	Пелэм-Холлс, Томас
Aparan	Фартук
William Sharpe	Шарп, Уильям
Geoffrey Wilkinson	Уилкинсон, Джефри
Loreena McKennitt	Маккеннитт, Лорина
900an	900-е годы
90an	90-е годы
910an	910-е годы
Uilebheist	Монстр
Sgioba nàiseanta rugbaidh na h-Uruguaidh	Сборная Уругвая по регби
Seumas Mac an Deòir	Дьюар, Джеймс
Rùm	Рам (остров)
Diùcachd Anhalt-Dessau	Ангальт-Дессау
San José de David	Давид (город)
Jim Hogg County, Texas	Джим-Хогг (округ, Техас)
Seminole County, Florida	Семинол (округ, Флорида)
Seòras VI	Георг VI
Òrgan	Орган (музыкальный инструмент)
Grant County, Washington	Грант (округ, Вашингтон)
IJmuiden	Эймёйден
Truro, Alba Nuadh	Труро (Новая Шотландия)
Acarsaid	Гавань
Nicholas County, Virginia an Iar	Николас (округ, Западная Виргиния)
Wright County, Missouri	Райт (округ, Миссури)
Latah County, Idaho	Лейта (округ, Айдахо)
Augusta County, Virginia	Огаста (округ, Виргиния)
Copacabana	Копакабана (Колумбия)
Robert Merton	Мёртон, Роберт Кархарт
Carl Reiner	Райнер, Карл
Villarrica	Вильяррика (город, Парагвай)
Adhbharachas	Агностицизм
Marjorie Estiano	Маржори Эстиано
Béatrice Martin	Cœur de pirate
Maries County, Missouri	Мэрис (округ, Миссури)
Étretat	Этрета
Gaidhealtachd Innis Tìle	Исландское плато
Aonghas I	Энгус I (король пиктов)
Martin Landau	Ландау, Мартин
Iain Stiubhart, 3mh Iarla Bhoid	Стюарт, Джон, 3-й граф Бьют
Charles Grey, 2nd Earl Grey	Грей, Чарльз, 2-й граф Грей
Raibeart III, Rìgh Alba	Роберт III (король Шотландии)
Myron Scholes	Шоулз, Майрон
Robert F. Engle	Энгл, Роберт
William Vickrey	Викри, Уильям
Vernon Smith	Смит, Вернон
Lawrence Klein	Клейн, Лоуренс
Dare County, Carolina a Tuath	Дэйр (округ, Северная Каролина)
Sgiath	Винг
Alistair Darling	Дарлинг, Алистер
Hendrik Verwoerd	Фервурд, Хендрик
Coinneach I na h-Alba	Кеннет I (король Шотландии)
Dà-Spioraideach	Бердаши
Baile an Tobair	Баллинтобер
Lincoln County, Oregon	Линкольн (округ, Орегон)
Talladega County, Alabama	Талладига (округ, Алабама)
Sherman County, Oregon	Шерман (округ, Орегон)
Lee County, Carolina a Deas	Ли (округ, Южная Каролина)
Miami County, Indiana	Майами (округ, Индиана)
Edwin Muir	Мюир, Эдвин
Skamania County, Washington	Скамейния (округ, Вашингтон)
Aedh na h-Alba	Эд Белоногий
Quidditch	Квиддич
James Gandolfini	Гандольфини, Джеймс
Cupa na h-Alba (Ball-coise)	Кубок Шотландии по футболу
Jean-Claude Van Damme	Ван Дамм, Жан-Клод
Oilthigh Shalamanca	Университет Саламанки
C.B. Cluaran Cailleannach Inbhir Nis	Инвернесс Каледониан Тисл
Crogall	Настоящие крокодилы (род)
Prionnsalachd Schaumburg-Lippe	Шаумбург-Липпе
Henri Victor Regnault	Реньо, Анри Виктор
Lüneburger Heide	Люнебургская пустошь
Mariana na h-Ostaire	Марианна Австрийская
Cill na Leice	Килналек
Coill Chóige	Килкоги
Cill an Seanrátha	Киллешандра
Fachach	Тупики
Costilla County, Colorado	Костилла
Cheyenne County, Colorado	Шайенн (округ, Колорадо)
Sedgwick County, Colorado	Седжуик (округ, Колорадо)
Faoiteag	Ципреи
Delta County, Colorado	Дельта (округ, Колорадо)
Custer County, Colorado	Кастер (округ, Колорадо)
Andy Griffith	Гриффит, Энди
Crowley County, Colorado	Кроули (округ)
Dolores County, Colorado	Долорес (округ)
Phillips County, Colorado	Филлипс (округ, Колорадо)
Summit County, Colorado	Саммит (округ, Колорадо)
Conejos County, Colorado	Конехос (округ)
Logan County, Colorado	Логан (округ, Колорадо)
Mineral County, Colorado	Минерал (округ, Колорадо)
Pitkin County, Colorado	Питкин (округ)
Washington County, Colorado	Вашингтон (округ, Колорадо)
Montezuma County, Colorado	Монтесума (округ)
Otero County, Colorado	Отеро (округ, Колорадо)
Bill Wyman	Уаймэн, Билл
Daniel McFadden	Макфадден, Дэниел
James Heckman	Хекман, Джеймс
Seumas Mac a' Phearsain	Макферсон, Джеймс
Saguache County, Colorado	Сауач (округ)
Douglas Haig	Хейг, Дуглас
William Lamb, 2na Biocas Melbourne	Лэм, Уильям, 2-й виконт Мельбурн
Robert Jenkinson, 2na Iarla de Pholl a' Ghrùthain	Ливерпул, Роберт Банкс Дженкинсон
Johan Gadolin	Гадолин, Юхан
William Petty, 2nd Earl of Shelburne	Петти, Уильям, 2-й граф Шелберн
Clive W. J. Granger	Грэнджер, Клайв
Henry Addington, 1d Biocas Sidmouth	Аддингтон, Генри
Iain Banks	Бэнкс, Иэн
Prionnsa Teàrlach Stiùbhart	Карл Эдуард Стюарт
Augustus FitzRoy, 3rd Duke of Grafton	Фицрой, Огастас, 3-й герцог Графтон
Edward C. Prescott	Прескотт, Эдвард
Lincoln County, Colorado	Линкольн (округ, Колорадо)
Claude Louis Berthollet	Бертолле, Клод Луи
Dòmhnall I na h-Alba	Дональд I (король Шотландии)
Frederick John Robinson, 1d Biocas Goderich	Робинсон, Фредерик Джон, 1-й виконт Годрик
Raibeart II, Rìgh na h-Alba	Роберт II (король Шотландии)
Frederick North, Lord North	Норт, Фредерик
Uilleam I na h-Alba	Вильгельм I Лев
Ian Wright	Райт, Иан
William Grenville, 1d Baran Grenville	Гренвиль, Уильям
Pueblo County, Colorado	Пуэбло (округ)
Routt County, Colorado	Роутт (округ)
Rio Grande County, Colorado	Рио-Гранде (округ)
Montrose County, Colorado	Монтроз (округ)
Park County, Colorado	Парк (округ, Колорадо)
Teller County, Colorado	Теллер (округ)
Morgan County, Colorado	Морган (округ, Колорадо)
San Miguel County, Colorado	Сан-Мигель (округ, Колорадо)
Daniel Rutherford	Рутерфорд, Даниель
Diùcachd Shagsainn-Lauenburg	Саксен-Лауэнбург
Johan August Arfwedson	Арфведсон, Иоганн
Quintus Caecilius Metellus Pius	Квинт Цецилий Метелл Пий
Paul Tergat	Тергат, Пол
Balthazar Johannes Vorster	Форстер, Балтазар Йоханнес
Hal Holbrook	Холбрук, Хэл
Richard Griffiths	Гриффитс, Ричард
Donald Pleasence	Плезенс, Дональд
Bodach na Nollaige	Санта-Клаус
Michiel de Ruyter	Рюйтер, Михаил Адриансзон де
Owain Glyndŵr	Оуайн Глиндур
Ally McCoist	Маккойст, Алли
Donovan	Донован (музыкант)
Còiseam I na h-Alba	Константин I (король Шотландии)
Toirt am bruid	Похищение человека
Johan de Witt	Витт, Ян де
C.B. Naomh Mearain	Сент-Миррен
Baralachas	Математическая гипотеза
Prìomh Mhinistear Astràilianach	Премьер-министр Австралии
Aberdâr	Абердэр
Aberffraw	Аберфрау
Alasdair MacCoinnich	Маккензи, Александр (путешественник)
Kawagoe	Кавагоэ
Pasto	Пасто (Колумбия)
Colombey-les-Deux-Églises	Коломбэ-ле-Дёз-Эглиз
Tulach Mhór	Талламор
Gòbhlan-monaidh	Белобрюхий стриж
Blianadh	Загар
Fo-sgrìobhadh	Подписка
Fairfield, Calafòrnia	Фэрфилд (Калифорния)
Wąbrzeźno	Вомбжезьно
Bàta-iasgaich	Траулер
Naoimh	Список святых
Fàsach Mhòr na Gainmhich	Большая Песчаная пустыня
Cruinneadaireachd	Сферическая геометрия
Bangor, Maine	Бангор (Мэн)
Cleburne County, Alabama	Клиберн (округ, Алабама)
Laramie, Wyoming	Ларами (Вайоминг)
Damanhùr	Даманхур
Armenia (baile)	Армения (Колумбия)
Connochaetes taurinus	Голубой гну
Clarksville, Tennessee	Кларксвилл (Теннесси)
Creideamh	Список религий
Raidió Teilifís Éireann	Raidió Teilifís Éireann
Feòladair	Мясник
Adhlaic	Погребение
Naomh Daibhidh	Давид Валлийский
Maol Chaluim II na h-Alba	Малькольм II
Tighearna	Лорд
The Two Towers (leabhar)	Две крепости
Deportivo Independiente Medellín	Индепендьенте Медельин
Atlético Nacional	Атлетико Насьональ
Envigado F.C.	Энвигадо (футбольный клуб)
Dòmhnall Mac an Deòir	Дьюар, Дональд
John Bruton	Братон, Джон
Alistair MacLean	Маклин, Алистер
Lee Child	Ли Чайлд
Wallace Carothers	Карозерс, Уоллес
Maol Chaluim I na h-Alba	Малькольм I
Charles Haughey	Хоги, Чарльз
Josef Škvorecký	Шкворецкий, Йозеф
Còiseam II na h-Alba	Константин II (король Шотландии)
Tom Bosley	Босли, Том
Thomas Graham	Грэм, Томас
Seumas Dùbhghlas-Hamalton	Гамильтон, Джеймс, барон Селкирк из Дугласа
Newport News, Virginia	Ньюпорт-Ньюс
Gloucester County, Virginia	Глостер (округ, Виргиния)
Aspergillus	Аспергилл
Popayán	Попаян
Kappa (Creutair Miotas-eolasach)	Каппа (мифология)
Wizz Air	Wizz Air
Pointe-à-Pitre	Пуэнт-а-Питр
C.B. Dhùn Dèagh	Данди (футбольный клуб)
Toirdhealbhach Ó Cearbhalláin	О’Каролан, Торла
An Observer	The Observer
Raymond Burr	Бёрр, Рэймонд
Mathews County, Virginia	Мэтьюз (округ, Виргиния)
New Kent County, Virginia	Нью-Кент (округ, Виргиния)
Charles City County, Virginia	Чарльз-Сити (округ, Виргиния)
Prince George County, Virginia	Принс-Джордж (округ, Виргиния)
Southampton County, Virginia	Саутгемптон (округ, Виргиния)
Isle of Wight County, Virginia	Айл-оф-Уайт (округ, Виргиния)
Goshen County, Wyoming	Гошен (округ, Вайоминг)
Miner County, Dakota a Deas	Майнер (округ, Южная Дакота)
Fàsach Shirianach	Сирийская пустыня
Grant County, Nebraska	Грант (округ, Небраска)
Sussex County, Virginia	Сассекс (округ, Виргиния)
Dinwiddie County, Virginia	Динуидди (округ, Виргиния)
Chesterfield County, Virginia	Честерфилд (округ, Виргиния)
Henrico County, Virginia	Энрико (округ, Виргиния)
Hanover County, Virginia	Хановер (округ, Виргиния)
Caroline County, Virginia	Кэролайн (округ, Виргиния)
Stafford County, Virginia	Стаффорд (округ, Виргиния)
Middlesex County, Virginia	Миддлсекс (округ, Виргиния)
Fairfax County, Virginia	Фэрфакс (округ, Виргиния)
Hampton, Virginia	Хэмптон (Виргиния)
Burgess Meredith	Мередит, Бёрджесс
İstiklâl Marşı	Марш независимости
Gerard ter Borch	Терборх, Герард
Adair County, Oklahoma	Адэр (округ, Оклахома)
Adhamh	Адам (имя)
Nick Cannon	Кэннон, Ник
Anton Corbijn	Корбейн, Антон
Adams County, Indiana	Адамс (округ, Индиана)
Adams County, Wisconsin	Адамс (округ, Висконсин)
Bean-bainnse	Невеста
Picseal	Пиксель
Richard Schiff	Шифф, Ричард
Johannes Gerhardus Strijdom	Стрейдом, Йоханнес
Ganzhou	Ганьчжоу
Leòdhas agus na Hearadh	Льюис-энд-Гаррис
Uan	Lamb (значения)
Scott County, Indiana	Скотт (округ, Индиана)
Jackson County, Alabama	Джексон (округ, Алабама)
Newton County, Indiana	Ньютон (округ, Индиана)
McPherson County, Dakota a Deas	Макферсон (округ, Южная Дакота)
Oilthigh Coimbra	Коимбрский университет
Morrill County, Nebraska	Моррилл (округ, Небраска)
Baile Átha Luain	Атлон (город)
Buille-cinn	Удар головой (движение)
Hardy County, Virginia an Iar	Харди (округ, Западная Виргиния)
Mineral County, Montana	Минерал (округ, Монтана)
Waukesha County, Wisconsin	Уокешо (округ)
San Juan County, Colorado	Сан-Хуан (округ, Колорадо)
Alison Krauss	Краусс, Элисон
Stàitire	Государственный деятель
Dodge County, Wisconsin	Додж (округ, Висконсин)
Cliabhair	Лозоплетение
Russell County, Kentucky	Расселл (округ, Кентукки)
Connochaetes gnou	Белохвостый гну
Washington County, Kansas	Вашингтон (округ, Канзас)
Shelby County, Illinois	Шелби (округ, Иллинойс)
Lebor Gabála Érenn	Книга захватов
Wichita County, Kansas	Уичита (округ, Канзас)
Wilson County, Kansas	Уилсон (округ, Канзас)
Osborne County, Kansas	Осборн (округ, Канзас)
Morris County, Kansas	Моррис (округ, Канзас)
Miami County, Kansas	Майами (округ, Канзас)
Jeddah	Джидда
Sheridan County, Kansas	Шеридан (округ, Канзас)
Phillips County, Kansas	Филлипс (округ, Канзас)
Shawnee County, Kansas	Шони (округ, Канзас)
Ford County, Kansas	Форд (округ, Канзас)
Lyon County, Kansas	Лайон (округ, Канзас)
Thomas County, Kansas	Томас (округ, Канзас)
Ness County, Kansas	Несс (округ, Канзас)
Wallace County, Kansas	Уоллес (округ, Канзас)
Kingman County, Kansas	Кингман (округ, Канзас)
Graham County, Kansas	Грейам (округ, Канзас)
Jewell County, Kansas	Джуэл (округ, Канзас)
Montgomery County, Kansas	Монтгомери (округ, Канзас)
Pawnee County, Kansas	Пони (округ, Канзас)
Pratt County, Kansas	Пратт (округ, Канзас)
Trego County, Kansas	Триго (округ, Канзас)
Rawlins County, Kansas	Ролинс (округ, Канзас)
Haskell County, Kansas	Хаскелл (округ, Канзас)
Marion County, Kansas	Мэрион (округ, Канзас)
Riley County, Kansas	Райли (округ, Канзас)
Stafford County, Kansas	Стаффорд (округ, Канзас)
Ottawa County, Kansas	Оттава (округ, Канзас)
Graham County, Carolina a Tuath	Грейам (округ, Северная Каролина)
Hodgeman County, Kansas	Ходжман (округ, Канзас)
Johnson County, Kansas	Джонсон (округ, Канзас)
Osage County, Kansas	Осейдж (округ, Канзас)
Greenwood County, Kansas	Гринвуд (округ, Канзас)
Harvey County, Kansas	Харви (округ, Канзас)
Sedgwick County, Kansas	Седжуик (округ, Канзас)
Sumner County, Kansas	Самнер (округ, Канзас)
Russell County, Kansas	Расселл (округ, Канзас)
Finney County, Kansas	Финни (округ, Канзас)
Wyandotte County, Kansas	Уайандотт (округ, Канзас)
Grant County, Kansas	Грант (округ, Канзас)
Saline County, Kansas	Салин (округ, Канзас)
Neosho County, Kansas	Ниошо (округ, Канзас)
Gove County, Kansas	Гов (округ, Канзас)
Smith County, Kansas	Смит (округ, Канзас)
Kearny County, Kansas	Карни (округ, Канзас)
Scott County, Kansas	Скотт (округ, Канзас)
Linn County, Kansas	Линн (округ, Канзас)
Ellsworth County, Kansas	Эллсуорт (округ, Канзас)
Yell, Sealltainn	Йелл (остров)
Ellis County, Kansas	Эллис (округ, Канзас)
Atchison County, Kansas	Атчисон (округ, Канзас)
Barton County, Kansas	Бартон (округ, Канзас)
Polk County, Wisconsin	Полк (округ, Висконсин)
Rice County, Kansas	Райс (округ, Канзас)
Barber County, Kansas	Барбер (округ, Канзас)
Clay County, Kansas	Клей (округ, Канзас)
Chase County, Kansas	Чейс (округ, Канзас)
Decatur County, Kansas	Декейтер (округ, Канзас)
Coffey County, Kansas	Коффи (округ, Канзас)
Cloud County, Kansas	Клауд (округ, Канзас)
Chautauqua County, Kansas	Чотокуа (округ, Канзас)
Cowley County, Kansas	Каули (округ, Канзас)
Cheyenne County, Kansas	Шайенн (округ, Канзас)
Republic County, Kansas	Рипаблик (округ, Канзас)
Elk County, Kansas	Элк (округ, Канзас)
Allen County, Kansas	Аллен (округ, Канзас)
Dickinson County, Kansas	Дикинсон (округ, Канзас)
Bourbon County, Kansas	Бурбон (округ, Канзас)
Crawford County, Kansas	Крофорд (округ, Канзас)
Cherokee County, Kansas	Чероки (округ, Канзас)
Comanche County, Kansas	Команчи (округ, Канзас)
Doniphan County, Kansas	Донифан (округ, Канзас)
Chittagong	Читтагонг
Clark County, Kansas	Кларк (округ, Канзас)
Edwards County, Kansas	Эдвардс (округ, Канзас)
Rush County, Kansas	Раш (округ, Канзас)
Mitchell County, Kansas	Митчелл (округ, Канзас)
Lane County, Kansas	Лейн (округ, Канзас)
Lincoln County, Kansas	Линкольн (округ, Канзас)
Wabaunsee County, Kansas	Уобонси (округ, Канзас)
Valledupar	Вальедупар
Pottawatomie County, Kansas	Поттаватоми (округ, Канзас)
Marshall County, Kansas	Маршалл (округ, Канзас)
Greene County, Illinois	Грин (округ, Иллинойс)
Stanton County, Kansas	Стэнтон (округ, Канзас)
Jackson County, Kansas	Джексон (округ, Канзас)
Seward County, Kansas	Сьюард (округ, Канзас)
Greeley County, Kansas	Грили (округ, Канзас)
Geary County, Kansas	Гири (округ, Канзас)
Hamilton County, Kansas	Гамильтон (округ, Канзас)
Norton County, Kansas	Нортон (округ, Канзас)
Harper County, Kansas	Харпер (округ, Канзас)
Morton County, Kansas	Мортон (округ, Канзас)
Anderson County, Kansas	Андерсон (округ, Канзас)
Perry Mason	Перри Мейсон
An Caisleán Nua (Baile Átha Cliath)	Ньюкасл (Южный Дублин)
Pleasants County, Virginia an Iar	Плезантс (округ, Западная Виргиния)
Charles Watson-Wentworth, 2nd Marquess of Rockingham	Уотсон-Уэнтуорт, Чарльз, 2-й маркиз Рокингем
Rob Ruadh MacGriogair	Макгрегор, Роберт Рой
Charles Hatchett	Хэтчетт, Чарльз
Rock Springs, Wyoming	Рок-Спрингс (Вайоминг)
Jason Bonham	Бонэм, Джейсон
Domhnall II na h-Alba	Дональд II (король Шотландии)
Uilleam Augustus, Diùc Cumberland	Уильям Август, герцог Камберлендский
William F. Buckley Jr.	Бакли, Уильям Фрэнк (младший)
Seumas Ceanadach	Кеннеди, Джеймс, епископ Сент-Эндрюсский
Marion County, Illinois	Мэрион (округ, Иллинойс)
Montgomery County, Pennsylvania	Монтгомери (округ, Пенсильвания)
Sgioba nàiseanta rugbaidh Shasainn	Сборная Англии по регби
Smyth County, Virginia	Смит (округ, Виргиния)
Fulangas Naomh Mata	Страсти по Матфею (Бах)
Nathair-mhara (ùirsgeul)	Морской змей
Woodson County, Kansas	Вудсон (округ, Канзас)
John Muir	Мьюр, Джон (натуралист)
Nemaha County, Kansas	Нимаха (округ, Канзас)
Gray County, Kansas	Грей (округ, Канзас)
Reno County, Kansas	Рино (округ, Канзас)
Leavenworth County, Kansas	Ливенуорт (округ, Канзас)
Kiowa County, Kansas	Кайова (округ, Канзас)
Rooks County, Kansas	Рукс (округ, Канзас)
Pònair	Бобы
Co-ghnìomhair	Наречие
Albert Reynolds	Рейнольдс, Альберт
Rory McIlroy	Макилрой, Рори
Thomas Telford	Телфорд, Томас
Ted Danson	Денсон, Тед
Jack Lynch	Линч, Джон Мэри
John A. Costello	Костелло, Джон
Flugelhorn	Флюгельгорн
Salm 23	Псалом 22
Monaidhean Tìbhiot	Чевиот Хилс
Jefferson County, Washington	Джефферсон (округ, Вашингтон)
York County, Carolina a Deas	Йорк (округ, Южная Каролина)
Cecil County, Maryland	Сесил (округ, Мэриленд)
Washington County, Iowa	Вашингтон (округ, Айова)
Flagler County, Florida	Флэглер (округ, Флорида)
Gazella dorcas	Газель-доркас
Bòrd-snàimh	Доска для плавания
Abhainn Dheathain	Дон (река, впадает в Северное море)
Siorrachd Yarmouth	Ярмут (графство, Новая Шотландия)
Johnson County, Illinois	Джонсон (округ, Иллинойс)
York County, Maine	Йорк (округ, Мэн)
Pedro Alcántara Herrán	Эрран, Педро Алькантара
Ermenonville	Эрменонвиль
Amar-ionnlaid	Бен (Верхняя Луара)
MGMT	MGMT
Soisgeul Mhata	Евангелие от Матфея
Batan	Палица
Żelazowa Wola	Желязова-Воля
Howard County, Maryland	Хауард (округ, Мэриленд)
Palm Desert, Calafòrnia	Палм-Дезерт
Crittenden County, Kentucky	Криттенден (округ, Кентукки)
Elliott County, Kentucky	Эллиотт (округ, Кентукки)
Daviess County, Kentucky	Дейвис (округ, Кентукки)
An Mullach, Contae an Chabháin	Маллах (Каван)
Droichead an Bhuitléaraigh	Батлерс-Бридж
Searcóg	Шеркок
Stevens County, Kansas	Стивенс (округ, Канзас)
Aimearaga	Америка (значения)
Creag Ealasaid	Эйлса-Крейг
Hamhaig	Хоик
Brus	Брус
Tobar Mhoire	Тобермори
Monadh Rois	Монтроз (город)
Hywel Dda	Хивел ап Каделл
Sodhaigh (soilleireachadh)	Соэй
Mars	Марс (значения)
Tripp County, Dakota a Deas	Трипп (округ, Южная Дакота)
Ouray County, Colorado	Юрей (округ)
Sullivan County, Indiana	Салливан (округ, Индиана)
Charlotte County, Virginia	Шарлотт (округ, Виргиния)
Robert Plant	Плант, Роберт Энтони
Durham County, Carolina a Tuath	Дарем (округ, Северная Каролина)
Deuel County, Nebraska	Дуил (округ, Небраска)
Bàn-dhearg	Розовый цвет
Livingston County, Illinois	Ливингстон (округ, Иллинойс)
Wilkes County, Carolina a Tuath	Уилкс (округ, Северная Каролина)
Loch Sìn	Лох-Шин
Gazella bennettii	Gazella bennettii
Dunklin County, Missouri	Данклин (округ, Миссури)
Lafayette County, Wisconsin	Лафайетт (округ, Висконсин)
Shelby County, Indiana	Шелби (округ, Индиана)
Maurice	Морис (фильм)
Alt	Альт (значения)
Breyer	Брайхер
Santa Cruz de La Palma	Санта-Крус-де-Ла-Пальма
Mullach Eadrad	Малуддарт
Fionnradharc	Фэрвью (Дублин)
Asgair	Апостроф
Torgny Lindgren	Линдгрен, Торгни
Salvador Puig i Antich	Пуч Антик, Сальвадор
Cesar Romero	Ромеро, Сизар
Alturas, Calafòrnia	Альтурас (Калифорния)
Fàsach Alvord	Алворда
Jackson County, Oregon	Джексон (округ, Орегон)
Multnomah County, Oregon	Малтнома (округ, Орегон)
Pàpa Frangan	Франциск (папа римский)
Leabhar Mhormoin	Книга Мормона
Nathair-mhara (snàigean)	Морские змеи
Bibb County, Alabama	Бибб (округ, Алабама)
Comhairlean na h-Alba	Области Шотландии
Amelia County, Virginia	Амелиа (округ, Виргиния)
Kenosha, Wisconsin	Кеноша (Висконсин)
Lakewood, Colorado	Лейквуд (Колорадо)
Coireall còsagail	Альвеолярный дрожащий согласный
Nathair-ghleadhrach	Настоящие гремучники
Fàsach Nubianach	Нубийская пустыня
Sandra Roelofs	Рулофс, Сандра
Seán Lemass	Лемасс, Шон
Llywelyn Mòr	Лливелин ап Иорверт
Ned Maddrell	Маддрелл, Нед
Lachlann MacGuaire	Маккуори, Лаклан
Laureano Gómez Castro	Гомес Кастро, Лауреано
Vladimir Vasilevich Markovnikov	Марковников, Владимир Васильевич
Nevenoe	Номиноэ
José Luis Sert	Серт, Жозеп Льюис
Bryan Gunn	Ганн, Брайан
Miami-Dade County, Florida	Майами-Дейд (округ, Флорида)
Mochi	Моти
Amherst County, Virginia	Амхерст (округ, Виргиния)
Eduardo Santos	Сантос Монтехо, Эдуардо
Lemuria	Лемурия
David Crystal	Кристал, Дэвид
Balthasar van der Ast	Аст, Бальтазар ван дер
Amlwch	Амлух
Paramore	Paramore
Taylor County, Kentucky	Тейлор (округ, Кентукки)
Snàthad an duine mhairbh	Комары-долгоножки
Pastra	Выпечка
Texas County, Missouri	Тексас (округ, Миссури)
Aberfal	Фалмут (Англия)
Y Wladfa	Валлийская колония
Port Adhair Tan Son Nhat	Таншоннят
Deuchainn-lann	Лаборатория
Meatailt Bàis	Дэт-метал
Bòrd-iarnaigidh	Утюг
Cotton County, Oklahoma	Коттон (округ, Оклахома)
Motley County, Texas	Мотли (округ, Техас)
Nueces County, Texas	Нуэсес (округ, Техас)
Jones County, Texas	Джонс (округ, Техас)
Bonner County, Idaho	Боннер (округ, Айдахо)
Midland County, Texas	Мидленд (округ, Техас)
Will County, Illinois	Уилл (округ)
Cassia County, Idaho	Кассия (округ, Айдахо)
Stevens County, Washington	Стивенс (округ, Вашингтон)
Okanogan County, Washington	Оканоган (округ, Вашингтон)
Uinta County, Wyoming	Уинта (округ, Вайоминг)
Caingeiseachd	Пятидесятники
Laramie County, Wyoming	Ларами (округ, Вайоминг)
Bodach-sneachda	Снеговик
Pacific County, Washington	Пасифик (округ, Вашингтон)
Wahkiakum County, Washington	Уакайакум (округ, Вашингтон)
Tì uaine	Зелёный чай
Edgar County, Illinois	Эдгар (округ)
Eau Claire County, Wisconsin	О-Клэр (округ)
Fremont County, Wyoming	Фримонт (округ, Вайоминг)
San Juan County, Washington	Сан-Хуан (округ, Вашингтон)
Lincoln County, Washington	Линкольн (округ, Вашингтон)
Whitman County, Washington	Уитмен (округ, Вашингтон)
Converse County, Wyoming	Конверс (округ, Вайоминг)
Kitsap County, Washington	Китсап (округ, Вашингтон)
Sweetwater County, Wyoming	Суитуотер (округ, Вайоминг)
Sevier County, Utah	Севи (округ, Юта)
Saline County, Illinois	Салин (округ, Иллинойс)
Bennett County, Dakota a Deas	Беннетт (округ, Южная Дакота)
Bon Homme County, Dakota a Deas	Боном (округ, Южная Дакота)
Lake County, Illinois	Лейк (округ, Иллинойс)
Andrew Carnegie	Карнеги, Эндрю
Johnson County, Wyoming	Джонсон (округ, Вайоминг)
Vermilion County, Illinois	Вермилион (округ, Иллинойс)
Cedar County, Missouri	Сидар (округ, Миссури)
Palm Beach County, Florida	Палм-Бич (округ, Флорида)
Bates County, Missouri	Бэйтс (округ, Миссури)
Atchison County, Missouri	Атчисон (округ, Миссури)
Benton County, Oregon	Бентон (округ, Орегон)
Yamhill County, Oregon	Ямхилл (округ, Орегон)
Crook County, Oregon	Крук (округ, Орегон)
Hood River County, Oregon	Худ-Ривер (округ, Орегон)
Harney County, Oregon	Харни (округ, Орегон)
Clatsop County, Oregon	Клэтсоп (округ, Орегон)
Grant County, Oregon	Грант (округ, Орегон)
Columbia County, Oregon	Коламбиа (округ, Орегон)
Klamath County, Oregon	Кламат (округ, Орегон)
Josephine County, Oregon	Джосефин (округ, Орегон)
Douglas County, Oregon	Дуглас (округ, Орегон)
Clackamas County, Oregon	Клакамас (округ, Орегон)
Marion County, Oregon	Мэрион (округ, Орегон)
Curry County, Oregon	Карри (округ, Орегон)
Deschutes County, Oregon	Дейшут (округ, Орегон)
Coos County, Oregon	Кус (округ, Орегон)
Buffalo County, Dakota a Deas	Баффало (округ, Южная Дакота)
Cooper County, Missouri	Купер (округ, Миссури)
Butler County, Missouri	Батлер (округ, Миссури)
Clay County, Missouri	Клей (округ, Миссури)
Clinton County, Missouri	Клинтон (округ, Миссури)
Cole County, Missouri	Коул (округ, Миссури)
Barton County, Missouri	Бартон (округ, Миссури)
Caldwell County, Missouri	Колдуэлл (округ, Миссури)
