Africa	Африка
Rukuvhute	Пуповина
Fosi yeRutondapakati	Центростремительная сила
Nhoozhinji	Многогранник
Hunzwi	Ощущение
Bantu	Банту (группа народов)
Guva	Могила
Mhumhi	Гиеновидная собака
Taramunyongo	Радиус
Bara	Пуля
Chitsitsinho	Пятка
Mukondo	Авторитет
Ruwa	Сельская местность
Kuswedera	Конвергенция
Toamasina	Туамасина
Rutsuwa rwemagetsi	Изоляция (электротехника)
Rukwarapakati	Центробежная сила
Ruzha	Шум
Shaya	Челюсть
Zhumwi	Призма (геометрия)
Dhuku	Бандана
Nhanzva	Сани
Mudungwe	Очередь
Mutemo waPareto	Закон Парето
Maungira	Эхо
Kano	Кано (город)
Njiri	Африканский бородавочник
Magonga (taranyika)	Географический полюс
Ibadan	Ибадан
Shato	Питоны
Rhekeni	Катапульта
Gwati (muti)	Кора
Tlemcen	Тлемсен (город)
Nyamukuta	Повитуха
Gwee	Галаговые
Chirambo (misandu)	Фазовый переход
Pietermaritzburg	Питермарицбург
Donhwe	Капля
Mukoti	Медицинская сестра
Bota	Каша
Constantine, Algeria	Константина (город)
Chifufuro	Взятка
Lumumbashi	Лубумбаши
Chikuwo	Мода (статистика)
Idi	Факт
Choto	Камин
Rovambira	Чёрная мамба
Munda	Поле (сельское хозяйство)
Manyene	Чепрачный шакал
Chikwereti	Заём
Abomey	Абомей
Guramakonyo	Диагональ
Harar	Харэр
Nhambwe yasudurukwa	Перемещение (кинематика)
Bhutsu	Сапоги
Kumhura	Диффамация
Mbonga	Монахиня
Mhute	Дымка
Madamvura	Гидрофильность
Cherechedza	Наблюдение (психология)
Gambamutengo	Субсидия
Bulawayo	Булавайо
Mweya (wemunhu)	Дух (мифология)
Dire Dawa	Дыре-Дауа
Mbabvu	Ребро
Chapupu	Свидетель
Kuvaviwa	Зуд
Chikupo	Праща
Nhamba ndemera	Отрицательное число
Rifa	Наследование (право)
Hupfumi	Богатство
Rokwe	Платье
Rufu	Похороны
Ziguinchor	Зигиншор (город)
Avhareji	Показатели центра распределения
Bandiko	Сектор (геометрия)
Chitofu (Kubika)	Домашняя печь
Goma	Гома
Pito	Свисток
Mutwi	Перпендикулярность
Kananga	Кананга (город)
Dendera pa Mineti	Оборот в минуту
Tafura yekuunga huwandu	Таблица умножения
Vanga	Рубец (медицина)
Rudzindi rwemweya	Лобовое сопротивление
Ruremekedzo	Честь
Huswa	Газон
Shepi	Форма предмета
Masvingo eZimbabwe	Большой Зимбабве
Njiva	Голуби
East London	Ист-Лондон
Mbandaka	Мбандака
Matadi	Матади
Hudyu	Пах
Dzinza	Род (этнология)
Kupambadzirwa	Деформируемость
Zera (chizvarwa)	Поколение
Kukohwa (kuunganidza)	Уборка урожая
Furo	Пена
Mhofu	Канна (антилопа)
Bilda	Блида (город)
Port Harcourt	Порт-Харкорт
Hungwe	Орлан-крикун
Mahajanga	Махадзанга
Gondar	Гондэр
Antsiranana	Анциранана
Palestine	Государство Палестина
Chikare (bonde)	Миссионерская позиция
Matyamvura	Гидрофобность
Walvis Bay	Уолфиш-Бей
Chapfunga	Шистосомоз
Bukavu	Букаву
Hukama	Межличностные отношения
Boma	Бома
Muny'atira	Абсорбция (значения)
Manhikatika	Вариация
Mombasa	Момбаса
Dungidzira	Альтернатива
Chinangwa	AIM
Kusuduruka	Дивергенция (значения)
Chipakati	Медиана (статистика)
Kushumira	Спаривание
Zvinoshandiswa kuchengetedza	Система контроля и управления доступом
Vavariro	Мишень (значения)
Saga	Сага (значения)
Runda	Сухожилие
Hupombwe	Супружеская измена
Boka (masvomhu)	Сет
Varungu	Белые люди
Unyanzvi wezvinoitika	Приборная панель
Makumi mapfumbamwe	90 (число)
Ngwarati	Чёрная антилопа
Mhakure	Египетская кобра
Kumimina	Фильтрование
Kutandauka	Экспансия (значения)
Chiware	Слой
Mupfunga	Пар
Rukweza	Пшено
Mhomho	Нарушения и недисциплинированное поведение (футбол)
Kindu	Кинду
Saint-Louis, Senegal	Сен-Луи (Сенегал)
Mhembwe	Дукеры
Kirsty Coventry	Ковентри, Кирсти
Chiremera	Достоинство
Mawere	Угловой коэффициент
Massawa	Массауа
Makumi mashanu nena	54 (число)
Rwizi Save	Саве (река)
Husvinu	Качество
Masanga (Panosangana)	Джанкшен
Hwembwa (bonde)	Поза на коленях
Nungu	Дикобразовые
Mukunda	Дочь
Musami	Мираж
Hozhwa	Улитка (жизненная форма)
Kuronga	Планирование
Madora	Gonimbrasia belina
Buea	Буэа
Ian Smith	Смит, Ян
Rwendo	Journey (значения)
Rwizi Mazowe	Мазове
Abel Tendekai Muzorewa	Музорева, Абель Тендекайи
Mukwende	Груз
Mbuji-Mayi	Мбужи-Майи
Benin City	Бенин-Сити
Kugunzva	Соматосенсорная система
Mek'ele	Мэкэле
Muchovha Mota	Виды транспорта
Makumi masere nesere	88 (число)
Rondo	Рондо (значения)
Adama	Назрет
Mhene (mhuka)	Обыкновенный стенбок
Kugera	Бритьё
Kuchepa	Стандартизация
Chiva	Шумящая гадюка
George, Western Cape	Джордж (ЮАР)
Bonga-musakwani	Габонская гадюка
Kunyenga	Ухаживание
Chibeto	Сито
Nyanzvi	Эксперт
Kadoma	Кадома (Зимбабве)
Jimma	Джимма
Agordat	Акордат
Murayiro	Инструкция
Kugura	Север (значения)
Chitungwiza	Читунгвиза
Gweru	Гверу
Mutare	Мутаре
Laghouat	Лагуат
Gwanza (boka)	Вакансия (значения)
America	Америка (значения)
Kusunda	Push
Kunze	Outside
Ishe (mutongi)	Чиф
Murandu	Фине
Mbadzi	Слайс
Humba	Кустарниковая свинья
Makumi mapfumbamwe nepfumbamwe	99 (число)
Mhetanhamba	Мультипликатор
Mashonaland West	Западный Машоналенд
Bhuku raMormoni	Книга Мормона
Kutapira	Сладкий вкус
Bahir Dar	Бахр-Дар
Manicaland	Маникаленд
Mahusekwa	Восточный Машоналенд
Salé	Сале
Joshua Nkomo	Нкомо, Джошуа
Nyota	Жажда
Chenza (kutodza)	Образ (информация)
Chiso (Chiumbwa)	Поверхность
Hutong'o	Ударная вязкость
Chipika	Воротник
Edinburgh of the Seven Seas	Эдинбург семи морей
Nyemba	Коровий горох
Maguta emuZimbabwe	Города Зимбабве
Chinyamudzura	Боевой орёл
Ngerulmud	Нгерулмуд
Butembo	Бутембо
Fianarantsoa	Фианаранцуа
Bamenda	Баменда
Keren, Eritrea	Кэрэн
Kusuma	Inform
Mongo	Костный мозг человека
Ishwa	Термиты
Waya	Проволока
Antsirabe	Анцирабе
Sisi	Сестра
Okahandja	Окаханджа
Thiès	Тиес (город)
Mudzi wenhamba	Корень (математика)
Chingaira	Серебристый орёл
Queenstown, Eastern Cape	Куинстаун (ЮАР)
Kusamhura	Вычисление
Chengu	Конгони
Ngururu	Антилопа-прыгун
Dhumukwa	Обыкновенный водяной козёл
Tsumeb	Цумеб
Atafu	Атафу
Bunia	Буниа
Mushandi	Трудовые отношения
Touba, Senegal	Туба (Сенегал)
Homwe	Банковский счёт
Kuyaruka	Переходный возраст (психология)
Harwe	Брюшная полость
Kunatsa	Рафинирование
Makumi mashanu neshanu	55 (число)
Parakou	Параку
Georgetown (Ascension Island)	Джорджтаун (остров Вознесения)
Nyamuragira	Ньямлагира
Makumi masere	80 (число)
Makumi maviri nembiri	22 (число)
Makumi manomwe	70 (число)
Makumi mashanu	50 (число)
Makumi matatu nenhatu	33 (число)
Makumi mana nena	44 (число)
Makumi matanhatu nenhanhatu	66 (число)
Makumi manomwe nenomwe	77 (число)
Mazana maviri	200 (число)
Zana negumi	110 (число)
Ambhuya	Тёща
Bandundu (city)	Бандунду
Mabharani	Делопроизводитель
Randfontein	Рандфонтейн
Ngaoundéré	Нгаундере
Nhova	Родничок (анатомия)
Dessie	Дэссе
Jijiga	Джиджига
Awasa	Ауаса (город)
Rondo (hurongwa)	Престолонаследие
Roora	Выкуп невесты
Chinhoyi	Чинхойи
Bangassou	Бангасу
Beitbridge	Байтбридж
SADC	Сообщество развития Юга Африки
Beni	Бени (город)
Toliara	Тулиара
Chishanu (mhoresa)	Рукопожатие
Musasa	Кемпинг
Kumbumba	Let There Be Rock
Banda	Носилки
Calabar	Калабар
Zvinyanye	Экстремум
Mucheko	Разрез
Musarirwa	Остаток от деления
Kaolack	Каолак (город)
Bhachi	Куртка
Ouidah	Уида (город)
Ndiro (midziyo)	Посуда
Serowe	Серове
Chimukuyu	Билтонг
Bindura guta	Биндура
Morondava	Мурундава
Rukanda runosarura zvinobvinina	Частично проницаемая мембрана
Djougou	Джугу
Hukoshi	Стоимость
Gongo	Клитор
Ladysmith, KwaZulu-Natal	Ледисмит (Квазулу-Натал)
Boka	Социальная группа
Bossangoa	Босангоа
Chivhuni	Хрупкость
Kudzimurira	Контроллинг
Mhandamabwe	Дробилка
Uvira	Увира
Kurega basa	Пенсионный возраст
Duwo	Садок рыболовный
Mukuwasha	Свойство (родство)
Rusero	Веялка
Grootfontein	Хрутфонтейн
Chubhu dzinotakura ropa	Кровеносные сосуды
Otjiwarongo	Очиваронго
Germiston	Джермистон
Natitingou	Натитингу
Norton, Zimbabwe	Нортон (Зимбабве)
Karoi	Карои
Klerksdorp	Клерксдорп
Rufisque	Рюфиск
M'Bour	Мбур
Marondera	Марондера
Dekemhare	Дэкэмхаре
Mthatha	Умтата
Worcester, Western Cape	Вустер (ЮАР)
Newcastle, KwaZulu-Natal	Ньюкасл (ЮАР)
Dumbu	Желудок человека
Chegutu	Чегуту
Tonderai	Полное имя
Vanhu vemuAfrica	Народы Африки
Clement Doke	Док, Клемент Мартин
Bindu	Сад
Coloureds	Цветные
Njodzi	Опасность
Muteremuko	Уклон (геодезия)
Muururo	Бур
Mhiko	Обет
MDC	Движение за демократические перемены
Zingizi	Пчёлы-плотники
Ketamukadzi	Гинекология
Govaniso	Деление (математика)
Chidavado	Нагрудные знаки высших органов власти БНСР
Nhamba svinu	Рациональное число
Rwodzi	Лыко
Dowokadzi	Яйцеклетка
Bvinina	Перколяция
Joseph Msika	Мсика, Джозеф
Makonyo Mhirikano	Смежные углы
Muchovha Masvomhu	Вектор
Madzudzo	Забота
Mhemberero	Праздник
Category:Vietnam	Категория:Вьетнам
Category:Madzinde	Категория:Растения
Category:Fundoyetsimba	Категория:Физика
Category:Chezvipenyu	Категория:Биология
Category:Chemishonga	Категория:Химия
Category:Taranyika	Категория:География
Category:Chinamato	Категория:Религия
Richards Bay	Ричардс-Бей
Mhitsa dzehondo	Сверхдержава
Giyani	Гияни
Nzwisa	Шаблон
Maturo	Смысл
Herbert Chitepo	Читепо, Герберт
Mheu	Частица
Katahwi	Девственная плева
El Oued	Эль-Уэд
Tsika yezvinzvimbo zvenhamba	Позиционная система счисления
Bundutso	Производственный процесс
Kukavanisa	Пестролистные растения
Zanu-PF	Зимбабвийский африканский национальный союз — Патриотический фронт
Dowera (nyoka)	Кротовый уж
Middelburg, Mpumalanga	Мидделбург (Мпумаланга)
Goronga	Канава
Dare reMabhuyo	Парламент Зимбабве
Huhombe	Величина (математика)
Gondo	Орлиные
Kudoma	Спецификация
Rwizi Pungwe	Пунгве
Rudzivo	Направление
Jongwe	Петух
Nyamafingu	Кобра
Twasuka	Стрейт
Rudyi	Преобладающая рука
Mungongoma	Монгонго
Sabata	Суббота в христианстве
Sazita	Тёзка
Tsono (zviridzwa)	Стилос
Chisuvi	Апекс (геометрия)
Category:Tsika	Категория:Культура
Category:Ziwumbe	Категория:Континенты
Bumbiro	Коллекция
Tsanga (mbeu)	Зерно
Hukukutu	Твёрдость
Ganda	Раса
John nkomo	Нкомо, Джон
Dumba	Пирамида (геометрия)
Rheshiyo	Соотношение
Yambiro	Warning (значения)
Dzihwa	Слизь
Category:Wikipedia bots	Категория:Участники:Боты
Hutapiri	Концентрация растворов
Chipangidzo	Знак
Spidhi	Средняя скорость
Dhadha	Утки
Akiso	Осевая симметрия
Template:Tl	Шаблон:Tl
Category:Muviri	Категория:Анатомия
Category:Hurapi	Категория:Медицина
Category:Dzidzo	Категория:Образование
Egypt	Египет
Template:Bot	Шаблон:Bot
Solomon Mujuru	Муджуру, Соломон
Canada	Канада
Nzenda	Размерность пространства
Denga (raMwari)	Небеса
Chimurenga	Чимуренга
Category:Europe	Категория:Европа
Template:Documentation	Шаблон:Doc
Nhengo dzesikarudzi	Репродуктивная система человека
Category:User languages	Категория:Википедия:Участники по языкам
Sung Jae-ki	Сон Джэги
Mombe	Крупный рогатый скот
Template:Softredirect	Шаблон:Soft redirect
Template:Delete	Шаблон:К быстрому удалению
Kugocha	Жарка
Category:Wikipedia	Категория:Википедия
Wikipedia:General disclaimer	Википедия:Отказ от ответственности
Wikipedia:Statistics	Википедия:Статистика
Template:Navbox	Шаблон:Navbox
Mujenya	Жребий
Template:!-	Шаблон:!-
Template:Nowrap	Шаблон:Nobr
Template:Bots	Шаблон:Bots
Sura	Fart
Category:Africa	Категория:Африка
Category:Zviperengo Zvehuwandu	Категория:Числа
Category:Bhaibheri	Категория:Библия
Template:Babel	Шаблон:Babel
Template:User af-1	Шаблон:User af-1
Template:User als-1	Шаблон:User als-1
Template:User ar-1	Шаблон:User ar-1
Template:User ast-1	Шаблон:User ast-1
Template:User az	Шаблон:User az
Template:User eo-1	Шаблон:User eo-1
Template:User da-2	Шаблон:User da-2
Template:User da	Шаблон:User da
Template:User ca-1	Шаблон:User ca-1
Template:User ca-4	Шаблон:User ca-4
Template:User be-2	Шаблон:User be-2
Template:User da-1	Шаблон:User da-1
Template:User cs-1	Шаблон:User cs-1
Template:User bg-1	Шаблон:User bg-1
Template:User eo-3	Шаблон:User eo-3
Template:User de	Шаблон:User de
Template:User de-1	Шаблон:User de-1
Template:User el	Шаблон:User el
Template:User es	Шаблон:User es
Template:User de-3	Шаблон:User de-3
Template:User en-3	Шаблон:User en-3
Template:User el-1	Шаблон:User el-1
Template:User en-1	Шаблон:User en-1
Template:User en-2	Шаблон:User en-2
Template:User eo-2	Шаблон:User eo-2
Template:User en-4	Шаблон:User en-4
Template:User en-0	Шаблон:User en-0
Template:User es-4	Шаблон:User es-4
Template:User en	Шаблон:User en
Template:User de-2	Шаблон:User de-2
Template:User es-1	Шаблон:User es-1
Template:User sk	Шаблон:User sk
Template:User tr	Шаблон:User tr
Template:Location map/Info	Шаблон:ПозКарта/Инфо
Category:User uk	Категория:User uk
Category:User uk-N	Категория:User uk-N
Template:Mod	Шаблон:Mod
Template:User uk	Шаблон:User uk
Template:User es-2	Шаблон:User es-2
Template:Africa	Шаблон:Страны Африки
Template:Max	Шаблон:Max
Template:Navbox with columns	Шаблон:Навигационная таблица с колонками
Template:Hatnote	Шаблон:Другое значение
Template:Location map	Шаблон:ПозКарта
Category:User en-4	Категория:User en-4
Category:User en	Категория:User en
Category:User en-2	Категория:User en-2
Template:Infobox	Шаблон:Карточка
Template:Ombox	Шаблон:Ombox
Template:GeoTemplate	Шаблон:GeoTemplate
Category:Kurima	Категория:Сельское хозяйство
Template:Infobox settlement	Шаблон:НП
Template:About	Шаблон:О
Template:Both	Шаблон:Both
Template:Precision	Шаблон:Precision
Template:User lt	Шаблон:User lt
Template:Kujekesa	Шаблон:Неоднозначность
Template:Convert	Шаблон:Convert
Category:Gonyazhinji	Категория:Многоугольники
Template:Europe	Шаблон:Страны Европы
Category:User az	Категория:User az
Category:User be	Категория:User be
Category:User sk	Категория:User sk
Category:User eo	Категория:User eo
Category:User lt	Категория:User lt
Category:User cs-1	Категория:User cs-1
Category:User da-1	Категория:User da-1
Category:User ar-1	Категория:User ar-1
Category:User be-2	Категория:User be-2
Category:User da-2	Категория:User da-2
Category:User lt-N	Категория:User lt-N
Category:User af	Категория:User af
Category:User af-1	Категория:User af-1
Category:User als	Категория:User als
Category:User als-1	Категория:User als-1
Category:User ar	Категория:User ar
Category:User ast	Категория:User ast
Category:User ast-1	Категория:User ast-1
Category:User az-N	Категория:User az-N
Category:User bar	Категория:User bar
Category:User bar-1	Категория:User bar-1
Category:User bg	Категория:User bg
Category:User bg-1	Категория:User bg-1
Category:User ca	Категория:User ca
Category:User ca-1	Категория:User ca-1
Category:User ca-4	Категория:User ca-4
Category:User cs	Категория:User cs
Category:User da	Категория:User da
Category:User sk-N	Категория:User sk-N
Category:User de	Категория:User de
Category:User de-2	Категория:User de-2
Category:User de-3	Категория:User de-3
Category:User el	Категория:User el
Category:User el-1	Категория:User el-1
Category:User el-N	Категория:User el-N
Category:User en-3	Категория:User en-3
Category:User en-N	Категория:User en-N
Category:User eo-1	Категория:User eo-1
Category:User eo-2	Категория:User eo-2
Category:User eo-3	Категория:User eo-3
Category:User es	Категория:User es
Category:User es-1	Категория:User es-1
Category:User es-2	Категория:User es-2
Category:User es-4	Категория:User es-4
Category:User es-N	Категория:User es-N
Category:Pimanzvimbo	Категория:Геометрия
Template:Weather box	Шаблон:Климат местности
Hukwidza	Высота над уровнем моря
Simudzo	Плавучесть
Ruchiva	Похоть
Nhungu	Барак
Category:Hushangazhi	Категория:Промышленность
Category:User tr	Категория:User tr
Category:User tr-N	Категория:User tr-N
Template:•	Шаблон:•
Template:Side box	Шаблон:Side box
Template:Citation/core	Шаблон:Citation/core
Category:Rwizi	Категория:Реки
Category:Zimbabwe	Категория:Зимбабве
Category:Musangano	Категория:Политические партии
Category:Mhuka	Категория:Животные
Category:Dzemuzongoza	Категория:Позвоночные
Category:Zvombo	Категория:Оружие
Category:Zvipfeko	Категория:Одежда
Category:Mhuri	Категория:Семья
Category:Chitendero	Категория:Вера
Category:Nyoka	Категория:Змеи
Category:North America	Категория:Северная Америка
Template:Masvomhu	Шаблон:Разделы математики
Module:BaseConvert	Модуль:BaseConvert
Template:Module other	Шаблон:Module other
Template:Sister	Шаблон:Sister
Category:Huwandu	Категория:Арифметика
Category:Bhuku Ramorimoni	Категория:Книга Мормона
Category:Jekanyika	Категория:Геодезия
Kuhamba	Движение
Category:Marudzi aShem	Категория:Семитские народы
Pfugama	Стояние на коленях
Igo	Осы
Category:User en-1	Категория:User en-1
Category:User de-1	Категория:User de-1
Category:User da-N	Категория:User da-N
KwaDukuza	Квадукуза
Template:Hid	Шаблон:~
Mutauro wePasirose	Международный язык
Template:Location map~	Шаблон:ПозКарта~
Kukangaridza	Exposed (значения)
Template:Location map+	Шаблон:ПозКарта+
Module:Convert	Модуль:Convert
Module:Arguments	Модуль:Arguments
Special:RecentChanges	Служебная:Свежие правки
Module:HtmlBuilder	Модуль:HtmlBuilder
Module:Coordinates	Модуль:Coordinates
Module:Math	Модуль:Math
Module:InfoboxImage	Модуль:InfoboxImage
Module:Navbox	Модуль:Navbox
Module:Infobox	Модуль:Карточка
