Hui-chiu	Африка
Súi-goân-chhī	Сувон
Le Mont-Saint-Michel	Мон-Сен-Мишель
Podcasting	Подкастинг
Tāi-khiu Kóng-he̍k-chhī	Тэгу
Kiaⁿ-ki-tō	Кёнгидо
Skandinavia	Скандинавия
Koh-oa̍h-cheh	Пасха
Chişinău	Кишинёв
Tiān-náu kho-ha̍k	Информатика
Chū-jiân-sò͘	Натуральное число
German gí-cho̍k	Германские языки
Siā-hoē-ha̍k	Социология
Aruba	Аруба
Kok-chè Im-phiau	Международный фонетический алфавит
Hô-pak-séng	Хэбэй
Po̍h Hi-lâi	Бо Силай
Orissa	Орисса
GNU Chū-iû Bûn-kiāⁿ Hí-khó-su	GNU FDL
Oang Tiāu-bêng	Ван Цзинвэй
Hoe-le̍k-chhí	Бурундуки
Tân Chúi-píⁿ	Чэнь Шуйбянь
Punjab	Пенджаб (Индия)
Tâi-oân	Тайвань
Aurora, Illinois	Орора (Иллинойс)
German-lâng	Древние германцы
Troia	Троя
Chio̍h-iû	Нефть
Gîn-hâng	Банк
Giân-lūn chū-iû	Свобода слова
Kong-hn̂g	Парк
Siau-hùi-chiá	Потребитель
Jîn-kháu bi̍t-tō͘	Плотность населения
Éire-tó	Ирландия (остров)
Halley Tn̂g-boé-chheⁿ	Комета Галлея
Cheshire	Чешир
Cumbria	Камбрия
Lancashire	Ланкашир
Northumberland	Нортамберленд
Tyne and Wear	Тайн-энд-Уир
County Durham	Дарем (графство)
West Yorkshire	Западный Йоркшир
North Yorkshire	Северный Йоркшир
East Riding of Yorkshire	Ист-Райдинг-оф-Йоркшир
Lincolnshire	Линкольншир
Nottinghamshire	Ноттингемшир
South Yorkshire	Южный Йоркшир
Derbyshire	Дербишир
Toā Manchester	Большой Манчестер
Merseyside	Мерсисайд
Shropshire	Шропшир
Staffordshire	Стаффордшир
Leicestershire	Лестершир
Rutland	Ратленд (графство)
1 nî	1 год
Norfolk	Норфолк
Suffolk	Суффолк
Cambridgeshire	Кембриджшир
Ló͘ Sìn	Лу Синь
Northamptonshire	Нортгемптоншир
West Midlands	Уэст-Мидлендс
Herefordshire	Херефордшир
Worcestershire	Вустершир
Warwickshire	Уорикшир
Bedfordshire	Бедфордшир
Kernow	Корнуолл
Bristol	Бристоль
Devon	Девон (графство)
Somerset	Сомерсет
Dorset	Дорсет
Gloucestershire	Глостершир
Wiltshire	Уилтшир
Nashville	Нашвилл
Hampshire	Хэмпшир
Berkshire	Беркшир
Buckinghamshire	Бакингемшир
Essex	Эссекс
Surrey	Суррей
West Sussex	Западный Суссекс
East Sussex	Восточный Суссекс
Kent	Кент
Toā Lûn-tun	Большой Лондон
Lûn-tun Chhī	Сити (Лондон)
Salt Lake City	Солт-Лейк-Сити
7	7 (число)
8	8 (число)
Taylor Lautner	Лотнер, Тэйлор
Jeremy Renner	Реннер, Джереми
Jean-Auguste-Dominique Ingres	Энгр, Жан Огюст Доминик
Lâu-chúi	Прилив и отлив
Lé-pài (sî-kan)	Неделя
Lo̍k-kho	Оленевые
Chú ê Kî-tó-bûn	Отче наш
Ô͘	Озеро
Soàn-thâu	Чеснок
Musée d'Orsay	Музей Орсе
Jîn-lūi-ha̍k	Антропология
Âng-hái	Красное море
Siâⁿ-pó	Замок (строение)
Chhì-koe	Огурец обыкновенный
Ulaanbaatar	Улан-Батор
Ernest Hemingway	Хемингуэй, Эрнест
Edinburgh	Эдинбург
Ashgabat	Ашхабад
Octave Mirbeau	Мирбо, Октав
Tó-sū	Остров
Provo, Utah	Прово
Pe̍h-sek	Белый цвет
O͘-sek	Чёрный цвет
Chris Pine	Пайн, Крис
Lordi	Lordi
Chhang-thâu	Лук репчатый
6	6 (число)
Koaⁿ-hong gí-giân	Официальный язык
Moshchena	Мощёная
Kam-á-bi̍t	Томат
George H. W. Bush	Буш, Джордж Герберт Уокер
Paltoga	Палтога
Balkan Poàn-tó	Балканский полуостров
Slav gí-giân	Славянские языки
Dmitry Anatolyevich Medvedev	Медведев, Дмитрий Анатольевич
Quảng Bình	Куангбинь
Entrena	Энтрена
Chhiah-tō	Экватор
Sin-kàu	Протестантизм
Selena	Селена (певица)
NASA	НАСА
Mérida (chhī)	Мерида (Венесуэла)
Atlanta	Атланта
House, M.D.	Доктор Хаус
Jī-tián	Словарь
Bermuda	Бермудские Острова
Thâu	Голова
Wellington	Веллингтон
Britain	Великобритания (остров)
Jimmy Carter	Картер, Джимми
Byzantium	Византий
Chio̍h-hoe-giâm	Известняк
Rowan Atkinson	Аткинсон, Роуэн
Las Vegas	Лас-Вегас
Filastiniyya	Палестина
10	10 (число)
Goân-chú-hoan	Зарядовое число
Alfred Nobel	Нобель, Альфред
Sí-hái	Мёртвое море
Andrew Garfield	Гарфилд, Эндрю
La̍h-pà	Гепард
Kùi-chiat	Времена года
Thô͘-thoàⁿ	Ископаемый уголь
Vancouver	Ванкувер
Luna Sea	Luna Sea
Liverpool	Ливерпуль
Albany, New York	Олбани (Нью-Йорк)
Avatar	Аватар (фильм, 2009)
Bremen	Бремен
Kho-ha̍k siáu-soat	Научная фантастика
Khoân-le̍k	Власть
RMS Titanic	Титаник
Inception	Начало (фильм, 2010)
Christopher Nolan	Нолан, Кристофер
Eng-pōng	Фунт стерлингов
Kē-tē-kok Antilles	Нидерландские Антильские острова
Anguilla	Ангилья
Guernsey	Гернси
Svalbard	Шпицберген
Benetice	Бенетице
Tiám-cheng	Час
Oá	Ватт
Chek-chui tōng-bu̍t	Позвоночные
2016 nî	2016 год
Bó͘-lú-to͘h	Вольт
Khì-siōng-ha̍k	Метеорология
Niau-kho	Кошачьи
Liap-sī	Градус Цельсия
Priština	Приштина
Kok-chè Thài-khong-chām	Международная космическая станция
Hái-khiā-á	Серая цапля
2019 nî	2019 год
Tông-ūi-sò͘	Изотопы
Sió-se-pan-gâ	Гаити (остров)
Harrisburg	Гаррисберг
Đà Nẵng	Дананг
Tatar-gí	Татарский язык
Tāng-liōng	Вес
2017 nî	2017 год
2018 nî	2018 год
Britain Virgin Kûn-tó	Британские Виргинские острова
Chia̍h-bah-bo̍k	Хищные
Ka-choa̍h	Таракановые
Hô͘-sîn	Двукрылые
Khui-hoe si̍t-bu̍t	Цветковые растения
Káu-kho	Псовые
Frysk	Фризские языки
Nńg-thé tōng-bu̍t	Моллюски
Pû-á-thâng	Божьи коровки
Antoni Gaudí	Гауди, Антонио
Ngó͘-tê tōng-bu̍t	Парнокопытные
Trenton, New Jersey	Трентон (Нью-Джерси)
Ū-tē tōng-bu̍t	Сумчатые
Sió Ông-chú	Маленький принц
Chhek-hêng-ba̍k	Воробьинообразные
Pêng-hong-kong-chhioh	Квадратный метр
Kim-thâu-á	Кряква
Theodor Mommsen	Моммзен, Теодор
Chheⁿ-tē-gú	Гренландский язык
Navassa-tó	Навасса (остров)
Kho̍k-hî	Крокодилы
Kah-khak-lūi	Ракообразные
Siang-khak-kong	Двустворчатые
Kobe Bryant	Брайант, Коби
Chún-hêng-ba̍k	Соколообразные
Nńg-kut-hî	Хрящевые рыбы
Newark, New Jersey	Ньюарк (Нью-Джерси)
Lâ-lí	Панголины
Tōa-tn̂g-khún	Кишечная палочка
Hóe-kim-ko͘	Светляки
Chúi-pī-á	Малая поганка
Tiān-ap	Электрическое напряжение
Ìⁿ-á	Деревенская ласточка
Thī-ke	Обыкновенный фазан
Tiau-kho	Куньи
Lô͘-chî	Большой баклан
Chiam-boé-á	Шилохвость
Gû-kho	Полорогие
Khoân-chat tōng-bu̍t	Кольчатые черви
Hái-pà	Настоящие тюлени
St. Gallen	Санкт-Галлен
Pe̍h-ba̍k-bâi-á	Чирок-трескунок
Sò͘-ūi Mi̍h-kiāⁿ Sek-pia̍t-hō	Идентификатор цифрового объекта
Chúi-phiô-á	Чирок-свистунок
Chéng-chí si̍t-bu̍t	Семенные растения
Rutland, Vermont	Ратленд (Вермонт)
Thò͘-kho	Зайцевые
Chhiū chhù-chiáu	Полевой воробей
Hermann Hesse	Гессе, Герман
Kùi-song Tè-kok	Кушанское царство
South Burlington	Саут-Берлингтон
Wadden Hái	Ваттовое море
Kasugai-chhī	Касугаи
Phô-tô-kho	Виноградовые
Niccolò Cusano Tāi-ha̍k	Университет Николая Кузанского
Jersey City	Джерси-Сити
Akasi-chhī	Акаси (город)
Centurio	Центурион
Yokkaiti-chhī	Йоккаити
Hakodate-chhī	Хакодате
Montpelier, Vermont	Монтпилиер (Вермонт)
Tāi-lí-kok	Дали (государство)
Gregorius sèng-koa	Григорианское пение
Âng-eng	Обыкновенная пустельга
1040 nî-tāi	1040-е годы
The-jî	Плод (анатомия)
Oē-chheⁿ	Искусственный спутник Земли
Long An	Лонган
Thái Nguyên	Тхайнгуен (провинция)
Ciudad Juárez	Сьюдад-Хуарес
Hukuoka-chhī	Фукуока
Hái-sai-kho	Ушастые тюлени
Sai German gí-giân	Западногерманские языки
Canada Gô	Канадская казарка
Danny DeVito	Де Вито, Дэнни
Choá-hî	Обыкновенная чешуйница
Hó͘-keng	Косатка (млекопитающее)
Taylor Swift	Свифт, Тейлор
Davenport, Iowa	Давенпорт (Айова)
Lakshadweep	Лакшадвип
Cook Kûn-tó	Острова Кука
Niau-hêng-lūi	Кошкообразные
Soàⁿ-lia̍p-thé DNA	Митохондриальная ДНК
Ji̍t-pún-hái	Японское море
Tang-a	Восточная Азия
Tiong-a	Центральная Азия
Preußen Ông-kok	Пруссия (королевство)
Pak-a	Северная Азия
Gê-i-su	Стоматолог
Lâm Hui-chiu	Южная Африка
Káu-hêng-lūi	Псообразные
Lâm-au	Южная Европа
Tang-au	Восточная Европа
Pak-au	Северная Европа
Se-au	Западная Европа
Tiong-au	Центральная Европа
Vĩnh Phúc	Виньфук
Wettingen	Веттинген
Tiong Bí-chiu	Центральная Америка
Michail Aleksandrovič Bakunin	Бакунин, Михаил Александрович
Inuit-gí	Инуитские языки
ISO 3166-2:CA	ISO 3166-2:CA
ISO 3166-2:IN	ISO 3166-2:IN
ISO 3166-2:DE	ISO 3166-2:DE
Okinawa	Окинава (значения)
Chhang-á	Лук-батун
Ainu-gú	Айнский язык
Liû-khiû kok	Рюкю (государство)
Columbiformes	Голубеобразные
Tiâu-sián ông-tiâu	Чосон
Jefferson City	Джефферсон-Сити (Миссури)
Jackson, Mississippi	Джэксон (Миссисипи)
Augusta, Maine	Огаста (Мэн)
Ko-lê	Корё
Baton Rouge	Батон-Руж
Pak Frisia-gí	Севернофризский язык
Tāi-hân Tè-kok	Корейская империя
Lansing	Лансинг
Concord, New Hampshire	Конкорд (Нью-Гэмпшир)
Chiam-chhí	Ежовые
Lincoln, Nebraska	Линкольн (Небраска)
Annapolis	Аннаполис (Мэриленд)
Pu̍t-hái-kok	Бохай
Ko-kù-lê	Когурё
Bi̍t-pô	Рукокрылые
Pah-chè	Пэкче
São Luís, Maranhão	Сан-Луис (Мараньян)
Sin-lô	Силла
Mô͘	Волосы
Ò-hiong Tè-kok	Австро-Венгрия
Springfield, Illinois	Спрингфилд (Иллинойс)
Frankfort, Kentucky	Франкфорт
Kazimierz Funk	Функ, Казимир
Hu̍t-kam-sng	Нуклеотиды
Chhek-sio̍k	Настоящие воробьи
Fields Chióng	Филдсовская премия
Saint Paul, Minnesota	Сент-Пол (Миннесота)
Châi-hoè	Благо (экономика)
Ignacy Łukasiewicz	Лукасевич, Игнатий
Pō͘-peng	Пехота
Sauli Niinistö	Нийнистё, Саули
Tarja Halonen	Халонен, Тарья
Bill Murray	Мюррей, Билл
Liú-kiaⁿ Pn̄g-tiàm	Гостиница Рюгён
Aroman-gí	Арумынский язык
Montgomery, Alabama	Монтгомери (Алабама)
Juneau	Джуно (Аляска)
Tiò-hî-tâi Lia̍t-tó	Сенкаку
Kiōng-hô Tóng (Bí-kok)	Республиканская партия (США)
Phau-ta-hún	Пекарский порошок
Tiong-kok	Китайская цивилизация
Bîn-chú Tóng (Bí-kok)	Демократическая партия (США)
Tek-pak-chhī	Чжубэй
Chúi-thoah	Выдра
Sêng-to͘-chhī	Чэнду
Arrondissement	Арондисман
Hái-ku	Морские черепахи
Seh-pà	Ирбис
Ecser	Эчер
Silesia-gí	Силезский язык
Tēⁿ-chiu-chhī	Чжэнчжоу
Avril Lavigne	Лавин, Аврил
Chóng-thóng	Президент
Teresa Siu-lú	Мать Тереза
Boán-chiu-kok	Маньчжоу-го
Chū-jiân gú-giân chhú-lí	Обработка естественного языка
Rudolf Clausius	Клаузиус, Рудольф Юлиус Эммануэль
Auguste Rodin	Роден, Огюст
Bāng-chì	Блог
Oscar Wilde	Уайльд, Оскар
Liân-pang Lí-sū-hoē	Федеральный совет Швейцарии
Pan-kah	Горлицы
Thian-káu-jia̍t	Лихорадка денге
Alofi	Алофи (Ниуэ)
Hoat-kok Polynésie	Французская Полинезия
502	502 год
Norfolk-tó	Норфолк (остров)
Burlington, Vermont	Берлингтон (Вермонт)
Christmas-tó	Остров Рождества (Австралия)
Tiong-kok Kok-bîn Tóng	Гоминьдан
93	93 (число)
Miki-chhī	Мики (город)
Iá-gô	Сухонос
.info	.info
Bernard Arnault	Арно, Бернар
IUCN Âng Miâ-toaⁿ	Красная книга
Tâi-oân-séng	Тайвань (провинция Китайской Республики)
Bo̍k-sèng	Бокс
Kok-thài Hâng-khong	Cathay Pacific
Iāu-tek chèng-tī-hoān siu-iông-só͘	Ёдок
To	Нож
Karl 5-sè	Карл V (император Священной Римской империи)
Veneto-gí	Современный венетский язык
Anglo-Saxon	Англосаксы
Hoe-pan-bé	Зебры
Akon	Эйкон
Buffalo	Буффало (значения)
Hân-bú-kì po̍k-hoat	Кембрийский взрыв
Valery Leontiev	Леонтьев, Валерий Яковлевич
Corsica-gí	Корсиканский язык
Banjar-gí	Банджарский язык
Bugis-gí	Бугийский язык
Phoe-thai	Эмбрион
Jîn-chō gí-giân	Искусственный язык
Leopardus pardalis	Оцелот
Chamoru	Чаморро (язык)
Las Cruces, New Mexico	Лас-Крусес
Đồng Nai	Донгнай (провинция)
Sóc Trăng	Шокчанг (провинция)
Creole gí-giân	Креольские языки
Hui-li̍p-pin-gí	Филиппинский язык
Quảng Ngãi	Куангнгай (провинция)
Hà Tĩnh	Хатинь (провинция)
Cà Mau	Камау (провинция)
Quảng Nam	Куангнам
Bến Tre	Бенче (провинция)
Khánh Hòa	Кханьхоа
Kheh-ka-gí	Хакка (язык)
Sơn La	Шонла (провинция)
Lev Trockij	Троцкий, Лев Давидович
Quảng Ninh	Куангнинь
Lạng Sơn	Лангшон (провинция)
Little Rock	Литл-Рок (Арканзас)
Bắc Ninh	Бакнинь (провинция)
Koan-liām-lūn	Идеализм
Kàm-gí	Гань
Eugène Delacroix	Делакруа, Эжен
Hartford	Хартфорд (Коннектикут)
Dover, Delaware	Довер (Делавэр)
ISO 639	ISO 639
Jawa-gí	Яванский язык
Friedrich 2-sè (Preußen)	Фридрих II (король Пруссии)
Niau-hîm	Большая панда
Kesha	Кеша (певица)
Pe̍h-hîm	Белый медведь
Bóan-gí	Маньчжурский язык
Gilaki-gí	Гилянский язык
Livonia-gí	Ливский язык
Lombard-gí	Ломбардский язык
Bertrand Russell	Рассел, Бертран
Tō͘ Hú	Ду Фу
Sin Calédonie	Новая Каледония
Jîn-kháu	Население
Pidgin gí-giân	Пиджин
Kûn-tó	Архипелаг
Norman-gí	Нормандский язык
Theodore Roosevelt	Рузвельт, Теодор
Pí-tek	Апостол Пётр
Československo	Чехословакия
Ossetia-gí	Осетинский язык
Hio̍h-á	Лист
Jules Verne	Верн, Жюль
Robert Delaunay	Делоне, Робер
Valparaiso	Вальпараисо
Ián-goân	Актёр
Hollywood	Голливуд
Marlon Brando	Брандо, Марлон
Georges Pierre Seurat	Сёра, Жорж-Пьер
Niue	Ниуэ
Hūi-tō͘	Широта
Chúi-chhiâng	Водопад
Tagalog-gí	Тагальский язык
Lūi-pia̍t:Thêng-sek gí-giân	Категория:Языки программирования
Nathalia Dill	Дилл, Наталия
Justin Bieber	Бибер, Джастин
Chheⁿ-tâng	Бронза
Hosni Mubarak	Мубарак, Хосни
Fargo, North Dakota	Фарго (Северная Дакота)
Oaxaca	Оахака (штат)
Grand Forks	Гранд-Форкс (Северная Дакота)
Bá-tah	Сливочное масло
Sîn-ha̍k	Богословие
Pablo Neruda	Пабло Неруда
Zeus	Зевс
Yasser Arafat	Ясир Арафат
Oxford	Оксфорд
FreeBSD	FreeBSD
Linus Torvalds	Торвальдс, Линус
Port-au-Prince	Порт-о-Пренс
Międzyrzec Podlaski	Мендзыжец-Подляский
Chōng-gí	Тибетский язык
Winaray-gí	Варайский язык
Alexander Graham Bell	Белл, Александр Грейам
Ngô͘-gí	У (язык)
Woodrow Wilson	Вильсон, Вудро
Doctor Who	Доктор Кто
Chiam-chhiⁿ-ha̍k	Астрология
Tasmania	Тасмания
Rotterdam	Роттердам
Kriti	Крит
Ga̍k-khì	Музыкальные инструменты
Thian-gô	Лебеди
Whitney Houston	Хьюстон, Уитни
Sap-bûn	Мыло
New Orleans	Новый Орлеан
Mošovce	Мошовце
Hu̍t-san-chhī	Фошань
Shakira	Шакира
Oxford Tāi-ha̍k	Оксфордский университет
Scarlett Johansson	Йоханссон, Скарлетт
Lō͘	Дорога
Mahmoud Ahmadinejad	Ахмадинежад, Махмуд
Boris Yeltsin	Ельцин, Борис Николаевич
Gwyneth Paltrow	Пэлтроу, Гвинет
CD	Компакт-диск
Aleksandr Isaevič Solženicyn	Солженицын, Александр Исаевич
Chiau-hô Thian-hông	Хирохито
Ti̍t-seng-ki	Вертолёт
Al-Qaeda	Аль-Каида
O͘-to͘-bái	Мотоцикл
Sèng Helena	Остров Святой Елены
Hô-bé	Обыкновенный бегемот
Ege-hái	Эгейское море
Mizuki Itirô	Мидзуки, Итиро
Euphrates Hô	Евфрат
James A. Garfield	Гарфилд, Джеймс Абрам
Kiaⁿ-to͘-chhī	Киото
Sèng Pierre kap Miquelon	Сен-Пьер и Микелон
Cha̍p-tiâu-kài	Десять заповедей
Art nouveau	Модерн
1980 nî-tāi	1980-е годы
Johannesburg	Йоханнесбург
1990 nî-tāi	1990-е годы
J. K. Rowling	Роулинг, Джоан
Hirosima-chhī	Хиросима
Albert Camus	Камю, Альбер
Pho-su-oan	Персидский залив
Kingston, Jamaica	Кингстон (Ямайка)
Hoe-pà	Леопард
Salzburg	Зальцбург
Sai-gû	Носороговые
Hi-lia̍p sîn-oē	Древнегреческая мифология
Sio̍k (hun-lūi-ha̍k)	Род
Rudyard Kipling	Киплинг, Редьярд
Siā-hoē kho-ha̍k	Общественные науки
Poàn-tó	Полуостров
X siā-soàⁿ	Рентгеновское излучение
Friedrich Engels	Энгельс, Фридрих
Sin-kiong Uyghur Chū-tī-khu	Синьцзян-Уйгурский автономный район
Albuquerque	Альбукерке
Santo Domingo	Санто-Доминго
Tequixquiac	Текискьяк
Ulysses S. Grant	Грант, Улисс
Elizabeth Taylor	Тейлор, Элизабет
Oklahoma City	Оклахома-Сити
Séng	Провинция
Bo̍k-koe	Папайя
Eric Hobsbawm	Хобсбаум, Эрик
Bî-tá-mín	Витамины
Benjamin Franklin	Франклин, Бенджамин
Isaac Asimov	Азимов, Айзек
1970 nî-tāi	1970-е годы
2000 nî-tāi	2000-е годы
William McKinley	Мак-Кинли, Уильям
Ko-lê-chhài	Кочанная капуста
Agatha Christie	Кристи, Агата
Bí-kok chóng-thóng lia̍t-pió	Список президентов США
Siú-to͘ lia̍t-toaⁿ	Список столиц мира
Noemi	Ноэми (певица)
Bāng-chām	Сайт
Siōng-kó͘ Hàn-gí	Древнекитайский язык
Wilhelm Conrad Röntgen	Рентген, Вильгельм Конрад
Odusseia	Одиссея
Grover Cleveland	Кливленд, Стивен Гровер
Kuwait Chhī	Эль-Кувейт
Chiu-tiâu	Чжоу (династия)
Herbert Hoover	Гувер, Герберт Кларк
Bí-chiu-sai	Пума
Iâ-hô-hoa Kiàn-chèng-jîn	Свидетели Иеговы
Hêng-jî-siōng-ha̍k	Метафизика
Cia-Cia gú	Чиа-чиа
Warren G. Harding	Гардинг, Уоррен
Brad Pitt	Питт, Брэд
Sumer	Шумер
Colombo	Коломбо
Kho (hun-lūi-ha̍k)	Семейство
AT&T	AT&T
Chester A. Arthur	Артур, Честер Алан
Pe̍h Kiong	Белый дом
Kéng-chhat	Полиция
Paul Cézanne	Сезанн, Поль
Wallis kap Futuna	Уоллис и Футуна
Pak-hái-tō	Хоккайдо
Tigris Hô	Тигр (река)
Arthur Conan Doyle	Дойл, Артур Конан
Kiuⁿ	Имбирь аптечный
Nobel Hô-pêng Chióng	Нобелевская премия мира
William Howard Taft	Тафт, Уильям Говард
Bí-kok ê hêng-chèng-khu	Штат США
Pitcairn Kûn-tó	Острова Питкэрн
Benjamin Harrison	Гаррисон, Бенджамин
Rutherford B. Hayes	Хейс, Ратерфорд Бёрчард
Bí-chiu-pà	Ягуар
1930 nî-tāi	1930-е годы
Lâm Australia	Южная Австралия
1960 nî-tāi	1960-е годы
1920 nî-tāi	1920-е годы
Gī-hoē	Парламент
Bu̍t-chit	Материя (физика)
Tāi-pán-chhī	Осака
Boise	Бойсе (город)
Al Bayda	Аль-Байда
Sex and the City	Секс в большом городе (телесериал)
Cambridge Tāi-ha̍k	Кембриджский университет
Hêng-chèng	Исполнительная власть
Zarathuštra	Заратустра
Wright hiaⁿ-tī	Братья Райт
La Plata Hô	Ла-Плата (эстуарий)
Khùn-bîn	Сон
Khí-ko	Зубная паста
He-ku	Бронхиальная астма
Tek	Bambuseae
Congo	Конго
Interlingua	Интерлингва
Ilokano-gí	Илоканский язык
Polynesia	Полинезия
Bí-ha̍k	Эстетика
Cocos (Keeling) Kûn-tó	Кокосовые острова
Hồ Chí Minh	Хо Ши Мин
Hòa Bình	Хоабинь (провинция)
So͘ Sek	Су Ши
Calvin Coolidge	Кулидж, Калвин
Queensland	Квинсленд
Minneapolis	Миннеаполис
Bô-boé-hîm	Коала
Charles Bronson	Бронсон, Чарльз
Borneo	Калимантан
Kapampangan-gí	Капампанганский язык
Thô͘	Почва
Chiuⁿ-pà	Дымчатый леопард
Beyoncé Knowles	Бейонсе
Huế	Хюэ
Bridgetown	Бриджтаун
2011 nî Ji̍t-pún Tang-pak tē-hng tē-tāng	Землетрясение в Японии (2011)
Mark Zuckerberg	Цукерберг, Марк
Václav Havel	Гавел, Вацлав
Hưng Yên	Хынгйен (провинция)
Tn̂g-té	Длина
Apia	Апиа
St. John's, Antigua kap Barbuda	Сент-Джонс
Brigitte Bardot	Бардо, Брижит
Roseau	Розо
1950 nî-tāi	1950-е годы
Thales	Фалес Милетский
Calgary	Калгари
Kon Tum	Контум (провинция)
Hậu Giang	Хаузянг
Jane Austen	Остин, Джейн
Chong-hîm	Бурый медведь
Bāng	Сновидение
Yên Bái	Йенбай (провинция)
Bắc Giang	Бакзянг (провинция)
Fribourg	Фрибур
Iâ-so͘-hoē	Иезуиты
Toā-chhí	Крысы
Thừa Thiên-Huế	Тхыатхьен-Хюэ
Bắc Kạn	Баккан (провинция)
Lai Châu	Лайтяу (провинция)
Hà Nam	Ханам (провинция)
Porto	Порту
Lào Cai	Лаокай (провинция)
Māori-gú	Маори (язык)
Bân-tang-gí	Восточноминьский язык (диалект)
Keng-tō͘	Долгота
The Lion King	Король Лев
Bân-lâm-gú	Южноминьский язык (диалект)
Lī-chú	Ион
Thanh Hóa	Тханьхоа (провинция)
1940 nî-tāi	1940-е годы
1900 nî-tāi	1900-е годы
Kiên Giang	Кьензянг
Quảng Trị	Куангчи (провинция)
1910 nî-tāi	1910-е годы
Nghệ An	Нгеан
Vladimir Nabokov	Набоков, Владимир Владимирович
An Giang	Анзянг
Den Haag	Гаага
Bo̍k (hun-lūi-ha̍k)	Отряд
Tây Ninh	Тэйнинь (провинция)
Phú Thọ	Футхо
Toā-seng-seng	Гориллы
Trà Vinh	Чавинь
Tycho Brahe	Браге, Тихо
Sī-kak gē-su̍t	Изобразительное искусство
Bạc Liêu	Бакльеу (провинция)
Henrik Ibsen	Ибсен, Генрик
Gia Lai	Зялай
Tiền Giang	Тьензянг
Joa̍h-tang sî-kan	Летнее время
Bình Phước	Биньфыок
Đồng Tháp	Донгтхап
Thái Bình	Тхайбинь (провинция)
Hà Giang	Хазянг (провинция)
Victoria (Australia)	Виктория (Австралия)
Đăk Lăk	Даклак
Cuengh-cho̍k	Чжуаны
Bình Định	Биньдинь
Mammoth	Мамонты
Siōng-hái-oē	Шанхайский диалект
Lâm Đồng	Ламдонг
Đăk Nông	Дакнонг
Phú Yên	Фуйен
Hải Dương	Хайзыонг (провинция)
Kài (hun-lūi-ha̍k)	Царство (биология)
Aung San Suu Kyi	Аун Сан Су Чжи
Se-nái Poàn-tó	Синайский полуостров
Tiô-chiu-oē	Чаошаньское наречие
Bāng-ia̍h	Веб-страница
Tâi-oân-oē	Тайваньский язык
Hoat-kok ê toā-khu	Регионы Франции
Sì-kak-hêng	Четырёхугольник
Tokelau	Токелау
Chok-khek-ka	Композитор
Rihanna	Рианна
Ti-liû-kám	Свиной грипп
Cao Bằng	Каобанг (провинция)
Bình Dương	Биньзыонг
Bình Thuận	Биньтхуан
Bó-gí	Родной язык
Bà Rịa-Vũng Tàu	Бариа-Вунгтау
Ninh Bình	Ниньбинь (провинция)
Ninh Thuận	Ниньтхуан
Nam Định	Намдинь (провинция)
Salvador, Bahia	Салвадор
Márai Sándor	Мараи, Шандор
Điện Biên	Дьенбьен
Hansen ê pīⁿ	Лепра
Sêng-liông	Чан, Джеки
Jī-tô͘	Глиф
12	12 (число)
Mifune Toshirô	Мифунэ, Тосиро
Bīn	Лицо
Srbija kap O͘-soaⁿ	Сербия и Черногория
Thomas Mann	Манн, Томас
Bûn-giân-bûn	Вэньянь
Tallahassee	Таллахасси
Bismarck, North Dakota	Бисмарк (Северная Дакота)
Lōng-bān-chú-gī	Романтизм
Liû-hêng-koa	Поп-музыка
Teng-á	Гвоздь
2 goe̍h 30 ji̍t	30 февраля
Florence Nightingale	Найтингейл, Флоренс
Ti̍t-soàⁿ	Прямая
Methane	Метан
11	11 (число)
13	13 (число)
Goân-chú-hu̍t	Атомное ядро
Sun-chú	Сунь-цзы
Avocado	Авокадо
IBM	IBM
David Hume	Юм, Дэвид
Luiz Inácio Lula da Silva	Силва, Луис Инасиу Лула да
Âng-hoeh-kiû	Эритроциты
Robert Koch	Кох, Роберт
Ti̍t-kèng	Диаметр
Tiong-iong Chêng-pò-kio̍k	Центральное разведывательное управление
2006 nî FIFA Sè-kài-poe	Чемпионат мира по футболу 2006
Ramayana	Рамаяна
Bāng-lō͘ Tiān-iáⁿ Chu-liāu-khò͘	Internet Movie Database
Cleveland	Кливленд
Samuel Beckett	Беккет, Сэмюэл
Akrotiri kap Dhekelia	Акротири и Декелия
Arara	Арара (Параиба)
Thô͘-tāu	Арахис культурный
Francis Bacon	Бэкон, Фрэнсис
Melanesia	Меланезия
Pyinmana	Нейпьидо
100	100 (число)
An-chôan Lí-sū-hōe	Совет Безопасности ООН
Ba̍k-kiàⁿ	Очки
Hoan-á-hoé	Спичка
Phû-tô-thn̂g	Глюкоза
Jackson Pollock	Поллок, Джексон
Jean Calvin	Кальвин, Жан
Luciano Pavarotti	Паваротти, Лучано
Thomas Hobbes	Гоббс, Томас
Chhī-tiûⁿ	Рынок
Lâm Tiong-kok Hái	Южно-Китайское море
Campora San Giovanni	Кампора-Сан-Джованни
Tiâu-sián Sè-chong	Сечжон Великий
Kim-chîⁿ-ku	Хамелеоны
Paul Gauguin	Гоген, Поль
Bloemfontein	Блумфонтейн
Jîn-kháu-ha̍k	Демография
Liám-sek-thé	Хромосома
T. S. Eliot	Элиот, Томас Стернз
Charlotte's Web (1973 nî tiān-iáⁿ)	Паутина Шарлотты (мультфильм)
Port Vila	Порт-Вила
