འབོམ་སྦེ	Мумбаи
ཨཱན་དྷ་ར་མངའ་སྡེ།	Андхра-Прадеш
ཨ་རུ་ནཱ་ཅལ་མངའ་སྡེ།	Аруначал-Прадеш
ཨཱསཱམ།	Ассам
སྦི་ཧཱར།	Бихар
མི་ཅི་གྷན།	Мичиган
ཆར་ཊི་སི་གྷར།	Чхаттисгарх
གྷོའ།	Гоа
ཧ་རི་ཡཱ་ཎཱ།	Харьяна
ཧི་མ་ཅལ་མངའ་སྡེ།	Химачал-Прадеш
ཇ་མུ་དང་ཀ་ཤི་མིར།	Джамму и Кашмир
རྗར་ཁན་ཌི།	Джаркханд
ཁར་ན་ཀྲ་ཁཱ།	Карнатака
ཀེ་ར་ལཱ།	Керала
མཱ་ནི་པུར།	Манипур
མོན་ཏཱ་ན།	Монтана
ཝ་ཡོ་མིང་།	Вайоминг
ཇེ་རུ་ས་ལེམ།	Иерусалим
ཝ་ཤིན་ཏྲོན། (རྒྱལ་ཁབ།)	Вашингтон (штат)
ནེ་བ་ད།	Невада
ཏོན་གཙང་པོ།	Дон
ཝེ་ནེ་ཏོ།	Венето
ཁོ་སོ་ཝོ།	Республика Косово
ཁོ་ལོ་ར་ཌོ།	Колорадо
ཁོ་ལོ་ར་ཌོ་གཙང་པོ།	Колорадо (река)
Category:རིགས།	Категория:Всё
ཕི་ལེ་ཟི་ཕ་སི་ཁལ།	Паскаль, Блез
མཆོང་སྒྲིག་མིག་མངས།	Шашки
དགུན་ཁ།	Зима
དཔྱིད།	Весна
དབྱར་ཁ།	Лето
སྟོན་ཁ།	Осень
སེ་པན་སྐད།	Испанский язык
མཱོན་ཊི་ཝི་ཌོ།	Монтевидео
ཀ་ལི་ཀུ་ཏ	Калькутта
དྷ་ཁ།	Дакка
ཨི་སི་ལམ་བོ།	Исламабад
ཤིང་ཏོག	Плод
སྤྲེའུ།	Обезьяны
དངུལ་ལོར།	Деньги
ཝིར་ཇི་ནི་ཡ།	Виргиния
མ་རིས་ལེན་ཌ།	Мэриленд
དྷེའི་ལ་ཝར།	Делавэр
ལེ་ཉིན།	Ленин, Владимир Ильич
ཨོ་ཧེའོ།	Огайо
བིར་སྒྲེལ།	Вергилий
ཕེན་སུལ་ཝེ་ནའི་ཡ།	Пенсильвания
པོ་ཅ་ཆུའུ།	Джованни Боккаччо
ཨའོ་ཀུའུ་སི་ཏུའུ།	Октавиан Август
ནེའུ་ཇེར་སས།	Нью-Джерси
ཨིན་ཌི་ཡཱ་ན།	Индиана
འཇོར་ཇི་ཡ། (ཨ་མེ་རི་ཁ།)	Джорджия
མར་ཁུའུ་སེ་ཨའུ་རེ་ལིའུ་སེ།	Марк Аврелий
ཛག་རེབ།	Загреб
ཋེག་ཟ་སི།	Техас
ཏཱ་མིལ་ན་ཌུ།	Тамилнад
ཁ་རོ་ལི་ན་ལྷོ་ཕྱོགས།	Южная Каролина
སི་ཅི་ལི་ཡ།	Сицилия
མ་ནི་ལ།	Манила
ལུའུ་ཝར་གཙང་པོ།	Луара
སེ་ན་གཙང་པོ།	Сена
པུ་ཨེ་ནོ་སི་ཨས་རི་སི།	Буэнос-Айрес
མེག་སི་ཀོ་གྲོང་།	Мехико
ཐོ་ཁེ་ཡོ།	Токио
བྷར་སེ་ལོ་ནཱ།	Барселона
ཐང་འབྲས།	Ананас крупнохохолковый
མི་སི་སི་ཕི།	Миссисипи (штат)
མི་སི་སི་ཕི་གཙང་པོ།	Миссисипи
འབྲས་ལྗོངས།	Сикким
ཐེན་ནེ་སི།	Теннесси
ཨ་པོའུ་དྷ་པེ།	Абу-Даби
ཨ་སི་ཐ་ན།	Астана
མེག་སི་ཀོ་གསར་མ།	Нью-Мексико
ཨ་ཐེན།	Афины
པ་ག་ཏ	Багдад
ཁ་ར་ཁ་སི	Каракас
ཝིས་སི་ཁོན་སིན།	Висконсин
ཡོ་བ།	Айова
གུ་ཝེ་ཐི་མ་ལ་གྲོང་ཁྱེར།	Гватемала (город)
ཁན་སཱ་སི།	Канзас
ཧ་ཝན	Гавана
རྒྱ་གར་སྐད།	Хинди
ཤོག་དྲིལ་དུ་བ།	Сигарета
ཚོགས་བདག	Ганеша
ལུའི་ཟི་ཨཱན་ནཱ།	Луизиана
ཨར་ཁན་སཱ་སི།	Арканзас
ཕའི་ཆིའུ་སྤོ་ལོ།	Волейбол
ཝི་ཨེ་ན།	Вена
ཁོ་ཕེན་ཧ་ཀེན།	Копенгаген
སི་ཏོག་ཧོ་ལིམ།	Стокгольм
ཧེལ་སིན་ཀི།	Хельсинки
དུབ་ལིན།	Дублин
རེཀ་ཇ་བིཀ།	Рейкьявик
