अफ्रीका	Африка
हान राजवंश	Хань (династия)
रोजा लुक्सम्बर्ग	Люксембург, Роза
रवीन्द्रनाथ टेगोर	Тагор, Рабиндранат
नारीवाद	Феминизм
एडा लभलेस	Лавлейс, Ада
साम्राज्यवाद	Империализм
गणतन्त्र	Республика
समाजवाद	Социализм
किलिमान्जारो	Килиманджаро
चुम्बन	Поцелуй
नाजीवाद	Национал-социализм
ज्याक कार्टिअर	Картье, Жак
क्रिस्टोफर कोलम्बस	Колумб, Христофор
हर्नान कोर्टस	Кортес, Эрнан
युरी गागरिन	Гагарин, Юрий Алексеевич
भास्को दा गामा	Васко да Гама
डान ब्राउन	Браун, Дэн
विशाल ताल	Великие озёра
पानामा नहर	Панамский канал
अन्टार्क्टिक महासागर	Южный океан
ह्वांगहो	Хуанхэ
कान	Ухо
आँखा	Глаз
भेडा	Овца
डल्फिन	Дельфины
उँट	Верблюды
स्तनधारी प्राणी	Млекопитающие
हात्ती	Слон
कमिला	Муравьи
मौरी	Пчёлы
मार्गरेट थ्याचर	Тэтчер, Маргарет
डी एन ए	Дезоксирибонуклеиновая кислота
सु गार्डनर	Гарднер, Сью
लाम्चो फर्सी	Кабачок
काउली	Цветная капуста
भान्टा	Баклажан
आमा	Мать
हिउँ	Снег
बुवा	Отец
सन् १८२८	1828 год
सन् १८२९	1829 год
सन् १७४१	1741 год
सन् १६६२	1662 год
सन् १७४२	1742 год
सन् १८३०	1830 год
सन् १६६३	1663 год
सन् १८३१	1831 год
सन् १७४३	1743 год
सन् १६६४	1664 год
सन् १६६५	1665 год
सन् १७४४	1744 год
सन् १८३२	1832 год
सन् १६६६	1666 год
सन् १७४५	1745 год
सन् १८३३	1833 год
सन् १६६७	1667 год
सन् १७४६	1746 год
सन् १८३४	1834 год
डेबियन	Debian
सन् १६६८	1668 год
सन् १७४७	1747 год
सन् १८३५	1835 год
सन् १७४८	1748 год
सन् १८३६	1836 год
सन् १६६९	1669 год
सन् १६७०	1670 год
सन् १७४९	1749 год
सन् १८३७	1837 год
सन् १६७१	1671 год
सन् १७५०	1750 год
सन् १८३८	1838 год
सन् १६७२	1672 год
सन् १७५१	1751 год
सन् १८३९	1839 год
सन् १६७३	1673 год
सन् १७५२	1752 год
सन् १८४०	1840 год
सन् १६७४	1674 год
सन् १७५३	1753 год
सन् १८४१	1841 год
सन् १७५४	1754 год
सन् १६७५	1675 год
सन् १८४२	1842 год
सन् १७५५	1755 год
सन् १६७६	1676 год
सन् १८४३	1843 год
सन् १६७७	1677 год
सन् १७५६	1756 год
सन् १८४४	1844 год
सन् १६७८	1678 год
सन् १७५७	1757 год
सन् १८४५	1845 год
सन् १६७९	1679 год
सन् १७५८	1758 год
सन् १८४६	1846 год
सन् १६८०	1680 год
सन् १७५९	1759 год
सन् १८४७	1847 год
सन् १६८१	1681 год
सन् १७६०	1760 год
सन् १८४८	1848 год
सन् १६८२	1682 год
सन् १७६१	1761 год
सन् १८४९	1849 год
सन् १६८३	1683 год
सन् १७६२	1762 год
सन् १८५०	1850 год
सन् १६८४	1684 год
सन् १७६३	1763 год
सन् १८५१	1851 год
सन् १७६४	1764 год
सन् १६८५	1685 год
सन् १८५२	1852 год
सन् १६८६	1686 год
सन् १७६५	1765 год
सन् १८५३	1853 год
सन् १६८७	1687 год
सन् १७६६	1766 год
सन् १८५४	1854 год
सन् १६८८	1688 год
सन् १७६७	1767 год
सन् १८५५	1855 год
सन् १६८९	1689 год
सन् १७६८	1768 год
सन् १८५६	1856 год
सन् १६९०	1690 год
सन् १७६९	1769 год
सन् १८५७	1857 год
सन् १६९१	1691 год
सन् १७७०	1770 год
सन् १८५८	1858 год
सन् १६९२	1692 год
सन् १७७१	1771 год
सन् १८५९	1859 год
सन् १६९३	1693 год
सन् १७७२	1772 год
सन् १८६०	1860 год
सन् १७७३	1773 год
सन् १८६१	1861 год
सन् १६९४	1694 год
सन् १६९५	1695 год
सन् १७७४	1774 год
सन् १८६२	1862 год
सन् १६९६	1696 год
सन् १७७५	1775 год
सन् १८६३	1863 год
सन् १६९७	1697 год
सन् १७७६	1776 год
सन् १८६४	1864 год
सन् १६९८	1698 год
सन् १८६५	1865 год
सन् १७७७	1777 год
सन् १६९९	1699 год
सन् १८६६	1866 год
सन् १७७८	1778 год
सन् १७७९	1779 год
सन् १८६७	1867 год
सन् १७८०	1780 год
सन् १८६८	1868 год
सन् १७८१	1781 год
सन् १८६९	1869 год
नेपोलियन तृतीय	Наполеон III
रूसी भाषा	Русский язык
सन् १७८२	1782 год
सन् १८७०	1870 год
सन् १७८३	1783 год
सन् १८७१	1871 год
भ्लादिमिर पुटिन	Путин, Владимир Владимирович
कानून	Право
सन् १७८४	1784 год
सन् १८७२	1872 год
संविधान	Конституция
सन् १७८५	1785 год
सन् १८७३	1873 год
सन् १७८६	1786 год
सन् १८७४	1874 год
सन् १७८७	1787 год
सन् १८७५	1875 год
सन् १७८८	1788 год
सन् १८७६	1876 год
सन् १७८९	1789 год
सन् १८७७	1877 год
सन् १७९०	1790 год
सन् १८७८	1878 год
सन् १८७९	1879 год
सन् १७९१	1791 год
यूरोपको इतिहास	История Европы
अन्तर्राष्ट्रिय न्यायालय	Международный суд ООН
अन्तर्राष्ट्रीय आर्थिक कोष	Международный валютный фонд
सन् १७९२	1792 год
सन् १८८०	1880 год
सन् १७९३	1793 год
सन् १८८१	1881 год
युनेस्को	ЮНЕСКО
होमर सिम्प्सन	Гомер Симпсон
सन् १७९४	1794 год
सन् १८८२	1882 год
मानव अधिकार सम्बन्धी विश्वव्यापी घोषणा पत्र १९४८	Всеобщая декларация прав человека
सन् १७९५	1795 год
सन् १८८३	1883 год
विश्व स्वास्थ्य संगठन	Всемирная организация здравоохранения
सन् १७९६	1796 год
सन् १८८४	1884 год
सन् १७९७	1797 год
सन् १८८५	1885 год
सन् १८८६	1886 год
सन् १७९८	1798 год
विश्व व्यापार संगठन	Всемирная торговая организация
सन् १८८७	1887 год
सन् १७९९	1799 год
सन् १८८८	1888 год
सन् १८८९	1889 год
सन् १८९०	1890 год
सन् १८९१	1891 год
सन् १८९२	1892 год
सन् १८९३	1893 год
सन् १८९४	1894 год
सन् १८९५	1895 год
सन् १८९६	1896 год
सन् १८९७	1897 год
सन् १८९८	1898 год
चीनियाँ भाषा	Китайский язык
सन् १८९९	1899 год
शौचालय	Туалет
मनोरोग विज्ञान	Психиатрия
कोशिका	Клетка
रगत	Кровь
फोक्सो	Лёгкие
श्वासप्रस्वास प्रणाली	Дыхательная система
पिउने पानी	Питьевая вода
शिक्षण विधि	Педагогика
वर्षा	Дождь
हिम पहिरो	Лавина
भूमण्डलीय उष्मीकरण	Глобальное потепление
भुँइचालो	Землетрясение
खनिज	Минерал
माउस	Компьютерная мышь
प्राकृतिक विज्ञान	Естествознание
विन्स्टन चर्चिल	Черчилль, Уинстон
नेल्सन मन्डेला	Мандела, Нельсон
मार्टिन लूथर किंग(जुनियर)	Кинг, Мартин Лютер
प्रोटिन	Белки
बाढी	Наводнение
सुनामी	Цунами
ज्वालामुखी	Вулкан
बादल	Облака
भूमरी	Смерч
ज्यामिति	Геометрия
व्याकरण	Грамматика
उष्णदेशीय चक्रवात	Тропический циклон
तेलगु भाषा	Телугу
वायुमण्डल	Атмосфера
अर्थशास्त्र	Экономика (наука)
उद्योग	Промышленность
भाषाविज्ञान	Лингвистика
लिपि	Письменность
रोमन लिपि	Латинский алфавит
साक्षरता	Грамотность
साहित्य	Литература
विराटनगर उपमहानगरपालिका	Биратнагар
बीरगञ्ज उपमहानगरपालिका	Биргандж (город, Непал)
धरान उपमहानगरपालिका	Дхаран
श्रेणी:संगीत	Категория:Музыка
श्रेणी:साहित्य	Категория:Литература
उपन्यास	Роман
महाभारत	Махабхарата
दुईदलीय वनस्पति	Двудольные
रातो फ्याउरो	Обыкновенная лисица
फेडेरल व्यूरो अफ इन्भेस्टिगेशन	Федеральное бюро расследований
ह्यारी पोटर	Серия романов о Гарри Поттере
अल्गोरिदम	Алгоритм
हस्तमैथुन	Мастурбация
गुदा मैथुन	Анальный секс
अलेक्जेन्डर द ग्रेट	Александр Македонский
शिक्षा	Образование
ह्युगो चाभेज	Чавес, Уго
ओट्टो बिस्मार्क	Бисмарк, Отто фон
विवाह	Брачный союз
कर्ट कोबेन	Кобейн, Курт
गर्भपतन	Аборт
मानव अधिकार	Права человека
पीटर महान	Пётр I
कफी	Кофе
दूध	Молоко
पहाड	Гора
मरुभूमि	Пустыня
सन यात सेन	Сунь Ятсен
श्रोडिङ्गर्विडाल	Кот Шрёдингера
सम्राट अशोक	Ашока
अकबर	Акбар I Великий
पिएरी ट्रुडो	Трюдо, Пьер Эллиот
हङकङ	Гонконг
कराची	Карачи
कोरियाई युद्ध	Корейская война
रियो दी जेनेरियो	Рио-де-Жанейро
रियल म्याड्रिड	Реал Мадрид (футбольный клуб)
शाङ्घाई	Шанхай
चीनको सांस्कृतिक क्रान्ति	Культурная революция в Китае
वाल्ट डिज्नी	Дисней, Уолт
आर्किमिडिज	Архимед
थोमस एल्वा एडिसन	Эдисон, Томас Алва
माइकल फराडे	Фарадей, Майкл
हेनरी फोर्ड	Форд, Генри
अर्मेनियाली भाषा	Армянский язык
एच.टी.एम.एल.	HTML
युनिकोड	Юникод
सत्यजित राय	Рай, Сатьяджит
हंस तारामंडल	Лебедь (созвездие)
तारामण्डल	Созвездие
जोन गुटेन्बर्ग	Гутенберг, Иоганн
जेम्स प्रेस्कट जुल	Джоуль, Джеймс
निकोला टेस्ला	Тесла, Никола
जेम्स वाट	Уатт, Джеймс
चाणक्य	Чанакья
बागमती अञ्चल	Багмати (зона Непала)
चेक भाषा	Чешский язык
भेरी अञ्चल	Бхери (зона Непала)
कार्ल मार्क्स	Маркс, Карл
धौलागिरी अञ्चल	Дхаулагири (зона Непала)
हिन्दू धर्म	Индуизм
होसे मुहीका	Мухика, Хосе
जेम्स क्लर्क माक्सवेल	Максвелл, Джеймс Клерк
स्तन	Женская грудь
अणु	Атом
प्रकाश	Свет
गण्डकी अञ्चल	Гандаки (зона Непала)
ताजमहल	Тадж-Махал
कम्प्युटर भाषा	Язык программирования
जनकपुर अञ्चल	Джанакпур (зона Непала)
इमेल	Электронная почта
कर्णाली अञ्चल	Карнали (зона Непала)
आत्मा	Душа
फारसी भाषा	Персидский язык
कोशी अञ्चल	Коси (зона Непала)
लुम्बिनी अञ्चल	Лумбини (зона Непала)
धर्म	Религия
महाकाली अञ्चल	Махакали (зона Непала)
मेची अञ्चल	Мечи (зона Непала)
नारायणी अञ्चल	Нараяни (зона Непала)
राप्ती अञ्चल	Рапти (зона Непала)
सगरमाथा अञ्चल	Сагарматха (зона Непала)
सेती अञ्चल	Сетхи (зона Непала)
लुम्बिनी	Лумбини
जैन धर्म	Джайнизм
जर्ज विल्हेम फ्रेडरिक् हिगल	Гегель, Георг Вильгельм Фридрих
इण्डोनेशियाई भाषा	Индонезийский язык
देवयानी तारामण्डल	Андромеда (созвездие)
विश्व सम्पदा क्षेत्र	Всемирное наследие
सलाद	Салат (блюдо)
यहुदी धर्म	Иудаизм
थिम्पू	Тхимпху
बन्दर सेरी बेगवान	Бандар-Сери-Бегаван
इमानुएल क्यान्ट	Кант, Иммануил
लुफ्थान्सा	Lufthansa
लाओत्से	Лао-цзы
जीमेल	Gmail
माले	Мале
योग	Йога
फ्रेडरिक नीत्शे	Ницше, Фридрих
एडम स्मिथ	Смит, Адам
अण्डकोष	Яички
खरायो	Кролики
मनोविज्ञान	Психология
वर्द्धमान महावीर	Махавира
महारानी भिक्टोरिया	Виктория (королева Великобритании)
गौतम बुद्ध	Будда Шакьямуни
प्रिमियर लिग	Английская Премьер-лига
सरदार बल्लभ भाई पटेल	Патель, Валлабхаи
नैतिकता	Этика
प्रमाणशास्त्र	Эпистемология
मुक्त कर्म	Свобода воли
लोखर्के	Беличьи
सचिन तेन्दुलकर	Тендулкар, Сачин
राजपंखी लोखेर्के	Летяги
वास्तविकता	Реальность
अब्दुल कलाम	Абдул Калам
बिबिसी	Би-би-си
शाहरूख खान	Хан, Шахрух
सलमान खान	Хан, Салман
टोनी ब्लेयर	Блэр, Тони
क्याटरिना कैफ	Каиф, Катрина
मार्टिन लूथर	Лютер, Мартин
आमिर खान	Хан, Аамир
जोन मेजर	Мейджор, Джон
अमिताभ बच्चन	Баччан, Амитабх
जेम्स क्यालेगन	Каллаган, Джеймс
रोमन क्याथोलिक चर्च	Римско-католическая церковь
त्रिमूर्ति	Тримурти
पेट	Брюшко
ताओ धर्म	Даосизм
शिरा	Вена (анатомия)
बङ्गाली भाषा	Бенгальский язык
पाठेघर	Матка женщины
अग्न्याशय	Поджелудочная железа
प्रोस्टेट	Предстательная железа
डिम्बाशय	Яичники
फकल्याण्ड टापु	Фолклендские острова
एलिजाबेथ दोश्रो	Елизавета II
युवराज्ञी डायना	Диана, принцесса Уэльская
भारतीय शास्त्रीय संगीत	Классическая музыка
अक्षर	Буква
सेलम	Салем (Индия)
कोयंबतूर	Коимбатур
ऊटी	Утакаманд
मिंग राजवंश	Империя Мин
फ्यान्टा	Фанта
राहुल गान्धी	Ганди, Рахул
भारतीय जनता पार्टी	Бхаратия джаната парти
माघे सङ्क्रान्ति	Макара-санкранти
होली	Холи
श्रावण शुक्ल पूर्णिमा	Ракшабандхан
दशैं	Виджаядашами
महाकुम्भ	Кумбха-мела
कोलोसियम	Колизей
हृदयशास्त्र	Кардиология
कराइना तारामण्डल	Киль (созвездие)
डेभिड बेक्ह्याम	Бекхэм, Дэвид
गर्डन ब्राउन	Браун, Гордон
आवर्त सारणी	Периодическая система химических элементов
आत्महत्या	Самоубийство
ड्वेन जोनसन ‘रक’	Джонсон, Дуэйн
सुँगुर	Кабаны
सरीसृप	Пресмыкающиеся
यौन खेलौना	Сексуальные игрушки
ढुकुर	Голубиные
अन्धोपन	Слепота
जीवाणु	Бактерии
रूख	Дерево
क्रान्ति	Революция
अङ्गूर	Виноград (ягода)
मह	Мёд
मासु	Мясо
टाइगर वुड्स	Вудс, Тайгер
आलु	Картофель
भटमास	Соя
रोबोट	Робот
प्रविधि	Технология
इन्जिनियरिङ	Инженерное дело
सञ्चार	Общение
सूचना	Информация
पत्रकारिता	Журналистика
समाचार पत्र	Газета
टेलिफोन	Телефон
द रोलिङ्ग स्टोन्स	The Rolling Stones
संस्कृति	Культура
संस्कृत	Санскрит
अल्जाइमर	Болезнь Альцгеймера
पार्किनसन	Болезнь Паркинсона
विधायिका	Законодательная власть
अंकगणित	Арифметика
विन्डोज ७	Windows 7
प्रतिशत	Процент
नून	Поваренная соль
फिडेल कास्ट्रो	Кастро, Фидель
माइक्रोसफ्ट एक्सल	Microsoft Excel
बुटवल उपमहानगरपालिका	Бутвал
हेटौंडा उपमहानगरपालिका	Хетауда
रसायनिक तत्व	Химический элемент
कोण	Угол
कार्बोहाइड्रेट	Углеводы
आर्यभट	Ариабхата
हर्मोन	Гормоны
युनिक्स	UNIX
इन्टरनेट सेवा प्रदायक	Интернет-провайдер
प्रवेग	Ускорение
शिव	Шива
ऊर्जा	Энергия
विष्णु	Вишну
विद्युतचुम्बकीय विकिरण	Электромагнитное излучение
ब्रह्मा	Брахма
रक संगीत	Рок-музыка
बल	Сила
चुम्बकीय क्षेत्र	Магнитное поле
गुरुत्व बल	Гравитация
जुडो	Дзюдо
चुम्बक	Магнит
खेलौना	Игрушка
पिण्ड	Масса
चलचित्र	Фильм
धातु	Металлы
नाभिकीय विखण्डन	Деление ядра
ग्यास	Газ
तरल	Жидкость
ठोस	Твёрдое тело
साईकल	Велосипед
पानी जहाज	Судно
कृषि	Сельское хозяйство
कपास	Хлопок
सेरेना विलियम्स	Уильямс, Серена
ध्वनि	Звук
हलो	Плуг
गति	Скорость
तापक्रम	Температура
समय	Время
कागज	Бумага
क्षेत्रफल	Площадь
पाइथागोरस साध्य	Теорема Пифагора
अंक	Число
क्रिष्टियानो रोनाल्डो	Криштиану Роналду
मिटर	Метр
मकै	Кукуруза сахарная
जौ	Ячмень обыкновенный
केल्भिन	Кельвин
इकर क्यासिलास	Касильяс, Икер
नृत्य	Танец
निर्भाना	Nirvana
इलेक्ट्रोनिक्स	Электроника
विद्युत धारा	Электрический ток
डायोड	Диод
सूचना प्रविधि	Информационные технологии
मौसम	Погода
मारिया सारापोभा	Шарапова, Мария Юрьевна
शेयर	Акция (финансы)
लाहोर	Лахор
अर्फा करिम	Карим, Арфа
सार्वभौम सम्पन्न राष्ट्रहरूको सूची	Алфавитный список стран и территорий
पाषाण युग	Каменный век
कांस्य युग	Бронзовый век
लौह युग	Железный век
भालु	Медвежьи
जोन एडम्स	Адамс, Джон (президент)
थोमस जेफर्सन	Джефферсон, Томас
जेम्स म्याडिसन	Мэдисон, Джеймс
जेम्स मुनरो	Монро, Джеймс
जोन क्विन्से एडम्स	Адамс, Джон Куинси
एन्ड्रयु ज्याक्सन	Джексон, Эндрю
मार्टिन भान बरेन	Ван Бюрен, Мартин
राजकोट	Раджкот
जूनागढ	Джунагадх
विलियम हेनरी ह्यारिसन	Гаррисон, Уильям Генри
जोन टेलर	Тайлер, Джон
जेम्स के. पोल्क	Полк, Джеймс Нокс
गन एन’ रोजेज	Guns N’ Roses
ज्याचरी टेलर	Тейлор, Закари
वदोदरा	Вадодара
माइकल बालाक	Баллак, Михаэль
ब्रिट्नी स्पेयर्स	Спирс, Бритни
पाचन प्रणाली	Пищеварение
प्रकाश संश्लेषण	Фотосинтез
प्रजनन (पुनरुत्पादन)	Размножение
गर्भावस्था	Беременность человека
सल्ला	Сосна
क्यान्सर	Злокачественная опухоль
हैजा	Холера
राजा	Король
तरवारबाजी	Фехтование
गहुँ	Пшеница
सन् २०४०	2040 год
सन् २०३९	2039 год
सन् २०३८	2038 год
सन् २०३७	2037 год
रुघा खोकी	Назофарингит
सन् २०३५	2035 год
पात्रो	Календарь
बहिरोपना	Нарушение слуха
मानसिक रोग	Психическое расстройство
रोग	Болезнь
ग्रेगोरियन क्यालेण्डर	Григорианский календарь
स्वस्थ	Здоровье
औलो	Малярия
कुपोषण	Недоедание
मोटोपन	Ожирение
मित्र तारा	Альфа Центавра
एन्टिबायोटिक	Антибиотики
अगस्ति तारा	Канопус
न्युमोनिया	Пневмония
एड्स	ВИЧ-инфекция
क्षयरोग	Туберкулёз
मधुमेह	Сахарный диабет
ढाँचा:Location map Sweden	Шаблон:ПозКарта Швеция
ढाँचा:Location map United Kingdom	Шаблон:ПозКарта Великобритания
ढाँचा:Location map Belgium	Шаблон:ПозКарта Бельгия
ढाँचा:Location map Italy	Шаблон:ПозКарта Италия
ढाँचा:Location map Poland	Шаблон:ПозКарта Польша
पुल	Мост
नहर	Канал (гидрография)
ढाँचा:Location map Croatia	Шаблон:ПозКарта Хорватия
ढाँचा:Location map Bosnia	Шаблон:ПозКарта Босния и Герцеговина
ढाँचा:Location map Greece	Шаблон:ПозКарта Греция
मिलार्ड फिलमोर	Филлмор, Миллард
फ्र्यांकलिन पार्स	Пирс, Франклин
बाँध	Плотина
जेम्स बुकानान	Бьюкенен, Джеймс
ढाँचा:Location map Israel	Шаблон:ПозКарта Израиль
ढाँचा:Location map Jordan	Шаблон:ПозКарта Иордания
ढाँचा:Location map Iraq	Шаблон:ПозКарта Ирак
ढाँचा:Location map Saudi Arabia	Шаблон:ПозКарта Саудовская Аравия
ढाँचा:Location map Pakistan	Шаблон:ПозКарта Пакистан
ढाँचा:Location map India	Шаблон:ПозКарта Индия
ढाँचा:Location map नेपाल	Шаблон:ПозКарта Непал
ढाँचा:Location map Bangladesh	Шаблон:ПозКарта Бангладеш
ढाँचा:Location map Japan	Шаблон:ПозКарта Япония
ढाँचा:Location map Philippines	Шаблон:ПозКарта Филиппины
ढाँचा:Location map Indonesia	Шаблон:ПозКарта Индонезия
ढाँचा:Location map Australia	Шаблон:ПозКарта Австралия
ढाँचा:Location map New Zealand	Шаблон:ПозКарта Новая Зеландия
ढाँचा:Location map Fiji	Шаблон:ПозКарта Фиджи
ढाँचा:Location map Colombia	Шаблон:ПозКарта Колумбия
मोना लिजा	Мона Лиза
ढाँचा:Location map Peru	Шаблон:ПозКарта Перу
नाप	Измерение
तथ्याङ्क	Статистика
बुर्ज खलिफा	Бурдж-Халифа
चीनको विशाल पर्खाल	Великая Китайская стена
ह्यागिया सोफिया	Собор Святой Софии (Константинополь)
भर्याङ्ग	Лестница
ल्याटिन अमेरिका	Латинская Америка
कुल घरेलु उत्पादन	Валовой внутренний продукт
बेडेन पावेल	Баден-Пауэлл, Роберт
जाँ जोर	Жорес, Жан
नविकरणीय उर्जा	Возобновляемая энергия
म्याक्सिम गोर्की	Максим Горький
जीवावशेष ऊर्जा	Ископаемое топливо
वाष्प इन्जिन	Паровая машина
सन् २०३४	2034 год
सन् २०३३	2033 год
सन् २०३२	2032 год
सन् २०३१	2031 год
सन् २०३०	2030 год
परमाणु बम	Ядерное оружие
सन् २०२९	2029 год
सन् २०२८	2028 год
सन् २०२७	2027 год
बारूद	Дымный порох
विस्फोटक	Взрывчатые вещества
पाउलो कोहेल्हो	Коэльо, Пауло
पेले	Пеле
वास्तविक सङ्ख्या	Вещественное число
स्वाति तारा	Арктур
प्रस्वा तारा	Процион
नाभिकीय संलयन	Термоядерная реакция
मिसेल ओबामा	Обама, Мишель
वर्डप्रेस	WordPress
जूमला	Joomla!
कालो ऐँसेलु	Ежевика
लिची	Личи
किसमिस	Изюм
नरिवल	Кокосовая пальма
दारिम	Гранат обыкновенный
आरू	Персик
ठेकीफल	Киви (фрукт)
रोमानी	Цыганский язык
सिन्हाला भाषा	Сингальский язык
केक	Пирожное
दही	Йогурт
डेबिट कार्ड	Дебетовая карта
ढाँचा:Location map Canada	Шаблон:ПозКарта Канада
ढाँचा:Location map Mexico	Шаблон:ПозКарта Мексика
ढाँचा:Location map Earth	Шаблон:ПозКарта Земля
सिदी	Сидди
ल्वाङकसानी	Ночная красавица
ब्रेसियर	Бюстгальтер
एन्जेलिना जोली	Джоли, Анджелина
मेरो सानु साथी	XO-1 (ноутбук)
अरबी भाषा	Арабский язык
कण्डम	Презерватив
खजुर	Пальмовые
विकिनी	Бикини
प्रधानमन्त्री	Премьер-министр
इन्टरनेट शीर्षस्तर क्षेत्राधिकार	Домен верхнего уровня
उल्लू नीहारिका	Туманность Сова
सन माइक्रो सिस्टमस्	Sun Microsystems
सिसाकलम	Карандаш
घर भँगेरा	Домовый воробей
मकाउ	Макао
हु जिन्ताओ	Ху Цзиньтао
सि जिनपिङ	Си Цзиньпин
जिराफ	Жираф
ओठ	Губы
सोभियत संघ	Союз Советских Социалистических Республик
आदिलाबाद जिल्ला	Адилабад (округ)
द लर्ड अफ द रिङ्ग्स	Властелин колец
नगरपालिका	Муниципалитет
क्यामरा	Фотоаппарат
अंजा जिल्ला	Анджав
लिल व्यान	Лил Уэйн
सि	Си (язык программирования)
एचआइभी	Вирус иммунодефицита человека
पाइताला	Стопа
छेपारो	Ящерицы
एमी वाइनहाउस	Уайнхаус, Эми
मेटालिका	Metallica
क्यानी वेस्ट	Уэст, Канье
शार्ल लुई मोन्टेस्क्ये	Монтескьё, Шарль-Луи де Секонда
काँध	Плечевой сустав
ब्रुस ली	Ли, Брюс
थाइरोइड	Щитовидная железа
हाइपरथाइरोडिजम	Гипертиреоз
हाइपोथाइरोडिजम	Гипотиреоз
विश्व	Мир (Земля)
विकिपीडिया:चौतारी	Википедия:Форум
कमल	Лотос орехоносный
भर्मांट	Вермонт
सान होसे,क्यालिफोर्निया	Сан-Хосе (Калифорния)
ह्युस्टन	Хьюстон
जियाङ जेमिन	Цзян Цзэминь
वेन जियाबाओ	Вэнь Цзябао
ग्वाम	Гуам
अमेरिकी सामोआ	Американское Самоа
अस्पताल	Больница
गिर्जाघर	Церковь (сооружение)
ग्वाडलप	Гваделупа
ओकल्याण्ड	Окленд (Калифорния)
ब्याकस्ट्रीट ब्वाईज	Backstreet Boys
कार्लोस पुयोल	Пуйоль, Карлес
तिब्बत	Тибет
वृत	Окружность
चौधौं दलाई लामा	Далай-лама XIV
वैश्विक डाक संघ	Всемирный почтовый союз
जावी हर्नान्डेज	Хави
जेरार्ड पिके	Пике, Жерар
जोसे म्यानुअल पिन्टो	Пинто, Хосе Мануэль
डिएगो म्याराडोना	Марадона, Диего Армандо
मोबाइल फोन	Сотовый телефон
अनुशेह अन्सारी	Ансари, Ануше
अस्ट्रिच	Страус
स्टिफन हकिङ	Хокинг, Стивен Уильям
अरागत्सोत्न प्रान्त	Арагацотнская область
कोरिया	Корея
सन् १९२५	1925 год
सन् १९२७	1927 год
ली कच्याङ	Ли Кэцян
म्यानचेस्टर	Манчестер
भिटामिन ए	Витамин A
जु रोङजी	Чжу Жунцзи
ई.पू. १०००	1000 год
ई.पू. ९९९	999 год
ब्वाँसो	Волк
भकुण्डो	Мяч
सन् १९५५	1955 год
सन् १९५४	1954 год
सन् १९५३	1953 год
सन् १९५१	1951 год
सन् १९५०	1950 год
सन् १९४६	1946 год
सन् १९४३	1943 год
सन् १९४२	1942 год
सन् १९४०	1940 год
सन् १९३९	1939 год
सन् १९३८	1938 год
सन् १९३७	1937 год
सन् १९३६	1936 год
म्यानचेष्टर यूनाइटेड (फुटबल क्लब)	Манчестер Юнайтед
१९३५	1935 год
सन् १९३४	1934 год
न्युक्यासल युनाइटेड फुटबल क्लब	Ньюкасл Юнайтед
सन् १९३३	1933 год
सन् १९३२	1932 год
टाडी निरबिरालो	Мусанг
सन् १९३१	1931 год
सन् १९३०	1930 год
बकुल्लो	Цаплевые
सन् १९२९	1929 год
फ्रान्स मेरिङ	Меринг, Франц
प्योङ्गयाङ्ग	Пхеньян
नयाँ करार	Новый Завет
जेस्सी जे	Джесси Джей
गंगाचीलठुँडे फ्यालफ्याले	Чайконосая крачка
फुस्रे सर्षपी	Тулес
सानो गट्टेबट्टाई	Африканская трёхперстка
वन सुड्सुडिया	Фифи
टिमटिमा	Большой улит
मलगुझा	Большой веретенник
बगाले सिमकुखुरा	Камышница
चञ्चले सुड्सुडिया	Перевозчик (птица)
लघु राजपुत्रिका	Малый зуёк
आँसीठुँडे	Большой кроншнеп
अलकचन्द्र राजपुत्रिका	Морской зуёк
फालीठुँडे सुड्सुडिया	Мородунка
बडा राजपुत्रिका	Большеклювый зуёк
सानो आँसीठुँडे	Средний кроншнеп
लालखुट्टे टिमटिमा	Травник (птица)
जलअप्सरा	Водяной фазанчик
वायु फ्यालफ्याले	Речная крачка
ओस्कार	Оскар (кинопремия)
प्रोक्यारियोटिक कोशिका	Прокариоты
ओसामा बिन लादेन को अन्त्य	Операция «Копьё Нептуна»
सह-सेनानी	Капитан (воинское звание)
शक्ति (देवी)	Шакти
बिच्छी	Скорпионы
जर्ज बर्नाड शा	Шоу, Джордж Бернард
चेस्टर बेनिंगटन	Беннингтон, Честер
ई.पू. १०१८	1018 год
ई.पू. १०२०	1020 год
ई.पू. १०२१	1021 год
ई.पू. १०२२	1022 год
ई.पू. १०२३	1023 год
ई.पू. १०२४	1024 год
ई.पू. १०२५	1025 год
फुटबल विश्वकप	Чемпионат мира по футболу
ई.पू. १०३३	1033 год
ई.पू. १०७५	1075 год
पोडोल्स्क	Подольск
अधातु	Неметаллы
५	5 год
३	3 год
महारानी	Царствующая королева
२	2 год
बुखारेस्ट	Бухарест
लुभ्र दरवार	Лувр
पुएर्टो रिको स्वातन्त्र पार्टी	Партия независимости Пуэрто-Рико
टिराना	Тирана
सन् १९२८	1928 год
सन् ६	6 год
पुरानो करार	Ветхий Завет
क्रिसमस	Рождество Христово
त्रिभुज	Треугольник
स्टिभ जब्स	Джобс, Стив
लेडी गागा	Леди Гага
भारोपेली भाषा परिवार	Индоевропейские языки
