अफ़्रीका	Африка
लालबहादुर शास्त्री	Шастри, Лал Бахадур
५८० ईसा पूर्व	580 год до н. э.
५८१ ईसा पूर्व	581 год до н. э.
राज्यसभा	Раджья сабха
कढ़ी पत्ते का पेड़	Муррайя Кёнига
५८२ ईसा पूर्व	582 год до н. э.
अल्ताई लोग	Алтайцы
सान होसे चिनान्तेकीला	Сан-Хосе-Чинантекилья
५८३ ईसा पूर्व	583 год до н. э.
हेनरी पेल्हम	Пелэм, Генри
एकियन लीग	Ахейский союз
५८६ ईसा पूर्व	586 год до н. э.
५८७ ईसा पूर्व	587 год до н. э.
५८८ ईसा पूर्व	588 год до н. э.
सेगोविया का जल-मार्ग	Акведук в Сеговии
महर्षि महेश योगी	Махариши Махеш Йоги
५९० ईसा पूर्व	590 год до н. э.
५९१ ईसा पूर्व	591 год до н. э.
टिरैनोडॉन	Птеранодон
हास्य अभिनेता	Комик
देव पटेल	Патель, Дев
५९२ ईसा पूर्व	592 год до н. э.
उभरी हुई नक्क़ाशी	Рельеф (скульптура)
बलि का बकरा बनाना	Козёл отпущения
५९३ ईसा पूर्व	593 год до н. э.
ह्वीटस्टोन सेतु	Измерительный мост
हरक्यूलिस का टावर	Башня Геркулеса
प्रिंस ऑफ पर्शिया: द सैंड्स ऑफ टाइम (फिल्म)	Принц Персии: Пески времени (фильм)
वैश्लेषिक मनोविज्ञान	Аналитическая психология
आधुनिक वास्तु	Архитектурный модернизм
५९५ ईसा पूर्व	595 год до н. э.
द प्रिंस ऑफ़ इजिप्ट	Принц Египта
इथियोपियन एयरलाइंस	Ethiopian Airlines
फ़्रांसिसी राष्ट्रपति चुनाव, 2007	Президентские выборы во Франции (2007)
मारिन सिलिक	Чилич, Марин
सी आई टी आई सी प्लाज़ा	Башня CITIC
विलियम स्टैरन	Стайрон, Уильям
५९८ ईसा पूर्व	598 год до н. э.
तंग्राम	Танграм
रेडियोग्राफी	Рентгенография
बार्कलेज	Barclays
इण्डिया गेट	Ворота Индии
किंग मैथर्स	Relapse
सूई लगाना	Инъекция
इलेक्ट्रॉन साइक्लोट्रॉन अनुनाद	Циклотронный резонанс
बोडी आलेख	ЛАФЧХ
परिनालिका	Соленоид
सिस्टायटिस	Цистит
सिस्टोस्कॉपी	Цистоскопия
विश्व मुक्केबाजी प्रतियोगिता	Чемпионат мира по боксу
शिकागो कब्स	Чикаго Кабс
६०० ईसा पूर्व	600 год до н. э.
६०१ ईसा पूर्व	601 год до н. э.
६०२ ईसा पूर्व	602 год до н. э.
६०३ ईसा पूर्व	603 год до н. э.
दृष्टिवाद	Субъективный идеализм
६०४ ईसा पूर्व	604 год до н. э.
६०५ ईसा पूर्व	605 год до н. э.
डोजर स्टेडियम	Доджер-стэдиум
उद्यम सामग्री प्रबंधन (एंटरप्राइज़ कंटेंट मैनेजमेंट)	Управление корпоративным контентом
मर्क एंड कंपनी	Мерк и Ко
६०६ ईसा पूर्व	606 год до н. э.
६०७ ईसा पूर्व	607 год до н. э.
६०८ ईसा पूर्व	608 год до н. э.
फॉक्सवैगन पोलो	Volkswagen Polo
देवदास (२००२ फ़िल्म)	Девдас (фильм, 2002)
६० मिनट्स	60 минут
६२१ ईसा पूर्व	621 год до н. э.
वुडसाइड पार्क	Вудсайд
भारतीय गिद्ध	Индийский сип
बैरन द्वीप	Баррен (Андаманские острова)
६१० ईसा पूर्व	610 год до н. э.
प्रज्वलन प्रणाली	Система зажигания
गेहूँ के जवारे	Ростки пшеницы
६११ ईसा पूर्व	611 год до н. э.
2010 फ़्रेंच ओपन टेनिस प्रतियोगिता	Открытый чемпионат Франции по теннису 2010
इन्द्र कुमार गुजराल	Гуджрал, Индер Кумар
६१२ ईसा पूर्व	612 год до н. э.
कैनेडियन फ़ुटबॉल	Канадский футбол
६१३ ईसा पूर्व	613 год до н. э.
८५वें अकादमी पुरस्कार	Оскар (кинопремия, 2013)
६१४ ईसा पूर्व	614 год до н. э.
अवध	Ауд (Индия)
नेइथ	Спутники Венеры
६१५ ईसा पूर्व	615 год до н. э.
आनन्द महिदोल	Ананда Махидон
उपग्रह दूरभाष	Спутниковый телефон
६१६ ईसा पूर्व	616 год до н. э.
2004 विम्बलडन टेनिस प्रतियोगिता - पुरुष एकल	Уимблдонский турнир 2004 в мужском одиночном разряде
६१७ ईसा पूर्व	617 год до н. э.
अभिक्रिया की दर	Скорость химической реакции
६१८ ईसा पूर्व	618 год до н. э.
जूलियन नोल	Ноул, Юлиан
प्रोटॉन (रॉकेट)	Протон (ракета-носитель)
तीसरे गुट का युद्ध	Война третьей коалиции
भूस्थिर उपग्रह प्रक्षेपण यान	GSLV (ракеты)
६२० ईसा पूर्व	620 год до н. э.
ग़ज़नवी साम्राज्य	Газневидское государство
६२२ ईसा पूर्व	622 год до н. э.
६२३ ईसा पूर्व	623 год до н. э.
२००८ ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता - महिला एकल	Открытый чемпионат Австралии по теннису 2008 в женском одиночном разряде
६२४ ईसा पूर्व	624 год до н. э.
६२५ ईसा पूर्व	625 год до н. э.
६२६ ईसा पूर्व	626 год до н. э.
इलेक्ट्रॉनिक दोलक	Генератор сигналов
ग्रिड अभिकलन	Грид
स्पैम	Спам (значения)
देनदारी लेखे	Кредиторская задолженность
मोंनो पुल	Мост Монноу
सरोजिनी नायडू	Найду, Сароджини
तालिका	Каталог
सिद्धम	Сиддхаматрика
दलिया	Булгур
६२७ ईसा पूर्व	627 год до н. э.
६२९ ईसा पूर्व	629 год до н. э.
औ	Аукар
शहरी उपप्रान्त (चीन)	Город субпровинциального значения (КНР)
६३० ईसा पूर्व	630 год до н. э.
६३१ ईसा पूर्व	631 год до н. э.
६३२ ईसा पूर्व	632 год до н. э.
गया	Гая
लाल सेना	Рабоче-крестьянская Красная армия
चन्द्रवंशी	Лунная династия
मनाली लेह राजमार्ग	Лех-Манальское шоссе
लोकप्रियता कुतर्क	Argumentum ad populum
सामरिक पर्यवेक्षण	Рекогносцировка (военное дело)
हैलोवीन	Хэллоуин
सैफ़ अली ख़ान	Хан, Саиф Али
बीजोपचार	Протравители
हेलो २	Halo 2
६४८ ईसा पूर्व	648 год до н. э.
६४९ ईसा पूर्व	649 год до н. э.
१० करोड़ से अधिक प्रयोक्ताओं वाले आभासी समुदाय	Список социальных сетей с более 100 миллионов пользователей
मील	Миля
हेलन थॉमस	Томас, Хелен
फीफा	ФИФА
६५१ ईसा पूर्व	651 год до н. э.
६५२ ईसा पूर्व	652 год до н. э.
बश स्टेडियम	Буш-стэдиум
पेटेण्ट	Патент
ज्ञानवर्धन	Просвещение (значения)
बलयुग्म	Пара сил
क्रीमिया का युद्ध	Крымская война
हिना रब्बानी खर	Кхар, Хина Раббани
स्फटिक कपाल	Хрустальный череп
समरूपता	Подобие
६६५ ईसा पूर्व	665 год до н. э.
यूरोप में विश्व धरोहर स्थलों की सूची	Список объектов всемирного наследия ЮНЕСКО в Европе
हाना मांडलिकोवा	Мандликова, Гана
६६६ ईसा पूर्व	666 год до н. э.
केली ब्रूक	Брук, Келли
डायने लेन	Лейн, Дайан
सुष्मिता सेन	Сен, Сушмита
६६७ ईसा पूर्व	667 год до н. э.
गूगूश	Гугуш
६६८ ईसा पूर्व	668 год до н. э.
गेम्मा आर्टरटन	Артертон, Джемма
बासमाची विद्रोह	Басмачество
लिगो (LIGO)	LIGO
खरक	Каркас южный
६६९ ईसा पूर्व	669 год до н. э.
जम्मू (शहर)	Джамму (город)
६७० ईसा पूर्व	670 год до н. э.
वाष्प	Пар
६७१ ईसा पूर्व	671 год до н. э.
६८१ ईसा पूर्व	681 год до н. э.
६७२ ईसा पूर्व	672 год до н. э.
६७३ ईसा पूर्व	673 год до н. э.
६७४ ईसा पूर्व	674 год до н. э.
करनाल	Карнал
६७५ ईसा पूर्व	675 год до н. э.
६७६ ईसा पूर्व	676 год до н. э.
६७७ ईसा पूर्व	677 год до н. э.
अल्फा-लिनोलेनिक अम्ल	Линоленовая кислота
क्लिक	Клик
६९३ ईसा पूर्व	693 год до н. э.
हरा वर्ण के परिवर्तन	Шартрёз
६७९ ईसा पूर्व	679 год до н. э.
सावित्री	Савитри
इलेक्ट्रॉन किरण अश्मलेखन	Электронная литография
६८० ईसा पूर्व	680 год до н. э.
यष्टिमधु	Лакрица
६८४ ईसा पूर्व	684 год до н. э.
ईमी कूसी ज्वालामुखी	Эми-Куси
2007 ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता - मिश्रित युगल	Открытый чемпионат Австралии по теннису 2007 в смешанном парном разряде
२००८ विम्बलडन टेनिस प्रतियोगिता - पुरुष युगल	Уимблдонский турнир 2008 в мужском парном разряде
१९७८ यूईएफए कप फाइनल	Финал Кубка УЕФА 1978
पचौली	Пачули
अमरेली जिला	Амрели (округ)
अमृत	Амрита
ट्रिनिटी कॉलेज, डबलिन	Тринити-колледж (Дублин)
जीओसीई उपग्रह	GOCE
ऋषि कपूर	Капур, Риши
मोटोरोला इंकार्पोरेशन	Motorola
मेला	Народные гулянья
आनातोलियाई प्लेट	Анатолийская плита
२००१ में निधन	Список умерших в 2001 году
बॉन जोवी	Bon Jovi
अकीको मोरिगामी	Моригами, Акико
बैटी स्टोव	Стове, Бетти
वेंडी टर्नबल	Тёрнбулл, Венди
तातियाना पेरिबियनिस	Перебийнис, Татьяна Юрьевна
एमी गुडमॅन	Гудман, Эми
ओल्गा मोरोज़ोवा	Морозова, Ольга Васильевна
रोसमैरी कैसल्स	Казалс, Розмари
मैनुएला मलीवा	Малеева, Мануэла
गुरिंदर चड्ढा	Чадха, Гуриндер
एन हेडन जोन्स	Хейдон-Джонс, Энн
यूडोरा वेल्टी	Уэлти, Юдора
तातियाना पौत्चेक	Пучек, Татьяна Николаевна
अनुष्का शंकर	Шанкар, Анушка
गंदमक की संधि	Гандамакский договор
ऑस्ट्रेलियाई डॉलर	Австралийский доллар
फैनी बर्नी	Берни, Фанни
1962 एशियाई खेल	Летние Азиатские игры 1962
एडविन आस्टिन अबे	Эбби, Эдвин Остин
चुड़ैल	Колдовство
एदेक	Движение за социал-демократию
बहुकंपित्र	Мультивибратор
क्षेत्रफल के अनुसार देशों की सूची	Список государств и зависимых территорий по площади
ओपेनटाइप	OpenType
2007 अमेरिकी ओपन टेनिस प्रतियोगिता - महिला युगल	Открытый чемпионат США по теннису 2007 в женском парном разряде
शिरडी के सांई बाबा	Саи Баба из Ширди
अंतःक्षेपी संचन	Литьё пластмасс под давлением
गोर्खालैंड	Горкхаланд
सन्नी लियोन	Санни Леоне
यूईएफए यूरोपीय चैम्पियनशिप	Чемпионат Европы по футболу
इवान लुबिचिच	Любичич, Иван
मनोविज्ञान का इतिहास तथा शाखाएँ	История психологии
सोलारिस (उपन्यास)	Солярис (роман)
घनास्रता	Тромбоз
बेलिवेर महल	Замок Бельвер
बहु-प्रतिभा सिद्धांत	Теория множественного интеллекта
रियल स्टील	Живая сталь
एसएपी सेंटर सैन जोस	SAP-центр в Сан-Хосе
प्रतिलिप्यधिकार	Авторское право
मल्लिका शेरावत	Малика Шерават
कैलिफोर्निया विश्वविद्यालय, सांता बारबरा	Калифорнийский университет в Санта-Барбаре
५७६ ईसा पूर्व	576 год до н. э.
क्रेमलिन	Кремль
७२१ ईसा पूर्व	721 год до н. э.
जैनेट येलेन	Йеллен, Джанет
मरिया अल-क़ीब्टिय्या	Мария аль-Кибтия
चौधरी रहमत अली	Рахмат Али
अमीषा पटेल	Патель, Амиша
युक्ता मुखी	Муки, Йукта
अल बातिनाह क्षेत्र	Эль-Батина
कॉमन गेटवे इंटरफेस	CGI
नेटबीन्स	NetBeans
टुन अब्दुल रज़ाक	Абдул Разак, Хусейн
वातिल जल	Газированная вода
गगन नारंग	Наранг, Гаган
ग्लोरिया वेंडरबिल्ट	Вандербилт, Глория
जेड गुडी	Гуди, Джейд
ग्वार	Гуар
लॅट मी इन	Впусти меня. Сага
कस्तूरबा गांधी	Ганди, Кастурба
इंदिरा नुई	Нуйи, Индра
माइक्रोसेटेलाइट	Микросателлиты
आरण्यक	Араньяки
लोकोन पर्वत	Локон (вулкан)
तलाल अबू-ग़ज़ालेह	Талал Абу-Газале
टिम कुक	Кук, Тим
अस्थि	Кость
२००५ के पैरिस दंगे	Массовые беспорядки во Франции (2005)
एक्यूट कोरोनरी सिंड्रोम	Острый коронарный синдром
सोर्स कोड	Исходный код (фильм)
बीजीय वक्र	Алгебраическая кривая
२००६ अमरीकी ओपन टेनिस प्रतियोगिता	Открытый чемпионат США по теннису 2006
वैन रूनी	Руни, Уэйн
प्रशीतक	Холодильный агент
ब्रैट फार्व	Фарв, Бретт
सामाजिक मीडिया विपणन	Social media marketing
भारत में परमाणु ऊर्जा	Атомная энергетика Индии
विद्युत कोष	Батарея (электротехника)
मैक्एफ़ी	McAfee
स्वामी	Свами
चर्च ऑफ सेंट थॉमस द मार्टर	Церковь Томаса Бекета
स्पॉटेड टेल	Пятнистый Хвост
पाकिस्तान के शहर	Города Пакистана
आर्थिक विचारों का इतिहास	История экономических учений
स्क्रीन एक्टर्स गिल्ड अवार्ड्स	Премия Гильдии киноактёров США
नींव आधार	Постамент
गांगेय वर्ष	Галактический год
अनीता देसाई	Десаи, Анита
प्रधावन शौचालय	Унитаз
खपरैल	Черепица
जींद जिला	Джинд (округ)
परामर्शदाता	Консалтинг
२००४ विम्बलडन टेनिस प्रतियोगिता	Уимблдонский турнир 2004
प्रेस ट्रस्ट ऑफ़ इंडिया	Press Trust of India
वैक्सिंग	Восковая эпиляция
ऐपोमारफ़ीन	Апоморфин
प्राचीन भारत	Индоарийские миграции
बाब हाक	Хоук, Роберт
जॉर्ज पंचम	Георг V
बिआर का महल	Замок Бьяр
तंत्र सिद्धान्त	Общая теория систем
द्वादशी शिया	Шииты-двунадесятники
बड़ा ओ संकेतन	«O» большое и «o» малое
अमरावती	Амравати
जाज़ान प्रान्त	Джизан
बहुश्रुत	Универсальный человек
पॉल वॅस्ले	Уэсли, Пол
जैसी स्पैन्सर	Спенсер, Джесси
सेमेरू	Семеру
बेलगाँव	Белгаум
मिशिगन विश्वविद्यालय	Университет штата Мичиган
एप्पल टी॰वी॰	Apple TV
पाकिस्तान के प्रशासनिक क्षेत्र	Административное деление Пакистана
टॉम्ब रेडर	Tomb Raider (серия игр)
कैटालन संख्या	Числа Каталана
एमवी (यूनिक्स)	Mv
शिल्पा शेट्टी	Шетти, Шилпа
अब्राहम इब्न एजरा	Авраам ибн Эзра
व्यक्तित्व विकार	Расстройство личности
जेनीफर हॉकिन्स	Хоукинс, Дженнифер
श्री देवी	Шридеви
गाद	Ил
ग्वेंडोलिन ब्रुक्स	Брукс, Гвендолин
मासाहिको किमुरा	Кимура, Масахико
सार्वजनिक संस्थान	Государственное предприятие
इन गॉड वी ट्रस्ट	In God We Trust
रायल अकादमी	Королевская академия художеств
क्रिस कॉर्नेल	Корнелл, Крис
किंकाकू जी	Кинкаку-дзи
एनिमी एट द गेट्स	Враг у ворот
इण्डोनेशिया के राष्ट्रपतियों की सूची	Список президентов Индонезии
सोरग़ोग़तानी बेकी	Сорхахтани
सेफालोस्पोरिन	Цефалоспорины
हैलोएल्केन	Галогеналканы
महानदी	Маханади
एज ऑफ माइथोलॉजी	Age of Mythology
एंड्रिया जंग	Юнг, Андреа
दिल्ली मेट्रो रेल	Метрополитен Дели
सूडानी पाउंड	Суданский фунт
कवरत्ती	Каваратти
विन्ध्याचल	Виндхья
प्रसरकोण	Элонгация (астрономия)
अलेक्सांदर कुप्रिन	Куприн, Александр Иванович
सुगारु जलसन्धि	Сангарский пролив
जॉन सल्सटन	Салстон, Джон
बिरयानी	Бирьяни
कक्षीय अनुनाद	Орбитальный резонанс
ख़	Глухой велярный спирант
त्रिशूल (हथियार)	Трезубец
माइकल यूजिन शेव्रुएल	Шеврёль, Мишель Эжен
जेम्स मिल	Милль, Джеймс
स्थलरूप	Форма рельефа
नोशक पर्वत	Ношак
व्यक्तित्व मनोविज्ञान	Психология личности
लॉर्ड ऑफ़ द फ़्लाइज़	Повелитель мух
रंग सूचक	Показатель цвета
मंगोलिया का राष्ट्रगान	Гимн Монголии
लॉर्ड कर्जन	Керзон, Джордж Натаниэл
डेट्रॉयट लाइन्स	Детройт Лайонс
दिसपुर	Диспур
आंशिक अवकल समीकरण	Дифференциальное уравнение в частных производных
गूगल एडवर्ड्स	AdWords
ब्रेकिंग बेंजामिन	Breaking Benjamin
हायपर ग्लाईसीमिया	Гипергликемия
प्रेशर कुकर	Скороварка
भोजन विषात्तन	Пищевое отравление
यथार्थता एवं परिशुद्धता	Точность
अटलांटा फाल्कन्स	Атланта Фэлконс
एचडी 209458 बी	HD 209458 b
सनंदज	Сенендедж
सिगिरिय	Сигирия
सैन डिएगो चारजर्स	Сан-Диего Чарджерс
जैकसनविल जगुआर्स	Джэксонвилл Джагуарс
साइफोजोआ	Сцифоидные
परिमित समुच्चय	Конечное множество
परागज ज्वर	Поллиноз
आणविक बादल	Молекулярное облако
नाइट्रोजन यौगिकीकरण	Азотфиксация
प्रयोगाधारित सूत्र	Эмпирическая формула
महान इतिहासकार के अभिलेख	Ши цзи
मारसेलो रिओस	Риос, Марсело
अब्दुल्लाह अहमद बदावी	Абдулла Ахмад Бадави
ऑटोडेस्क माया	Autodesk Maya
फ़्रंट साइड बस	Front Side Bus
पित्ताशय की पथरी	Жёлчные камни
हवाई क्षेत्र	Воздушное пространство
कलमी शाक	Ипомея водяная
भारत की आधिकारिक भाषाएँ	Список языков Индии
अल्दाब्रा	Альдабра
ला पास विभाग, बोलिविया	Ла-Пас (департамент Боливии)
इलेक्ट्रॉनिक युद्ध	Радиоэлектронная борьба
जैक	Домкрат
रेड लाइट एरिया	Квартал красных фонарей
खजाना	Клад
कुचिला	Чилибуха
राजगीरी	Каменная кладка
त्रिकोणमितीय सर्वसमिकाओं की सूची	Тригонометрические тождества
हरिद्वार	Хардвар
आर केली	Ар Келли
अन्तरपणन	Арбитраж (экономика)
फ़्रॉड संख्या	Число Фруда
सन् १८५१ की महाप्रदर्शनी	Всемирная выставка (1851)
अगरबत्ती	Благовония
अंतर्राष्ट्रीय स्मारक और स्थल परिषद	Международный совет по сохранению памятников и достопримечательных мест
स्वर्ण होड़	Золотая лихорадка
हमारी गृहभूमि गाम्बिया के लिए	Гимн Гамбии
आखन विश्वविद्यालय	Рейнско-Вестфальский технический университет Ахена
लांगकवी	Лангкави
इरावदी डालफिन	Иравадийский дельфин
नियर फील्ड कम्युनिकेशन	Near Field Communication
विशेषाधिकार	Привилегия
ओमो नदी	Омо
रासायनिक संश्लेषण	Химический синтез
चार्ली विल्सन्स वॉर	Война Чарли Уилсона
चौसिंगा	Четырёхрогая антилопа
रॅपन्ज़ेल	Рапунцель
धिम्मी	Зимми
प्रसारण	Радиовещание
इकोल पॉलीतेक्निक	Политехническая школа (Париж)
आइनस्टाइन क्षेत्र समीकरण	Уравнения Эйнштейна
सेन्ट लुईस द्वीप	Сен-Луи (Сенегал)
थामस पेल्हम-होलेस	Пелэм-Холлс, Томас
अबोल-हसन बनि-सद्र	Банисадр, Абольхасан
दक्षिण अफ्रीका के राष्ट्रपति	Президент Южно-Африканской Республики
ग्लाइसेमिक इंडेक्स	Гликемический индекс
विलियम जोंस (भाषाशास्त्री)	Джонс, Уильям (филолог)
क्विज़	Викторина
विल्किनसन सूक्ष्मतरंग शोधयान	WMAP
एच टी एम एल (HTML)	Лабулэ, Эдуар Рене Лефевр де
पूर्वी वू राज्य (प्राचीन चीन)	У (Троецарствие)
लोक वित्त	Публичные финансы
पूतिरोधी	Антисептики
इंटर-सर्विसेस इंटेलिजेंस	Межведомственная разведка
संरक्षक	Консерванты
पाम ओऍस	Palm OS
स्पोर्ट्स कार	Спортивный автомобиль
सेन्स एंड सेन्सिबिलिटी	Чувство и чувствительность
ई. एच. कार	Карр, Эдуард Халлетт
आसुत जल	Дистиллированная вода
प्लास्टर	Штукатурка
मोलोक	Молох
यखनी	Бульон
नैप्स्टर	Napster
पी॰ वी॰ नरसिम्हा राव	Нарасимха Рао, Памулапарти Венката
रेकटस एब्डोमिनिस मांसपेशी	Прямая мышца живота
जलयान की घंटी	Рында (колокол)
निम्न रक्तचाप	Артериальная гипотензия
रैंगो	Ранго
प्रवणता	Угловой коэффициент
बइ लोग	Бай (народ)
वाहिकारोध	Эмболия
जापान की आत्मरक्षा सेना	Силы самообороны Японии
चेंजलिंग	Подмена (фильм, 2008)
शरीफा	Сахарное яблоко
आल्चीना	Альцина (опера)
चटनी	Чатни
अन्नालें डेर फ्य्सिक	Annalen der Physik
डिजीमॉन क्स्रोस वरस	Digimon Xros Wars
अमरान प्रान्त	Амран (мухафаза)
अदन प्रान्त	Аден (мухафаза)
सआदाह प्रान्त	Саада (мухафаза)
अल-महराह प्रान्त	Эль-Махра
अल-हुदैदाह प्रान्त	Ходейда (мухафаза)
मास इफ़ेक्ट	Mass Effect
अनुसंधान एवं विकास	НИОКР
बयानख़ोंगोर प्रांत	Баянхонгор (аймак)
२००९ में निधन	Список умерших в 2009 году
हेलो: कॉम्बैट इवॉल्व्ड	Halo: Combat Evolved
बचपन	Детство
क़ाराक़ालपाक़ लोग	Каракалпаки
रिवर प्लेट स्टेडियम	Монументаль (стадион, Буэнос-Айрес)
ऐंब्रोज़ पारे	Паре, Амбруаз
२२ जुलाई २००९ का सूर्यग्रहण	Солнечное затмение 22 июля 2009 года
बाल्टीमोर रेवन्स	Балтимор Рэйвенс
द्वयाधारी कूटित दशमलव	Двоично-десятичный код
क्यूलेक्स	Кулексы
संवृद्धि की सीमाएँ	Пределы роста
हैमरस्मिथ	Хаммерсмит
कराईकल	Карикал
माहे	Маэ (Индия)
पूतोराना पठार	Путорана (плато)
Y पीढ़ी (जनरेशन Y)	Поколение Y
२००८ फ़्रेंच ओपन टेनिस प्रतियोगिता	Открытый чемпионат Франции по теннису 2008
थॉमस जोहानसन	Юханссон, Томас
द हाँटींग हॉर: इस बारे में ना सोचें	Зло: не думай об этом
२०१३ यूईएफए यूरोपा लीग फाइनल	Финал Лиги Европы УЕФА 2013
असुरक्षित प्रजातियां	Уязвимые виды
इंडियाना के शहरों की सूची	Список городов Индианы по численности населения
नोएडा	Ноида
जापानी साम्राज्यवाद	Колонии Японии
मेरियैन मोर	Мур, Марианна
2008 फ़्रेंच ओपन टेनिस प्रतियोगिता - पुरुष एकल	Открытый чемпионат Франции по теннису 2008 в мужском одиночном разряде
विलियम पेटी	Петти, Уильям
ए के एंटोनी	Энтони, Аракапарамбил Куриен
आंशिक परमाणु परीक्षण प्रतिबंध संधि	Договор о запрещении испытаний ядерного оружия в атмосфере, космическом пространстве и под водой
अक्किनेनी नागेश्वर राव	Аккинени Нагесвара Рао
बंगलुरु मेट्रो	Бангалорский метрополитен
१९६७ यूरोपीय कप फाइनल	Финал Кубка европейских чемпионов 1967
म्यूऑन न्यूट्रिनो	Мюонное нейтрино
कडलूर	Куддалор
यूवाइटिस (आंखों की सूजन)	Увеит
वैमानिक शास्त्र	Вайманика-шастра
श्वेताम्बर	Шветамбары
विंडोज मीडिया वीडियो	Windows Media Video
खगोलीय फोटोग्राफी	Астрофотография
जार्ज षष्ठम	Георг VI
द डार्क टावर (शृंखला)	Тёмная Башня (цикл)
ग़ज़ल	Газель (строфа)
हार्लो शापले	Шепли, Харлоу
नीड़ फॉर स्पीड: द रन	Need for Speed: The Run
हिन्दुत्व	Хиндутва
काइमेरा (आनुवंशिकी)	Химера (биология)
शिमोगा	Шимога
आजीविका	Карьера
सापेक्षवाद	Относительность
मामलुक साम्राज्य	Мамлюкский султанат
चेक साहित्य	Чешская литература
दोपहर	После полудня
मॉस्को में भारत का दूतावास	Посольство Индии в России
सीडी (यूनिक्स)	Cd (команда)
अंदाज़ अपना अपना (1994 फ़िल्म)	Хочу жениться на дочери миллионера
रोबोट (फ़िल्म)	Робот (фильм)
मारियानो प्युएर्ता	Пуэрта, Мариано
किल (यूनिक्स)	Kill
हेलो: रीच	Halo: Reach
कट (यूनिक्स)	Cut
ज़ुन्गारिया	Джунгария
क्रिस्टलन	Кристаллизация
पीएस (यूनिक्स)	Ps
पाकिस्तान तहरीक-ए-इन्साफ़	Техрик-е-Инсаф
औषधि एवं स्वास्थ्य प्रौद्योगिकी का इतिहास	Хронология медицины и медицинской технологии
तुरफ़ान द्रोणी	Турфанская впадина
सरदार	Сердар
क्रिश्चियन साइंस मानीटर	Christian Science Monitor
दोंग नदी	Дунцзян
काला तीतर	Турач
अपवाह तन्त्र	Речная система
श्री माताजी निर्मला देवी	Шривастава, Нирмала
अंत्याधार	Импост
थेल्स का प्रमेय	Угол, опирающийся на диаметр окружности
हेनरी का नियम	Закон Генри
जिब्राल्टेरियन लोग	Гибралтарцы
वांडा	Ванда (растение)
वेशभूषा संहिता	Дресс-код
रामदेव	Свами Рамдев
अब्बास द्वितीय	Аббас II (шах Ирана)
ऑनलाइन चैट	Чат
एबीएन एमरो	ABN AMRO
मैग्निसियम सल्फेट	Сульфат магния
चम्पावत जिला	Чампават (округ)
डूरण्ड रेखा	Линия Дюранда
रमण महर्षि	Рамана Махарши
केंसिंग्टन	Кенсингтон
अज्ञेयवाद	Агностицизм
ब्रह्मन्	Брахма (буддизм)
लूनी नदी	Луни (река)
स्टीफेनिया फर्नांडीज	Фернандес, Стефания
शारजाह (नगर)	Шарджа (город)
१९९४ यूईएफए कप फाइनल	Финал Кубка УЕФА 1994
लारा दत्ता	Датта, Лара
१९९७ यूईएफए कप फाइनल	Финал Кубка УЕФА 1997
चाइना सदर्न एयरलाइंस	China Southern Airlines
वुल्फ़ ३५९ तारा	Вольф 359
चाइना ईस्टर्न एयरलाइंस	China Eastern Airlines
डाइरनेम (यूनिक्स)	Dirname
श्रिया सरन	Саран, Шрия
लीसा रे	Рэй, Лиза
सेलिना जेटली	Джейтли, Селина
हज्जाज बिन युसुफ़	Аль-Хаджжадж ибн Юсуф
गंध	Од (мифология)
अल याकुबी	Якуби
लोएस पठार	Лёссовое плато
एमिलिया प्लेटर	Плятер, Эмилия
सार्वजनिक प्रतिष्ठान	Государственный сектор экономики
ऐलिस प्रयोग	ALICE (эксперимент LHC)
गोर वरबन्स्की	Вербински, Гор
गुलिर्मो कोरिया	Кориа, Гильермо
इवो कार्लोविच	Карлович, Иво
मिकाएल लोद्रा	Льодра, Микаэль
बॉबी जिंदल	Джиндал, Бобби
हेनरी केविल	Кавилл, Генри
डैरन क्रिस	Крисс, Даррен
एलेक्स पेटीफर	Петтифер, Алекс
रॉबर्ट एफ एंगल	Энгл, Роберт
हावर्ड रॉबर्ट होर्वित्ज़	Хорвиц, Роберт
लियाक़त अली ख़ान	Хан, Лиакат Али
टॉम हिडलस्टन	Хиддлстон, Том
मारियो आन्किक	Анчич, Марио
अर्नेस्ट्स गलबिस	Гулбис, Эрнест
सैमुएल रिचर्डसन	Ричардсон, Сэмюэл
जॉन फेवरोऊ	Фавро, Джон
इगोर आन्द्रीव	Андреев, Игорь Валерьевич
लिएंडर पेस	Паес, Леандер
अरविन्द अडिग	Адига, Аравинд
किम फिल्बी	Филби, Ким
टुंकु अब्दुल रहमान	Абдул Рахман
मोहम्मद खुदाबन्द	Олджейту
हैन्स ब्लिक्स	Бликс, Ханс
दास	Дас
ओरेसंड सेतु	Эресуннский мост
रामस्वामी वेंकटरमण	Рамасвами Венкатараман
मॉमून अब्दुल गय्यूम	Гаюм, Момун Абдул
बार रेफेली	Рафаэли, Бар
तहमास्य प्रथम	Тахмасп I
मदिकेरी	Мадикери
बोडो	Бодо
डेनियल नेस्तर	Нестор, Даниэль
वॉक्स	VOX
मुकेश अंबानी	Амбани, Мукеш
एटी एंड टी पार्क	AT&T-парк
एटलस प्रयोग	Эксперимент ATLAS
