ʻApelika	Африка
Calatañazor	Калатаньясор
Almazul	Альмасуль
Cidones	Сидонес
Alpanseque	Альпансеке
Arcos de Jalón	Аркос-де-Халон
Aldehuela de Periáñez	Альдеуэла-де-Перианьес
Beratón	Бератон
Almenar de Soria	Альменар-де-Сория
Maján	Махан (Сория)
Coscurita	Коскурита
Barcones	Барконес
Castilfrío de la Sierra	Кастильфрио-де-ла-Сьерра
Castilruiz	Кастильруис
Miño de Medinaceli	Миньо-де-Мединасели
Vinuesa	Винуэса
Cigudosa	Сигудоса
Candilichera	Кандиличера
Ausejo de la Sierra	Аусехо-де-ла-Сьерра
Carabantes	Карабантес (Сория)
Soliedra	Сольедра
Taroda	Тарода
Nepas	Непас
Valtajeros	Вальтахерос
Arévalo de la Sierra	Аревало-де-ла-Сьерра
Pozalmuro	Посальмуро
Cabrejas del Pinar	Кабрехас-дель-Пинар
Villasayas	Вильясаяс
Cubilla	Кубилья
Castillejo de Robledo	Кастильехо-де-Робледо
Escobosa de Almazán	Эскобоса-де-Альмасан
Estepa de San Juan	Эстепа-де-Сан-Хуан
Carrascosa de la Sierra	Карраскоса-де-ла-Сьерра
Las Aldehuelas	Лас-Альдеуэлас
Bayubas de Arriba	Баюбас-де-Арриба
Borobia	Боробия
Bliecos	Бльекос
Buberos	Буберос
Muriel Viejo	Мурьель-Вьехо
Oncala	Онкала
Fuentecambrón	Фуэнтекамброн
Cabrejas del Campo	Кабрехас-дель-Кампо
Frechilla de Almazán	Фречилья-де-Альмасан
Valdelagua del Cerro	Вальделагуа-дель-Серро
Ciria	Сирия (Сория)
Buitrago	Буитраго
Talveila	Тальвейла
Salduero	Сальдуэро
Fuentes de Magaña	Фуэнтес-де-Маганья
Viana de Duero	Вьяна-де-Дуэро
Tardelcuende	Тарделькуэнде
Duruelo de la Sierra	Дуруэло-де-ла-Сьерра
Bayubas de Abajo	Баюбас-де-Абахо
Fuentearmegil	Фуэнтеармехиль
Fuentelmonge	Фуэнтельмонхе
Rollamienta	Рольямьента
Villar del Ala	Вильяр-дель-Ала
Velilla de los Ajos	Велилья-де-лос-Ахос
Momblona	Момблона
Fresno de Caracena	Фресно-де-Карасена
Valdegeña	Вальдехенья
Velamazán	Веламасан
Torlengua	Торленгуа
Fuentecantos	Фуэнтекантос
Carrascosa de Abajo	Карраскоса-де-Абахо
Pinilla del Campo	Пинилья-дель-Кампо
Serón de Nágima	Серон-де-Нахима
Blacos	Блакос
Valdeavellano de Tera	Вальдеавельяно-де-Тера
Narros	Наррос
Valdeprado	Вальдепрадо
Borjabad	Борхабад
Fuentelsaz de Soria	Фуэнтельсас-де-Сория
San Leonardo de Yagüe	Сан-Леонардо-де-Ягуэ
Muriel de la Fuente	Мурьель-де-ла-Фуэнте
Villar del Río	Вильяр-дель-Рио
Valderrodilla	Вальдерродилья
Espejón	Эспехон
Liceras	Лисерас
Matalebreras	Маталебрерас
Quintana Redonda	Кинтана-Редонда
Nafría de Ucero	Нафрия-де-Усеро
Sotillo del Rincón	Сотильо-дель-Ринкон
Torrubia de Soria	Торрубия-де-Сория
Noviercas	Новьеркас
Tajueco	Тахуэко
Valdenebro	Вальденебро
Villaciervos	Вильясьервос
Villanueva de Gormaz	Вильянуэва-де-Гормас
Yelo	Ело (Испания)
Montenegro de Cameros	Монтенегро-де-Камерос
Ucero	Усеро
Langa de Duero	Ланга-де-Дуэро
Quiñonería	Киньонерия
Villar del Campo	Вильяр-дель-Кампо
Portillo de Soria	Портильо-де-Сория
Gormaz	Гормас
Santa Cruz de Yanguas	Санта-Крус-де-Янгуас
Villaseca de Arciel	Вильясека-де-Арсьель
Reznos	Реснос
Cueva de Ágreda	Куэва-де-Агреда
Nolay	Нолай
Cirujales del Río	Сирухалес-дель-Рио
Caracena	Карасена (Сория)
Cubo de la Solana	Кубо-де-ла-Солана
Miño de San Esteban	Миньо-де-Сан-Эстебан
Fuentestrún	Фуэнтеструн
Espeja de San Marcelino	Эспеха-де-Сан-Марселино
Matamala de Almazán	Матамала-де-Альмасан
La Póveda de Soria	Ла-Поведа-де-Сория
Los Rábanos	Лос-Рабанос
Quintanas de Gormaz	Кинтанас-де-Гормас
Santa María de Huerta	Санта-Мария-де-Уэрта
San Pedro Manrique	Сан-Педро-Манрике
Velilla de la Sierra	Велилья-де-ла-Сьерра
Valdemaluque	Вальдемалуке
San Felices	Сан-Фелисес
Renieblas	Реньеблас
Toro (Zamora)	Торо (Самора)
Morón de Almazán	Морон-де-Альмасан
Los Villares de Soria	Лос-Вильярес-де-Сория
Torreblacos	Торреблакос
Vizmanos	Висманос
Tejado	Техадо
Retortillo de Soria	Ретортильо-де-Сория
Herrera de Soria	Эррера-де-Сория
Deza	Деса
Monteagudo de las Vicarías	Монтеагудо-де-лас-Викариас
La Riba de Escalote	Ла-Риба-де-Эскалоте
Montejo de Tiermes	Монтехо-де-Тьермес
La Losilla	Ла-Лосилья
Recuerda	Рекуэрда
Tajahuerce	Тахауэрсе
Santa María de las Hoyas	Санта-Мария-де-лас-Ойяс
Fuentepinilla	Фуэнтепинилья
Golmayo	Гольмайо
Rioseco de Soria	Риосеко-де-Сория
Gómara	Гомара
Cihuela	Сиуэла
Trabadelo	Трабадело
Caleruega	Калеруэга
Hospital de Órbigo	Оспиталь-де-Орбиго
Villafranca del Bierzo	Вильяфранка-дель-Бьерсо
Cyclops (Marvel)	Циклоп (Marvel Comics)
Pōmare II	Помаре II
Pōmare I	Помаре I
Pōmare III	Помаре III
Peñausende	Пеньяусенде
Villadangos del Páramo	Вильядангос-дель-Парамо
Vega de Valcarce	Вега-де-Валькарсе
Valverde de la Virgen	Вальверде-де-ла-Вирхен
Barbalos	Барбалос
Susinos del Páramo (Burgos)	Сусинос-дель-Парамо
Quintanar de la Sierra (Burgos)	Кинтанар-де-ла-Сьерра
Olmedillo de Roa (Burgos)	Ольмедильо-де-Роа
Valle de Valdebezana (Burgos)	Валье-де-Вальдебесана
Calzada del Coto	Кальсада-дель-Кото
Valdesamario	Вальдесамарио
Fuentes de Oñoro	Фуэнтес-де-Оньоро
Val de San Lorenzo	Валь-де-Сан-Лоренсо
Baños de Valdearados (Burgos)	Баньос-де-Вальдеарадос
Insane Clown Posse	Insane Clown Posse
Losacino	Лосасино
Villaquilambre	Вильякиламбре
Pradoluengo (Burgos)	Прадолуэнго
Aldearrodrigo	Альдеарродриго
Padilla de Arriba (Burgos)	Падилья-де-Арриба
Trabazos	Трабасос
La Cueva de Roa	Ла-Куэва-де-Роа
Valdemora	Вальдемора
Tardajos (Burgos)	Тардахос
Sotragero (Burgos)	Сотрахеро
Hurones (Burgos)	Уронес
Villanueva de Teba (Burgos)	Вильянуэва-де-Теба
Condado de Treviño	Кондадо-де-Тревиньо
Castildelgado	Кастильдельгадо
Cardeñuela Riopico	Карденьуэла-Риопико
Villaveza del Agua	Вильявеса-дель-Агуа
Alba de Tormes	Альба-де-Тормес
Espinosa del Camino (Burgos)	Эспиноса-дель-Камино
Villares de Órbigo	Вильярес-де-Орбиго
Orbaneja Riopico (Burgos)	Орбанеха-Риопико
Pozuelo de Tábara	Посуэло-де-Табара
Palazuelos de Muñó (Burgos)	Паласуэлос-де-Муньо
Nebreda (Burgos)	Небреда
Benavente (Zamora)	Бенавенте (Испания)
Galbarros (Burgos)	Гальбаррос
Palacios de la Sierra (Burgos)	Паласьос-де-ла-Сьерра
Peñaranda de Duero (Burgos)	Пеньяранда-де-Дуэро
Fuentesecas	Фуэнтесекас
Riego de la Vega	Риего-де-ла-Вега
Viloria de Rioja (Burgos)	Вилория-де-Риоха
Ferreras de Abajo	Феррерас-де-Абахо
Pinilla de los Barruecos (Burgos)	Пинилья-де-лос-Барруэкос
Villambistia (Burgos)	Вильямбистия
Tosantos (Burgos)	Тосантос
Hornillos del Camino (Burgos)	Орнильос-дель-Камино
Villafranca Montes de Oca (Burgos)	Вильяфранка-Монтес-де-Ока
Hontanas (Burgos)	Онтанас
Villahoz (Burgos)	Вильяос
Losacio	Лосасио
Pardilla (Burgos)	Пардилья
Ledesma (Salamanca)	Ледесма
Villafáfila	Вильяфафила
Figueruela de Arriba	Фигеруэла-де-Арриба
Hontoria del Pinar (Burgos)	Онтория-дель-Пинар
Haʻikū-Paʻuwela	Хаику-Паувела
Benuza	Бенуса
Rabanales	Рабаналес
Milles de la Polvorosa	Мильес-де-ла-Польвороса
Celada del Camino	Селада-дель-Камино
Forfoleda	Форфоледа
Castrillo Matajudíos	Кастрильо-Матахудиос
Villamanín	Вильяманин
Vegalatrave	Вегалатраве
N. C. Wyeth	Уайет, Ньюэлл Конверс
Molinos de Duero	Молинос-де-Дуэро
Vozmediano	Восмедьяно
Hinojosa del Campo	Инохоса-дель-Кампо
Garcihernández	Гарсиернандес
La Alberca	Ла-Альберка
Redecilla del Camino (Burgos)	Редесилья-дель-Камино
Kahului	Кахулуи
Rabé de las Calzadas (Burgos)	Рабе-де-лас-Кальсадас
Kīhei	Кихеи
Pelanekelina	Франклин (мультсериал)
Rello	Рельо
Rebollar	Ребольяр (Сория)
Garray	Гаррай
Iglesias (Burgos)	Иглесиас (Бургос)
Covarrubias	Коваррубиас
Aldearrubia	Альдеаррубия
Llano de Bureba (Burgos)	Льяно-де-Буреба
Adrada de Haza (Burgos)	Адрада-де-Аса
Cerezo de Río Tirón	Сересо-де-Рио-Тирон
Pele	Пеле (мифология)
Lōʻihi	Лоихи
Aiga-i-le-Tai	Аига-и-ле-Таи
Kartlis Deda	Мать Картли
Bembibre	Бембибре
Santovenia	Сантовения
Wikipedia:Nohona kuhina	Википедия:Посольство
Hawaiʻi Aloha	Гавайи Алоха
Aloha ʻOe	Алоха Оэ
Letícia Sabatella	Сабатела, Летисия
Poʻe Hawaiʻi	Гавайцы
Manuae	Мануаэ (Французская Полинезия)
Holoikauaua	Перл-энд-Хермес
Alfoz de Lloredo	Альфос-де-Льоредо
Cármenes	Карменес
Ampuero	Ампуэро
Palacios del Sil	Паласьос-дель-Силь
Cabrillanes	Кабрильянес
Briviesca (Burgos)	Бривьеска
Iznalloz	Иснальос
Māhele:Kelemānia	Категория:Германия
Māhele:ʻAmelika Hui Pū ʻia	Категория:США
Māhele:Sepania	Категория:Испания
Māhele:Mekiko	Категория:Мексика
Gallegos del Pan	Гальегос-дель-Пан
La Bañeza	Ла-Баньеса
Carracedelo	Карраседело
Carucedo	Каруседо
Corullón	Корульон
Castrocontrigo	Кастроконтриго
Fabero	Фаберо
Corrales	Лос-Корралес-де-Буэльна
Anievas	Аньевас
Anguix (Burgos)	Ангикс
Arauzo de Miel (Burgos)	Араусо-де-Мьель
Arauzo de Salce (Burgos)	Араусо-де-Сальсе
Brazacorta (Burgos)	Брасакорта
Aguilar de Bureba (Burgos)	Агилар-де-Буреба
Bascuñana (Burgos)	Баскуньяна
Altable (Burgos)	Альтабле
Barbadillo del Pez (Burgos)	Барбадильо-дель-Пес
Bahabón de Esgueva (Burgos)	Баабон-де-Эсгева
Alfoz de Quintanadueñas (Burgos)	Альфос-де-Кинтанадуэньяс
Barrios de Colina (Burgos)	Барриос-де-Колина
Berberana (Burgos)	Берберана
Berlangas de Roa (Burgos)	Берлангас-де-Роа
Aguas Cándidas (Burgos)	Агуас-Кандидас
Belbimbre (Burgos)	Бельбимбре
Montorio (Burgos)	Монторио
Māhele:Pōlani	Категория:Польша
Māhele:Wiekanama	Категория:Вьетнам
Māhele:Hōʻike honua	Категория:География
Māhele:Akeakamai	Категория:Наука
Waiʻaleʻale	Ваиалеале
Guijuelo	Гихуэло
Vegas del Condado	Вегас-дель-Кондадо
Borrenes	Борренес
Santovenia de la Valdoncina	Сантовения-де-ла-Вальдонсина
La Pola de Gordón	Ла-Пола-де-Гордон
Villablino	Вильяблино
Torre del Bierzo	Торре-дель-Бьерсо
Vega de Espinareda	Вега-де-Эспинареда
Barjas	Бархас
Cistierna	Систьерна
Babilafuente	Бабилафуэнте
Cereceda de la Sierra	Сереседа-де-ла-Сьерра
Cardeñajimeno	Карденьяхимено
Castil de Peones	Кастиль-де-Пеонес
Jurisdicción de Lara (Burgos)	Хурисдиксьон-де-Лара
Arganza (León)	Арганса
Valdevimbre	Вальдевимбре
Villaturiel	Вильятурьель
Valdepolo	Вальдеполо
Gumiel de Mercado (Burgos)	Гумьель-де-Меркадо
Oquillas (Burgos)	Окильяс
Villamañán	Вильяманьян
Puente de Domingo Flórez	Пуэнте-де-Доминго-Флорес
Olmillos de Muñó (Burgos)	Ольмильос-де-Муньо
Encío (Burgos)	Энсио
Ibeas de Juarros (Burgos)	Ибеас-де-Хуаррос
Santibáñez del Val (Burgos)	Сантибаньес-дель-Валь
Urdiales del Páramo	Урдьялес-дель-Парамо
Sena de Luna	Сена-де-Луна
Oña (Burgos)	Онья
Grisaleña (Burgos)	Грисаленья
Coruña del Conde	Корунья-дель-Конде
Zazuar (Burgos)	Сасуар
Buniel (Burgos)	Буньель
Arauzo de Torre (Burgos)	Араусо-де-Торре
Berzosa de Bureba (Burgos)	Берсоса-де-Буреба
Alfoz de Santa Gadea (Burgos)	Альфос-де-Санта-Гадеа
Barbadillo de Herreros (Burgos)	Барбадильо-де-Эррерос
Albillos (Burgos)	Альбильос
Arenillas de Riopisuerga (Burgos)	Аренильяс-де-Риописуэрга
Barbadillo del Mercado	Барбадильо-дель-Меркадо
Arlanzón (Burgos)	Арлансон (город)
Medina de Pomar (Burgos)	Медина-де-Помар
Arandilla (Burgos)	Арандилья
Bozoó (Burgos)	Босоо
Fuentelisendo (Burgos)	Фуэнтелисендо
Zarzosa de Río Pisuerga (Burgos)	Сарсоса-де-Рио-Писуэрга
Alcocero de Mola (Burgos)	Алькосеро-де-Мола
Valle de Mena (Burgos)	Валье-де-Мена
Zael (Burgos)	Саэль (Испания)
Ameyugo (Burgos)	Амеюго
Lerma (Burgos)	Лерма (Испания)
Villaquejida	Вильякехида
Sariegos	Сарьегос
Corbillos de los Oteros	Корбильос-де-лос-Отерос
Vega de Infanzones	Вега-де-Инфансонес
Peranzanes	Перансанес
Sabero	Саберо
Candín (León)	Кандин
Valderrueda	Вальдерруэда
Puebla de Lillo	Пуэбла-де-Лильо
Soto y Amío	Сото-и-Амио
Laguna de Negrillos	Лагуна-де-Негрильос
Villarejo de Órbigo	Вильярехо-де-Орбиго
La Vecilla	Ла-Весилья
San Andrés del Rabanedo	Сан-Андрес-дель-Рабанедо
Villazala	Вильясала
Villamontán de la Valduerna	Вильямонтан-де-ла-Вальдуэрна
Nava de Roa (Burgos)	Нава-де-Роа
Villasabariego	Вильясабарьего
Oencia	Оэнсия
Encinedo	Энсинедо
Zuñeda (Burgos)	Суньеда
Valdeande (Burgos)	Вальдеанде
Destriana	Дестриана
Villagatón	Вильягатон
Arija (Burgos)	Ариха (Бургос)
Busto de Bureba (Burgos)	Бусто-де-Буреба
Abezames	Абесамес
Alcañices	Альканьисес
Laguna Dalga	Лагуна-Дальга
Alaraz	Аларас
Brincones	Бринконес
Aldeadávila de la Ribera	Альдеадавила-де-ла-Рибера
Castellanos de Castro	Кастельянос-де-Кастро
Cascajares de la Sierra	Каскахарес-де-ла-Сьерра
Iglesiarrubia (Burgos)	Иглесьяррубия
Castrillo de la Vega	Кастрильо-де-ла-Вега
Sasamón (Burgos)	Сасамон
Torrepadre (Burgos)	Торрепадре
Sotillo de la Ribera (Burgos)	Сотильо-де-ла-Рибера
Torrecilla del Monte (Burgos)	Торресилья-дель-Монте
Linares de Riofrío	Линарес-де-Риофрио
Ahigal de Villarino	Аигаль-де-Вильярино
Gumiel de Izán (Burgos)	Гумьель-де-Исан
Cabrerizos	Кабрерисос
Cantalapiedra	Канталапьедра
Ahigal de los Aceiteros	Аигаль-де-лос-Асейтерос
Barceo	Барсео
Castellanos de Moriscos	Кастельянос-де-Морискос
Casafranca	Касафранка
Vizcaínos (Burgos)	Вискаинос
Casillas de Flores	Касильяс-де-Флорес
Los Balbases (Burgos)	Лос-Бальбасес
Santibáñez de Esgueva (Burgos)	Сантибаньес-де-Эсгева
San Martín de Rubiales (Burgos)	Сан-Мартин-де-Рубьялес
Tórtoles de Esgueva (Burgos)	Тортолес-де-Эсгева
Villaescusa de Roa (Burgos)	Вильяэскуса-де-Роа
Mamolar (Burgos)	Мамолар
Moradillo de Roa (Burgos)	Морадильо-де-Роа
Mambrilla de Castrejón (Burgos)	Мамбрилья-де-Кастрехон
Pedrosa de Duero (Burgos)	Педроса-де-Дуэро
Quintanilla del Coco (Burgos)	Кинтанилья-дель-Коко
Pinilla de los Moros (Burgos)	Пинилья-де-лос-Морос
Valle de Tobalina (Burgos)	Валье-де-Тобалина
Villanueva de Carazo (Burgos)	Вильянуэва-де-Карасо
Quemada (Burgos)	Кемада
Torresandino (Burgos)	Торресандино
Villalba de Duero (Burgos)	Вильяльба-де-Дуэро
Rubena (Burgos)	Рубена
Valluércanes (Burgos)	Вальуэрканес
Villadiego (Burgos)	Вильядьего
Merindad de Río Ubierna (Burgos)	Мериндад-де-Рио-Убьерна
Mazuela (Burgos)	Масуэла
Valle de Zamanzas (Burgos)	Валье-де-Самансас
Quintana del Pidio (Burgos)	Кинтана-дель-Пидио
Vadocondes (Burgos)	Вадокондес
Fuentelcésped (Burgos)	Фуэнтельсеспед
Ciadoncha	Сьядонча
Merindad de Montija (Burgos)	Мериндад-де-Монтиха
Pancorbo (Burgos)	Панкорбо
Monterrubio de la Demanda (Burgos)	Монтеррубио-де-ла-Деманда
Fuentespina (Burgos)	Фуэнтеспина
Cillaperlata	Сильяперлата
Fontioso (Burgos)	Фонтиосо
La Sequera de Haza (Burgos)	Ла-Секера-де-Аса
La Horra (Burgos)	Ла-Орра
Cilleruelo de Arriba	Сильеруэло-де-Арриба
Jurisdicción de San Zadornil (Burgos)	Хурисдиксьон-де-Сан-Садорниль
Cuevas de San Clemente	Куэвас-де-Сан-Клементе
Fuentemolinos (Burgos)	Фуэнтемолинос
Hontangas (Burgos)	Онтангас
Hoyales de Roa (Burgos)	Оялес-де-Роа
Campolara	Камполара
Carrias	Карриас
Canicosa de la Sierra	Каникоса-де-ла-Сьерра
Cerralbo	Серральбо
Cabezón de la Sierra	Кабесон-де-ла-Сьерра
Cabañes de Esgueva	Кабаньес-де-Эсгева
Cardeñadijo	Карденьядихо
Castrillo de Riopisuerga	Кастрильо-де-Риописуэрга
Milagros (Burgos)	Милагрос
La Puebla de Arganzón (Burgos)	Ла-Пуэбла-де-Аргансон
Agallas	Агальяс
Abusejo	Абусехо
Posada de Valdeón	Посада-де-Вальдеон
Valderrey	Вальдеррей
Joarilla de las Matas	Хоарилья-де-лас-Матас
Neila (Burgos)	Нейла
Santiago Millas	Сантьяго-Мильяс
Turcia	Турсия
Prioro	Приоро
Valdelugueros	Вальделугерос
Santas Martas	Сантас-Мартас
Vegaquemada	Вегакемада
Pobladura de Pelayo García	Побладура-де-Пелайо-Гарсия
Navas de Bureba (Burgos)	Навас-де-Буреба
Vegacervera	Вегасервера
San Adrián del Valle	Сан-Адриан-дель-Валье
Valdefuentes del Páramo	Вальдефуэнтес-дель-Парамо
Jaramillo Quemado (Burgos)	Харамильо-Кемадо
Campillo de Aranda	Кампильо-де-Аранда
Jaramillo de la Fuente (Burgos)	Харамильо-де-ла-Фуэнте
Carcedo de Bureba	Карседо-де-Буреба
La Gallega (Burgos)	Ла-Гальега
Cebrecos	Себрекос
La Fuente de San Esteban	Ла-Фуэнте-де-Сан-Эстебан
Aldeanueva de Figueroa	Альдеануэва-де-Фигероа
Cerezal de Peñahorcada	Сересаль-де-Пеньяоркада
Cabeza del Caballo	Кабеса-дель-Кабальо
Lumbrales	Лумбралес
Villabraz	Вильябрас
Villamejil	Вильямехиль
Villaornate y Castro	Вильяорнате-и-Кастро
Valverde-Enrique	Вальверде-Энрике
Villaobispo de Otero	Вильяобиспо-де-Отеро
Villazanzo de Valderaduey	Вильясансо-де-Вальдерадуэй
Villanueva de las Manzanas	Вильянуэва-де-лас-Мансанас
Villamandos	Вильямандос
Villamol	Вильямоль
Villaselán	Вильяселан
Villamoratiel de las Matas	Вильяморатьель-де-лас-Матас
Toral de los Guzmanes	Тораль-де-лос-Гусманес
Bañobárez	Баньобарес
Barruecopardo	Барруэкопардо
Carrascal del Obispo	Карраскаль-дель-Обиспо
Castillejo de Martín Viejo	Кастильехо-де-Мартин-Вьехо
Fuenteguinaldo	Фуэнтегинальдо
Iruelos	Ируэлос
Tamames	Тамамес
Bóveda del Río Almar	Боведа-дель-Рио-Альмар
Doñinos de Ledesma	Доньинос-де-Ледесма
Encina de San Silvestre	Энсина-де-Сан-Сильвестре
Canillas de Abajo	Канильяс-де-Абахо
Castellanos de Villiquera	Кастельянос-де-Вильикера
Carpio de Azaba	Карпио-де-Асаба
Doñinos de Salamanca	Доньинос-де-Саламанка
Cantaracillo	Кантарасильо
Las Casas del Conde	Лас-Касас-дель-Конде
Aldeaseca de la Frontera	Альдеасека-де-ла-Фронтера
Castraz	Кастрас
Cepeda (Salamanca)	Сепеда
El Tornadizo	Эль-Торнадисо
Aldeaseca de Alba	Альдеасека-де-Альба
Navamorales	Наваморалес
El Cabaco	Эль-Кабако
Aldeanueva de la Sierra	Альдеануэва-де-ла-Сьерра
Cipérez	Сиперес
Cantalpino	Кантальпино
Colmenar de Montemayor	Кольменар-де-Монтемайор
Espadaña (Salamanca)	Эспаданья
Cespedosa de Tormes	Сеспедоса-де-Тормес
Carbajosa de la Sagrada	Карбахоса-де-ла-Саграда
Cabrillas	Кабрильяс
Berrocal de Huebra	Беррокаль-де-Уэбра
Calvarrasa de Abajo	Кальварраса-де-Абахо
Cilleros de la Bastida	Сильерос-де-ла-Бастида
Sotresgudo (Burgos)	Сотресгудо
Arapiles	Арапилес
Benavides	Бенавидес
Tordómar (Burgos)	Тордомар
Torrelara (Burgos)	Торрелара
San Millán de Lara (Burgos)	Сан-Мильян-де-Лара
Sordillos (Burgos)	Сордильос
Santa María del Mercadillo (Burgos)	Санта-Мария-дель-Меркадильо
Santa Cruz de la Salceda (Burgos)	Санта-Крус-де-ла-Сальседа
Santa Gadea del Cid (Burgos)	Санта-Гадеа-дель-Сид
Tamarón (Burgos)	Тамарон
San Mamés de Burgos (Burgos)	Сан-Мамес-де-Бургос
Santa María del Campo (Burgos)	Санта-Мария-дель-Кампо
San Vicente del Valle (Burgos)	Сан-Висенте-дель-Валье
Sarracín (Burgos)	Саррасин
Salinillas de Bureba (Burgos)	Салинильяс-де-Буреба
Villazopeque (Burgos)	Вильясопеке
Vilviestre del Pinar (Burgos)	Вильвьестре-дель-Пинар
Saldaña de Burgos (Burgos)	Сальданья-де-Бургос
Tejada (Burgos)	Техада
Tobar (Burgos)	Тобар
Santa Olalla de Bureba (Burgos)	Санта-Олалья-де-Буреба
San Adrián de Juarros (Burgos)	Сан-Адриан-де-Хуаррос
Santa María del Invierno (Burgos)	Санта-Мария-дель-Инвьерно
Tinieblas de la Sierra (Burgos)	Тиньеблас-де-ла-Сьерра
Villaquirán de la Puebla (Burgos)	Вильякиран-де-ла-Пуэбла
Villalbilla de Gumiel (Burgos)	Вильяльбилья-де-Гумьель
Villanueva de Gumiel (Burgos)	Вильянуэва-де-Гумьель
Villaverde del Monte (Burgos)	Вильяверде-дель-Монте
Villaescusa la Sombría (Burgos)	Вильяэскуса-ла-Сомбрия
Villayerno Morquillas (Burgos)	Вильяйерно-Моркильяс
Villegas (Burgos)	Вильегас
Vileña (Burgos)	Виленья
Rezmondo (Burgos)	Ресмондо
Villafruela (Burgos)	Вильяфруэла
Villariezo (Burgos)	Вильярьесо
Villagalijo (Burgos)	Вильягалихо
Rublacedo de Abajo (Burgos)	Рубласедо-де-Абахо
Villamayor de Treviño (Burgos)	Вильямайор-де-Тревиньо
Royuela de Río Franco (Burgos)	Роюэла-де-Рио-Франко
Retuerta (Burgos)	Ретуэрта
Villaldemiro (Burgos)	Вильяльдемиро
Villaverde-Mogina (Burgos)	Вильяверде-Мохина
Revillarruz (Burgos)	Ревильяррус
Villamayor de los Montes (Burgos)	Вильямайор-де-лос-Монтес
Villamedianilla (Burgos)	Вильямедьянилья
Villalmanzo (Burgos)	Вильяльмансо
Villaespasa (Burgos)	Вильяэспаса
Valles de Palenzuela (Burgos)	Вальес-де-Паленсуэла
Quintanaélez (Burgos)	Кинтанаэлес
Vallejera (Burgos)	Вальехера
Vallarta de Bureba (Burgos)	Вальярта-де-Буреба
Redecilla del Campo (Burgos)	Редесилья-дель-Кампо
Quintanabureba (Burgos)	Кинтанабуреба
Quintanaortuño (Burgos)	Кинтанаортуньо
Quintanapalla (Burgos)	Кинтанапалья
Valle de Losa (Burgos)	Валье-де-Лоса
Regumiel de la Sierra (Burgos)	Регумьель-де-ла-Сьерра
Quintanilla Vivar (Burgos)	Кинтанилья-Вивар
Poza de la Sal (Burgos)	Поса-де-ла-Саль
Quintanilla del Agua y Tordueles (Burgos)	Кинтанилья-дель-Агуа-и-Тордуэлес
Quintanilla de la Mata (Burgos)	Кинтанилья-де-ла-Мата
Fuentenebro (Burgos)	Фуэнтенебро
La Revilla y Ahedo (Burgos)	Ла-Ревилья-и-Аедо
Hacinas (Burgos)	Асинас
Prádanos de Bureba (Burgos)	Праданос-де-Буреба
Fresno de Rodilla (Burgos)	Фресно-де-Родилья
La Vid	Ла-Вид
Junta de Villalba de Losa (Burgos)	Хунта-де-Вильяльба-де-Лоса
Hortigüela (Burgos)	Ортигуэла
Villangómez (Burgos)	Вильянгомес
Madrigalejo del Monte (Burgos)	Мадригалехо-дель-Монте
Mahamud (Burgos)	Маамуд
Presencio (Burgos)	Пресенсио
Cilleruelo de Abajo	Сильеруэло-де-Абахо
Madrigal del Monte (Burgos)	Мадригаль-дель-Монте
Manciles (Burgos)	Мансилес
Fuentebureba (Burgos)	Фуэнтебуреба
Padrones de Bureba (Burgos)	Падронес-де-Буреба
Melgar de Fernamental (Burgos)	Мельгар-де-Фернаменталь
Ibrillos (Burgos)	Ибрильос
La Vid de Bureba (Burgos)	Ла-Вид-де-Буреба
Palazuelos de la Sierra (Burgos)	Паласуэлос-де-ла-Сьерра
Merindad de Sotoscueva (Burgos)	Мериндад-де-Сотоскуэва
Castrillo del Val	Кастрильо-дель-Валь
Valdorros (Burgos)	Вальдоррос
Los Ausines (Burgos)	Лос-Аусинес
Merindad de Cuesta-Urria (Burgos)	Мериндад-де-Куэста-Уррия
Los Barrios de Bureba (Burgos)	Лос-Барриос-де-Буреба
Valle de Manzanedo (Burgos)	Валье-де-Мансанедо
Hontoria de Valdearados (Burgos)	Онтория-де-Вальдеарадос
Fuentecén (Burgos)	Фуэнтесен
Miraveche (Burgos)	Миравече
Fresnillo de las Dueñas (Burgos)	Фреснильо-де-лас-Дуэньяс
Piérnigas (Burgos)	Пьернигас
Ciruelos de Cervera	Сируэлос-де-Сервера
Pinilla Trasmonte (Burgos)	Пинилья-Трасмонте
Valdezate (Burgos)	Вальдесате
Trespaderne (Burgos)	Треспадерне
Pineda Trasmonte (Burgos)	Пинеда-Трасмонте
Peral de Arlanza (Burgos)	Пераль-де-Арланса
Puentedura (Burgos)	Пуэнтедура
Cogollos	Когольос
Cerratón de Juarros	Серратон-де-Хуаррос
Mambrillas de Lara (Burgos)	Мамбрильяс-де-Лара
Castrillo de la Reina	Кастрильо-де-ла-Рейна
Merindad de Valdivielso (Burgos)	Мериндад-де-Вальдивьельсо
Modúbar de la Emparedada (Burgos)	Модубар-де-ла-Эмпаредада
Huerta de Rey	Уэрта-де-Рей
Cascajares de Bureba	Каскахарес-де-Буреба
Cayuela	Каюэла
Villalonso	Вильялонсо
Moraleja del Vino	Моралеха-дель-Вино
Castrogonzalo	Кастрогонсало
El Perdigón	Эль-Пердигон
Santa Cristina de la Polvorosa	Санта-Кристина-де-ла-Польвороса
Lubián	Лубьян
