Afrihkká	Африка
Ođđajagimánu 14.	14 января
Ođđajagimánu 15.	15 января
Ođđajagimánu 16.	16 января
Ođđajagimánu 17.	17 января
Ođđajagimánu 18.	18 января
Ođđajagimánu 19.	19 января
Ođđajagimánu 20.	20 января
Skien	Шиен
Ođđajagimánu 21.	21 января
Ođđajagimánu 22.	22 января
Ođđajagimánu 23.	23 января
Ođđajagimánu 24.	24 января
Ođđajagimánu 25.	25 января
Minsk	Минск
Ođđajagimánu 26.	26 января
Ođđajagimánu 27.	27 января
Ođđajagimánu 28.	28 января
Ođđajagimánu 29.	29 января
Ođđajagimánu 30.	30 января
Ođđajagimánu 31.	31 января
Porsgrunn	Порсгрунн
Tver oblast	Тверская область
Juovlamánu 2.	2 декабря
Juovlamánu 1.	1 декабря
Juovlamánu 3.	3 декабря
Juovlamánu 7.	7 декабря
Juovlamánu 5.	5 декабря
Juovlamánu 8.	8 декабря
Juovlamánu 10.	10 декабря
Juovlamánu 6.	6 декабря
Juovlamánu 9.	9 декабря
Siljan	Сильян (Норвегия)
Juovlamánu 4.	4 декабря
Guovvamánu 1.	1 февраля
Guovvamánu 2.	2 февраля
Guovvamánu 3.	3 февраля
Kurów	Курув
Guovvamánu 4.	4 февраля
Guovvamánu 5.	5 февраля
Guovvamánu 6.	6 февраля
Guovvamánu 7.	7 февраля
Guovvamánu 8.	8 февраля
Guovvamánu 9.	9 февраля
Guovvamánu 10.	10 февраля
Notodden	Нутодден
Guovvamánu 14.	14 февраля
Guovvamánu 13.	13 февраля
Guovvamánu 15.	15 февраля
Guovvamánu 11.	11 февраля
Guovvamánu 12.	12 февраля
Guovvamánu 19.	19 февраля
Guovvamánu 17.	17 февраля
Guovvamánu 16.	16 февраля
Guovvamánu 18.	18 февраля
Guovvamánu 20.	20 февраля
Smolensk oblast	Смоленская область
Guovvamánu 21.	21 февраля
Guovvamánu 22.	22 февраля
Guovvamánu 23.	23 февраля
Hjartdal	Яртдал
Guovvamánu 24.	24 февраля
Guovvamánu 25.	25 февраля
Guovvamánu 26.	26 февраля
Guovvamánu 27.	27 февраля
Guovvamánu 28.	28 февраля
Juovlamánu 11.	11 декабря
Guovvamánu 29.	29 февраля
Drangedal	Дрангедал
Juovlamánu 12.	12 декабря
Kragerø	Крагерё
Nome	Нуме (Норвегия)
Juovlamánu 13.	13 декабря
Sauherad	Сёухерад
Juovlamánu 14.	14 декабря
Juovlamánu 15.	15 декабря
Njukčamánu 2.	2 марта
Njukčamánu 3.	3 марта
Njukčamánu 5.	5 марта
Njukčamánu 1.	1 марта
Njukčamánu 7.	7 марта
Njukčamánu 8.	8 марта
Njukčamánu 4.	4 марта
Njukčamánu 10.	10 марта
Njukčamánu 11.	11 марта
Njukčamánu 6.	6 марта
Njukčamánu 13.	13 марта
Njukčamánu 9.	9 марта
Njukčamánu 12.	12 марта
Njukčamánu 15.	15 марта
Njukčamánu 14.	14 марта
Juovlamánu 16.	16 декабря
Juovlamánu 17.	17 декабря
Kristiansand	Кристиансанн
Njukčamánu 16.	16 марта
Njukčamánu 17.	17 марта
Njukčamánu 18.	18 марта
Njukčamánu 19.	19 марта
1989	1989 год
1988	1988 год
Njukčamánu 20.	20 марта
1987	1987 год
1986	1986 год
1985	1985 год
1984	1984 год
Njukčamánu 21.	21 марта
1983	1983 год
Njukčamánu 22.	22 марта
1982	1982 год
1981	1981 год
Juovlamánu 18.	18 декабря
1980	1980 год
Njukčamánu 23.	23 марта
Jaroslavl oblast	Ярославская область
Juovlamánu 19.	19 декабря
Njukčamánu 24.	24 марта
Njukčamánu 25.	25 марта
Juovlamánu 20.	20 декабря
Njukčamánu 26.	26 марта
Njukčamánu 27.	27 марта
Njukčamánu 28.	28 марта
Njukčamánu 29.	29 марта
Njukčamánu 30.	30 марта
Njukčamánu 31.	31 марта
1970	1970 год
1971	1971 год
1972	1972 год
1973	1973 год
1974	1974 год
1975	1975 год
1976	1976 год
1977	1977 год
1978	1978 год
1979	1979 год
1969	1969 год
Cuoŋománu 15.	15 апреля
Cuoŋománu 13.	13 апреля
Cuoŋománu 12.	12 апреля
Cuoŋománu 14.	14 апреля
Cuoŋománu 11.	11 апреля
Cuoŋománu 10.	10 апреля
Cuoŋománu 8.	8 апреля
Cuoŋománu 9.	9 апреля
Cuoŋománu 7.	7 апреля
Cuoŋománu 6.	6 апреля
Cuoŋománu 5.	5 апреля
Cuoŋománu 4.	4 апреля
Cuoŋománu 3.	3 апреля
Cuoŋománu 1.	1 апреля
Cuoŋománu 2.	2 апреля
Cuoŋománu 16.	16 апреля
Cuoŋománu 17.	17 апреля
Cuoŋománu 18.	18 апреля
Cuoŋománu 19.	19 апреля
Cuoŋománu 20.	20 апреля
Cuoŋománu 21.	21 апреля
Cuoŋománu 22.	22 апреля
Cuoŋománu 23.	23 апреля
Cuoŋománu 24.	24 апреля
Cuoŋománu 25.	25 апреля
Cuoŋománu 26.	26 апреля
Cuoŋománu 27.	27 апреля
Cuoŋománu 28.	28 апреля
Cuoŋománu 29.	29 апреля
Cuoŋománu 30.	30 апреля
Miessemánu 1.	1 мая
